Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
F09,Undergraduate,C LIT    30B,HOLLAND J,A,14
F09,Undergraduate,C LIT    30B,HOLLAND J,A-,12
F09,Undergraduate,C LIT    30B,HOLLAND J,B+,7
F09,Undergraduate,C LIT    30B,HOLLAND J,B,5
F09,Undergraduate,C LIT    30B,HOLLAND J,B-,7
F09,Undergraduate,C LIT    30B,HOLLAND J,C+,5
F09,Undergraduate,C LIT    30B,HOLLAND J,C,5
F09,Undergraduate,C LIT    30B,HOLLAND J,C-,1
F09,Undergraduate,C LIT    30B,HOLLAND J,D,1
F09,Undergraduate,C LIT    30B,HOLLAND J,F,1
F09,Undergraduate,C LIT    31,SALTZMAN-LI K,A+,3
F09,Undergraduate,C LIT    31,SALTZMAN-LI K,A,8
F09,Undergraduate,C LIT    31,SALTZMAN-LI K,A-,9
F09,Undergraduate,C LIT    31,SALTZMAN-LI K,B+,8
F09,Undergraduate,C LIT    31,SALTZMAN-LI K,B,7
F09,Undergraduate,C LIT    31,SALTZMAN-LI K,B-,6
F09,Undergraduate,C LIT    31,SALTZMAN-LI K,C+,3
F09,Undergraduate,C LIT    31,SALTZMAN-LI K,C,2
F09,Undergraduate,C LIT    31,SALTZMAN-LI K,C-,1
F09,Undergraduate,C LIT    31,SALTZMAN-LI K,F,1
F09,Undergraduate,C LIT   107,SKENAZI E C,A,6
F09,Undergraduate,C LIT   107,SKENAZI E C,A-,1
F09,Undergraduate,C LIT   107,SKENAZI E C,B+,4
F09,Undergraduate,C LIT   107,SKENAZI E C,B,5
F09,Undergraduate,C LIT   107,SKENAZI E C,C+,1
F09,Undergraduate,C LIT   154,MCCLAIN K L,A+,5
F09,Undergraduate,C LIT   154,MCCLAIN K L,A,4
F09,Undergraduate,C LIT   154,MCCLAIN K L,A-,7
F09,Undergraduate,C LIT   154,MCCLAIN K L,B+,2
F09,Undergraduate,C LIT   154,MCCLAIN K L,B,1
F09,Undergraduate,C LIT   179C,KITTLER W D,A+,5
F09,Undergraduate,C LIT   179C,KITTLER W D,A,2
F09,Undergraduate,C LIT   179C,KITTLER W D,A-,2
F09,Undergraduate,C LIT   179C,KITTLER W D,B+,3
F09,Undergraduate,C LIT   179C,KITTLER W D,B,3
F09,Undergraduate,C LIT   179C,KITTLER W D,C,1
F09,Undergraduate,C LIT   179C,KITTLER W D,F,1
F09,Undergraduate,C LIT   188,CAMILO-DOS-SA,A+,6
F09,Undergraduate,C LIT   188,CAMILO-DOS-SA,A,5
F09,Undergraduate,C LIT   188,CAMILO-DOS-SA,A-,4
F09,Undergraduate,C LIT   188,CAMILO-DOS-SA,B+,4
F09,Undergraduate,C LIT   188,CAMILO-DOS-SA,B,6
F09,Undergraduate,C LIT   188,CAMILO-DOS-SA,B-,2
F09,Undergraduate,C LIT   188,CAMILO-DOS-SA,C,1
F09,Undergraduate,C LIT   188,CAMILO-DOS-SA,D,1
F09,Undergraduate,C LIT   188,CAMILO-DOS-SA,F,1
F09,Graduate,C LIT   200,DERWIN S,A,5
F09,Graduate,C LIT   200,DERWIN S,A-,3
F09,Graduate,C LIT   200,MALEUVRE D,A+,1
F09,Graduate,C LIT   200,MALEUVRE D,A,4
F09,Graduate,C LIT   200,MALEUVRE D,A-,1
F09,Graduate,C LIT   200,MALEUVRE D,B+,1
F09,Graduate,C LIT   260,LEVINE S,A,9
