Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
F09,Undergraduate,CHEM      1A,ANDERSON S E,A+,5
F09,Undergraduate,CHEM      1A,ANDERSON S E,A,37
F09,Undergraduate,CHEM      1A,ANDERSON S E,A-,19
F09,Undergraduate,CHEM      1A,ANDERSON S E,B+,21
F09,Undergraduate,CHEM      1A,ANDERSON S E,B,64
F09,Undergraduate,CHEM      1A,ANDERSON S E,B-,20
F09,Undergraduate,CHEM      1A,ANDERSON S E,C+,14
F09,Undergraduate,CHEM      1A,ANDERSON S E,C,50
F09,Undergraduate,CHEM      1A,ANDERSON S E,C-,26
F09,Undergraduate,CHEM      1A,ANDERSON S E,D+,9
F09,Undergraduate,CHEM      1A,ANDERSON S E,D,30
F09,Undergraduate,CHEM      1A,ANDERSON S E,D-,20
F09,Undergraduate,CHEM      1A,ANDERSON S E,F,21
F09,Undergraduate,CHEM      1A,VAN KOPPEN P,A+,1
F09,Undergraduate,CHEM      1A,VAN KOPPEN P,A,48
F09,Undergraduate,CHEM      1A,VAN KOPPEN P,A-,17
F09,Undergraduate,CHEM      1A,VAN KOPPEN P,B+,37
F09,Undergraduate,CHEM      1A,VAN KOPPEN P,B,72
F09,Undergraduate,CHEM      1A,VAN KOPPEN P,B-,19
F09,Undergraduate,CHEM      1A,VAN KOPPEN P,C+,39
F09,Undergraduate,CHEM      1A,VAN KOPPEN P,C,43
F09,Undergraduate,CHEM      1A,VAN KOPPEN P,C-,15
F09,Undergraduate,CHEM      1A,VAN KOPPEN P,D,34
F09,Undergraduate,CHEM      1A,VAN KOPPEN P,F,17
F09,Undergraduate,CHEM      1C,HOOKER T M,A+,3
F09,Undergraduate,CHEM      1C,HOOKER T M,A,12
F09,Undergraduate,CHEM      1C,HOOKER T M,A-,8
F09,Undergraduate,CHEM      1C,HOOKER T M,B+,10
F09,Undergraduate,CHEM      1C,HOOKER T M,B,34
F09,Undergraduate,CHEM      1C,HOOKER T M,B-,25
F09,Undergraduate,CHEM      1C,HOOKER T M,C+,14
F09,Undergraduate,CHEM      1C,HOOKER T M,C,37
F09,Undergraduate,CHEM      1C,HOOKER T M,F,6
F09,Undergraduate,CHEM      2A,LAVERMAN L E,A+,2
F09,Undergraduate,CHEM      2A,LAVERMAN L E,A,7
F09,Undergraduate,CHEM      2A,LAVERMAN L E,A-,9
F09,Undergraduate,CHEM      2A,LAVERMAN L E,B+,3
F09,Undergraduate,CHEM      2A,LAVERMAN L E,B,13
F09,Undergraduate,CHEM      2A,LAVERMAN L E,B-,1
F09,Undergraduate,CHEM      2A,LAVERMAN L E,C+,1
F09,Undergraduate,CHEM      2A,LAVERMAN L E,C,3
F09,Undergraduate,CHEM      2A,LAVERMAN L E,C-,1
F09,Undergraduate,CHEM      2A,LAVERMAN L E,D+,3
F09,Undergraduate,CHEM      2A,LAVERMAN L E,D,1
F09,Undergraduate,CHEM      2A,LAVERMAN L E,D-,1
F09,Undergraduate,CHEM    109B,AUE D H,A+,2
F09,Undergraduate,CHEM    109B,AUE D H,A,8
F09,Undergraduate,CHEM    109B,AUE D H,A-,2
F09,Undergraduate,CHEM    109B,AUE D H,B+,9
F09,Undergraduate,CHEM    109B,AUE D H,B,10
F09,Undergraduate,CHEM    109B,AUE D H,B-,16
F09,Undergraduate,CHEM    109B,AUE D H,C+,8
F09,Undergraduate,CHEM    109B,AUE D H,C,7
F09,Undergraduate,CHEM    109B,AUE D H,C-,14
F09,Undergraduate,CHEM    109B,AUE D H,D+,17
F09,Undergraduate,CHEM    109B,AUE D H,D,12
F09,Undergraduate,CHEM    109B,AUE D H,D-,7
F09,Undergraduate,CHEM    109B,AUE D H,F,17
F09,Undergraduate,CHEM    117A,BURATTO S K,A,4
F09,Undergraduate,CHEM    117A,BURATTO S K,A-,2
F09,Undergraduate,CHEM    117A,BURATTO S K,B,3
F09,Undergraduate,CHEM    117A,BURATTO S K,B-,1
F09,Undergraduate,CHEM    127,LITTLE R D,A+,1
F09,Undergraduate,CHEM    127,LITTLE R D,A,1
F09,Undergraduate,CHEM    127,LITTLE R D,B+,1
F09,Undergraduate,CHEM    127,LITTLE R D,B,3
F09,Undergraduate,CHEM    127,LITTLE R D,B-,4
F09,Undergraduate,CHEM    127,LITTLE R D,C,6
F09,Undergraduate,CHEM    127,LITTLE R D,F,5
F09,Undergraduate,CHEM    142A,PLAXCO K W,A,9
F09,Undergraduate,CHEM    142A,PLAXCO K W,A-,12
F09,Undergraduate,CHEM    142A,PLAXCO K W,B+,7
F09,Undergraduate,CHEM    142A,PLAXCO K W,B,20
F09,Undergraduate,CHEM    142A,PLAXCO K W,B-,4
F09,Undergraduate,CHEM    142A,PLAXCO K W,C+,10
F09,Undergraduate,CHEM    142A,PLAXCO K W,C,19
F09,Undergraduate,CHEM    142A,PLAXCO K W,C-,14
F09,Undergraduate,CHEM    142A,PLAXCO K W,D+,1
F09,Undergraduate,CHEM    142A,PLAXCO K W,D,1
F09,Undergraduate,CHEM    142A,PLAXCO K W,F,2
F09,Undergraduate,CHEM    143,JAEGER L A,A+,2
F09,Undergraduate,CHEM    143,JAEGER L A,A-,2
F09,Undergraduate,CHEM    143,JAEGER L A,B+,1
F09,Undergraduate,CHEM    143,JAEGER L A,B,2
F09,Undergraduate,CHEM    143,JAEGER L A,B-,1
F09,Undergraduate,CHEM    143,JAEGER L A,C+,1
F09,Undergraduate,CHEM    143,JAEGER L A,C,2
F09,Undergraduate,CHEM    150,DEVRIES M S,A+,20
F09,Undergraduate,CHEM    150,DEVRIES M S,A,20
F09,Undergraduate,CHEM    150,DEVRIES M S,A-,13
