Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
F09,Graduate,CNCSP   200,QUIRK M P,A,9
F09,Graduate,CNCSP   200,QUIRK M P,A-,2
F09,Graduate,CNCSP   200,QUIRK M P,B+,1
F09,Graduate,CNCSP   209A,CONOLEY C W,S,5
F09,Graduate,CNCSP   209A,COSDEN M A,S,5
F09,Graduate,CNCSP   209A,ISRAEL T,S,5
F09,Graduate,CNCSP   209A,KOEGEL R L,S,8
F09,Graduate,CNCSP   209A,SMITH S R,S,8
F09,Graduate,CNCSP   214,BROWN M T,A,14
F09,Graduate,CNCSP   214,BROWN M T,A-,1
F09,Graduate,CNCSP   220,JIMERSON S R,A,15
F09,Graduate,CNCSP   224A,COSDEN M A,S,14
F09,Graduate,CNCSP   227,CASAS J M,A,22
F09,Graduate,CNCSP   270,CONOLEY C W,S,5
F09,Graduate,CNCSP   270,COSDEN M A,S,7
F09,Graduate,CNCSP   271B,SMITH S R,S,13
F09,Graduate,CNCSP   274D,SHARKEY J D,S,5
F09,Graduate,CNCSP   279A,SMITH S R,S,12
F09,Graduate,CNCSP   597,KOEGEL R L,S,5
