Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
F09,Undergraduate,ECE       2A,YORK R A,A+,7
F09,Undergraduate,ECE       2A,YORK R A,A,13
F09,Undergraduate,ECE       2A,YORK R A,A-,1
F09,Undergraduate,ECE       2A,YORK R A,B+,6
F09,Undergraduate,ECE       2A,YORK R A,B,11
F09,Undergraduate,ECE       2A,YORK R A,B-,9
F09,Undergraduate,ECE       2A,YORK R A,C+,3
F09,Undergraduate,ECE       2A,YORK R A,C,17
F09,Undergraduate,ECE       2A,YORK R A,C-,5
F09,Undergraduate,ECE       2A,YORK R A,D,6
F09,Undergraduate,ECE       2A,YORK R A,F,2
F09,Undergraduate,ECE       2C,YUE C P,A+,1
F09,Undergraduate,ECE       2C,YUE C P,B+,2
F09,Undergraduate,ECE       2C,YUE C P,B,1
F09,Undergraduate,ECE       2C,YUE C P,B-,1
F09,Undergraduate,ECE       2C,YUE C P,C+,3
F09,Undergraduate,ECE       2C,YUE C P,C,1
F09,Undergraduate,ECE       2C,YUE C P,F,1
F09,Undergraduate,ECE     124A,BANERJEE K,A,3
F09,Undergraduate,ECE     124A,BANERJEE K,A-,3
F09,Undergraduate,ECE     124A,BANERJEE K,B+,4
F09,Undergraduate,ECE     124A,BANERJEE K,B,1
F09,Undergraduate,ECE     124A,BANERJEE K,B-,3
F09,Undergraduate,ECE     124A,BANERJEE K,C-,1
F09,Undergraduate,ECE     130A,LIEBLING M S,A+,1
F09,Undergraduate,ECE     130A,LIEBLING M S,A,3
F09,Undergraduate,ECE     130A,LIEBLING M S,A-,3
F09,Undergraduate,ECE     130A,LIEBLING M S,B+,6
F09,Undergraduate,ECE     130A,LIEBLING M S,B,6
F09,Undergraduate,ECE     130A,LIEBLING M S,B-,2
F09,Undergraduate,ECE     130A,LIEBLING M S,C+,3
F09,Undergraduate,ECE     130A,LIEBLING M S,C,1
F09,Undergraduate,ECE     130A,LIEBLING M S,C-,1
F09,Undergraduate,ECE     132,MISHRA U,A+,1
F09,Undergraduate,ECE     132,MISHRA U,A,1
F09,Undergraduate,ECE     132,MISHRA U,B,2
F09,Undergraduate,ECE     132,MISHRA U,C-,1
F09,Undergraduate,ECE     134,YORK R A,A+,2
F09,Undergraduate,ECE     134,YORK R A,A,5
F09,Undergraduate,ECE     134,YORK R A,A-,2
F09,Undergraduate,ECE     134,YORK R A,B+,3
F09,Undergraduate,ECE     134,YORK R A,B,2
F09,Undergraduate,ECE     134,YORK R A,B-,2
F09,Undergraduate,ECE     134,YORK R A,C+,1
F09,Undergraduate,ECE     134,YORK R A,C,3
F09,Undergraduate,ECE     134,YORK R A,D+,2
F09,Undergraduate,ECE     134,YORK R A,D,5
F09,Undergraduate,ECE     152A,RODOPLU V,A+,1
F09,Undergraduate,ECE     152A,RODOPLU V,A,5
F09,Undergraduate,ECE     152A,RODOPLU V,A-,11
F09,Undergraduate,ECE     152A,RODOPLU V,B+,7
F09,Undergraduate,ECE     152A,RODOPLU V,B,6
F09,Undergraduate,ECE     152A,RODOPLU V,B-,2
F09,Undergraduate,ECE     152A,RODOPLU V,C,1
F09,Undergraduate,ECE     153A,BREWER F,A,2
F09,Undergraduate,ECE     153A,BREWER F,B+,2
