Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
F09,Undergraduate,ES   1-   4A,GREGORY K M,P,14
F09,Undergraduate,ES   1-   4B,GREGORY K M,P,12
F09,Undergraduate,ES   1-   5B,BRONTSEMA R P,P,10
F09,Undergraduate,ES   1-   5B,BRONTSEMA R P,NP,1
F09,Undergraduate,ES   1-   5C,BRONTSEMA R P,P,5
F09,Undergraduate,ES   1-   6A,BRONTSEMA R P,P,13
F09,Undergraduate,ES   1-   6B,BRONTSEMA R P,P,11
F09,Undergraduate,ES   1-   6B,BRONTSEMA R P,NP,1
F09,Undergraduate,ES   1-   6B,COLSON G W,P,13
F09,Undergraduate,ES   1-   6B,COLSON G W,NP,1
F09,Undergraduate,ES   1-   6C,COLSON G W,P,14
F09,Undergraduate,ES   1-   9A,SHEPARD T J,P,52
F09,Undergraduate,ES   1-  10A,WILLIAMS A,P,34
F09,Undergraduate,ES   1-  10A,WILLIAMS A,NP,4
F09,Undergraduate,ES   1-  10B,WILLIAMS A,P,30
F09,Undergraduate,ES   1-  10B,WILLIAMS A,NP,4
F09,Undergraduate,ES   1-  12,JAMIESON A E,P,20
F09,Undergraduate,ES   1-  12,JAMIESON A E,NP,2
F09,Undergraduate,ES   1-  13A,ROBINSON T,P,17
F09,Undergraduate,ES   1-  13A,ROBINSON T,NP,2
F09,Undergraduate,ES   1-  22,LASS S,P,7
F09,Undergraduate,ES   1-  24A,RASSENTI D,P,32
F09,Undergraduate,ES   1-  24A,RASSENTI D,NP,2
F09,Undergraduate,ES   1-  24B,BUKER L K,P,7
F09,Undergraduate,ES   1-  24B,BUKER L K,NP,3
F09,Undergraduate,ES   1-  24B,DEHERAS D J,P,12
F09,Undergraduate,ES   1-  25A,BADULESCU M,P,39
F09,Undergraduate,ES   1-  25A,BADULESCU M,NP,1
F09,Undergraduate,ES   1-  25B,BADULESCU M,P,10
F09,Undergraduate,ES   1-  25B,BADULESCU M,NP,2
F09,Undergraduate,ES   1-  26A,BADULESCU M,P,16
F09,Undergraduate,ES   1-  26B,BADULESCU M,P,10
F09,Undergraduate,ES   1-  29A,RASSENTI D,P,21
F09,Undergraduate,ES   1-  29B,RASSENTI D,P,16
F09,Undergraduate,ES   1-  29B,RASSENTI D,NP,1
F09,Undergraduate,ES   1-  30A,BADULESCU M,P,16
F09,Undergraduate,ES   1-  30A,BADULESCU M,NP,2
F09,Undergraduate,ES   1-  30B,BADULESCU M,P,24
F09,Undergraduate,ES   1-  30B,BADULESCU M,NP,1
F09,Undergraduate,ES   1-  31A,MYERS T G,P,13
F09,Undergraduate,ES   1-  31B,MYERS T G,P,21
F09,Undergraduate,ES   1-  32,GALICINAO B M,P,15
F09,Undergraduate,ES   1-  34A,ALLAIN T S,P,17
F09,Undergraduate,ES   1-  34B,WILSON G F,P,19
F09,Undergraduate,ES   1-  34B,WILSON G F,NP,3
F09,Undergraduate,ES   1-  36,MYERS T G,P,30
F09,Undergraduate,ES   1-  38A,DAVIS M J,P,25
F09,Undergraduate,ES   1-  38A,GERSTENFELD P,P,17
F09,Undergraduate,ES   1-  38A,KIRKWOOD P A,P,19
F09,Undergraduate,ES   1-  38A,KIRKWOOD P A,NP,1
F09,Undergraduate,ES   1-  38B,GERSTENFELD P,P,22
F09,Undergraduate,ES   1-  38C,KIRKWOOD P A,P,22
F09,Undergraduate,ES   1-  38C,KIRKWOOD P A,NP,1
F09,Undergraduate,ES   1-  40A,GIBBONS G L,P,41
F09,Undergraduate,ES   1-  40A,GIBBONS G L,NP,1
F09,Undergraduate,ES   1-  40B,GREGORY K M,P,18
F09,Undergraduate,ES   1-  40B,NELSON L F,P,40
F09,Undergraduate,ES   1-  40C,GREGORY K M,P,16
F09,Undergraduate,ES   1-  41A,ALLAIN T S,P,16
F09,Undergraduate,ES   1-  41A,ALLAIN T S,NP,1
F09,Undergraduate,ES   1-  43A,WILLIAMS A,P,19
F09,Undergraduate,ES   1-  43A,WILLIAMS A,NP,4
F09,Undergraduate,ES   1-  43B,ECKLUND C D,P,16
F09,Undergraduate,ES   1-  43B,ECKLUND C D,NP,5
F09,Undergraduate,ES   1-  43B,MYERS T G,F,1
F09,Undergraduate,ES   1-  43B,MYERS T G,P,65
F09,Undergraduate,ES   1-  43D,JAMIESON A E,F,1
F09,Undergraduate,ES   1-  43D,JAMIESON A E,P,348
F09,Undergraduate,ES   1-  43E,IZHAR J,P,23
F09,Undergraduate,ES   1-  43E,IZHAR J,NP,3
F09,Undergraduate,ES   1-  43E,WILLIAMS A,P,34
F09,Undergraduate,ES   1-  43E,WILLIAMS A,NP,2
F09,Undergraduate,ES   1-  59A,MILES D L,P,18
F09,Undergraduate,ES   1-  59A,MILES D L,NP,1
F09,Undergraduate,ES   1-  59B,MILES D L,P,11
F09,Undergraduate,ES   1-  59B,MILES D L,NP,2
F09,Undergraduate,ES   1-  99,BADULESCU M,P,20
F09,Undergraduate,ES   1-  99,BADULESCU M,NP,6
F09,Undergraduate,ES   1-  99,GERSTENFELD P,P,6
F09,Undergraduate,ES   1-  99,GREGORY K M,P,13
F09,Undergraduate,ES   1-  99,IZHAR J,P,7
F09,Undergraduate,ES   1-  99,JAMIESON A E,P,6
F09,Undergraduate,ES   1-  99,OTA K,P,14
F09,Undergraduate,ES   1-  99,WILLIAMS A,P,6
F09,Undergraduate,ES   1-  99,WILLIAMS A,NP,1
