Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
F09,Undergraduate,POL S     7,RAUCHHAUS R,A,7
F09,Undergraduate,POL S     7,RAUCHHAUS R,A-,15
F09,Undergraduate,POL S     7,RAUCHHAUS R,B+,27
F09,Undergraduate,POL S     7,RAUCHHAUS R,B,33
F09,Undergraduate,POL S     7,RAUCHHAUS R,B-,23
F09,Undergraduate,POL S     7,RAUCHHAUS R,C+,17
F09,Undergraduate,POL S     7,RAUCHHAUS R,C,19
F09,Undergraduate,POL S     7,RAUCHHAUS R,C-,20
F09,Undergraduate,POL S     7,RAUCHHAUS R,D+,5
F09,Undergraduate,POL S     7,RAUCHHAUS R,D,5
F09,Undergraduate,POL S     7,RAUCHHAUS R,F,10
F09,Undergraduate,POL S   104,WEATHERFORD M,A,10
F09,Undergraduate,POL S   104,WEATHERFORD M,A-,2
F09,Undergraduate,POL S   104,WEATHERFORD M,B+,2
F09,Undergraduate,POL S   104,WEATHERFORD M,B,20
F09,Undergraduate,POL S   104,WEATHERFORD M,B-,1
F09,Undergraduate,POL S   104,WEATHERFORD M,C+,2
F09,Undergraduate,POL S   104,WEATHERFORD M,C,11
F09,Undergraduate,POL S   104,WEATHERFORD M,C-,5
F09,Undergraduate,POL S   104,WEATHERFORD M,F,8
F09,Undergraduate,POL S   105,REYES C A,A,4
F09,Undergraduate,POL S   105,REYES C A,A-,15
F09,Undergraduate,POL S   105,REYES C A,B+,13
F09,Undergraduate,POL S   105,REYES C A,B,22
F09,Undergraduate,POL S   105,REYES C A,B-,17
F09,Undergraduate,POL S   105,REYES C A,C+,2
F09,Undergraduate,POL S   105,REYES C A,C,4
F09,Undergraduate,POL S   105,REYES C A,C-,1
F09,Undergraduate,POL S   105,REYES C A,D,1
F09,Undergraduate,POL S   115,BINION G N,A,2
F09,Undergraduate,POL S   115,BINION G N,A-,10
F09,Undergraduate,POL S   115,BINION G N,B+,13
F09,Undergraduate,POL S   115,BINION G N,B,21
F09,Undergraduate,POL S   115,BINION G N,B-,27
F09,Undergraduate,POL S   115,BINION G N,C+,15
F09,Undergraduate,POL S   115,BINION G N,C,17
F09,Undergraduate,POL S   115,BINION G N,C-,3
F09,Undergraduate,POL S   115,BINION G N,D+,1
F09,Undergraduate,POL S   115,BINION G N,F,2
F09,Undergraduate,POL S   134,BRUHN K,A,7
F09,Undergraduate,POL S   134,BRUHN K,A-,12
F09,Undergraduate,POL S   134,BRUHN K,B+,2
F09,Undergraduate,POL S   134,BRUHN K,B,14
F09,Undergraduate,POL S   134,BRUHN K,B-,8
F09,Undergraduate,POL S   134,BRUHN K,C+,9
F09,Undergraduate,POL S   134,BRUHN K,C,5
F09,Undergraduate,POL S   134,BRUHN K,C-,3
F09,Undergraduate,POL S   134,BRUHN K,D+,1
F09,Undergraduate,POL S   134,BRUHN K,F,2
F09,Undergraduate,POL S   162,SANTORI G C,A,17
F09,Undergraduate,POL S   162,SANTORI G C,A-,9
F09,Undergraduate,POL S   162,SANTORI G C,B+,5
F09,Undergraduate,POL S   162,SANTORI G C,B,11
F09,Undergraduate,POL S   162,SANTORI G C,B-,6
F09,Undergraduate,POL S   162,SANTORI G C,C+,4
F09,Undergraduate,POL S   162,SANTORI G C,F,4
F09,Undergraduate,POL S   180,MCDONNELL L M,A,2
F09,Undergraduate,POL S   180,MCDONNELL L M,A-,1
F09,Undergraduate,POL S   180,MCDONNELL L M,B+,6
F09,Undergraduate,POL S   180,MCDONNELL L M,B,12
F09,Undergraduate,POL S   180,MCDONNELL L M,B-,10
F09,Undergraduate,POL S   180,MCDONNELL L M,C+,8
F09,Undergraduate,POL S   180,MCDONNELL L M,C,3
F09,Undergraduate,POL S   180,MCDONNELL L M,F,3
F09,Undergraduate,POL S   186,COHEN B J,A+,1
F09,Undergraduate,POL S   186,COHEN B J,A,8
F09,Undergraduate,POL S   186,COHEN B J,A-,26
F09,Undergraduate,POL S   186,COHEN B J,B+,22
F09,Undergraduate,POL S   186,COHEN B J,B,33
F09,Undergraduate,POL S   186,COHEN B J,B-,17
F09,Undergraduate,POL S   186,COHEN B J,C+,10
F09,Undergraduate,POL S   186,COHEN B J,C,8
F09,Undergraduate,POL S   186,COHEN B J,C-,2
F09,Undergraduate,POL S   186,COHEN B J,D,1
F09,Undergraduate,POL S   186,COHEN B J,D-,1
F09,Undergraduate,POL S   188,NORRIS A,A,1
F09,Undergraduate,POL S   188,NORRIS A,A-,6
F09,Undergraduate,POL S   188,NORRIS A,B+,6
F09,Undergraduate,POL S   188,NORRIS A,B,4
F09,Undergraduate,POL S   188,NORRIS A,B-,10
F09,Undergraduate,POL S   188,NORRIS A,C+,6
F09,Undergraduate,POL S   188,NORRIS A,C,2
F09,Undergraduate,POL S   188,NORRIS A,C-,1
F09,Undergraduate,POL S   188,NORRIS A,D,2
F09,Undergraduate,POL S   197A,BIMBER B,A,6
F09,Undergraduate,POL S   197A,BIMBER B,A-,2
F09,Graduate,POL S   204,JENNINGS M K,A,3
F09,Graduate,POL S   204,JENNINGS M K,A-,7
F09,Graduate,POL S   204,JENNINGS M K,B+,1
F09,Graduate,POL S   215,WEATHERFORD M,A,3
F09,Graduate,POL S   215,WEATHERFORD M,A-,5
F09,Graduate,POL S   215,WEATHERFORD M,B,1
F09,Graduate,POL S   226,COHEN B J,A,2
F09,Graduate,POL S   226,COHEN B J,A-,2
F09,Graduate,POL S   226,COHEN B J,B+,1
F09,Graduate,POL S   231,BRUHN K,A,2
F09,Graduate,POL S   231,BRUHN K,A-,2
F09,Graduate,POL S   231,BRUHN K,B+,2
F09,Graduate,POL S   595A,GLASGOW G E,S,26
F09,Graduate,POL S   599,DIGESER P,S,7
