Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
F09,Undergraduate,SLAV      1,MCCLAIN K L,A+,2
F09,Undergraduate,SLAV      1,MCCLAIN K L,A,7
F09,Undergraduate,SLAV      1,MCCLAIN K L,A-,3
F09,Undergraduate,SLAV      1,MCCLAIN K L,B+,4
F09,Undergraduate,SLAV      1,MCCLAIN K L,B,3
F09,Undergraduate,SLAV      1,MCCLAIN K L,C+,1
F09,Undergraduate,SLAV      1,MCLELLAN L,A+,3
F09,Undergraduate,SLAV      1,MCLELLAN L,A,9
F09,Undergraduate,SLAV      1,MCLELLAN L,A-,1
F09,Undergraduate,SLAV      1,MCLELLAN L,B+,1
F09,Undergraduate,SLAV      1,MCLELLAN L,B,4
F09,Undergraduate,SLAV      1,MCLELLAN L,C+,1
F09,Undergraduate,SLAV      1,MCLELLAN L,F,2
F09,Undergraduate,SLAV      4,MCLELLAN L,B,1
F09,Undergraduate,SLAV    101A,MCLELLAN L,A,8
F09,Undergraduate,SLAV    101A,MCLELLAN L,A-,2
F09,Undergraduate,SLAV    101A,MCLELLAN L,B+,1
F09,Undergraduate,SLAV    101A,MCLELLAN L,B,2
F09,Undergraduate,SLAV    101A,MCLELLAN L,B-,1
F09,Undergraduate,SLAV    101A,MCLELLAN L,C,1
F09,Undergraduate,SLAV    117I,SPIEKER S,A,4
F09,Undergraduate,SLAV    117I,SPIEKER S,A-,3
F09,Undergraduate,SLAV    117I,SPIEKER S,B+,8
F09,Undergraduate,SLAV    117I,SPIEKER S,B,4
F09,Undergraduate,SLAV    117I,SPIEKER S,B-,4
F09,Undergraduate,SLAV    117I,SPIEKER S,C+,1
F09,Undergraduate,SLAV    130A,SPIEKER S,A-,1
F09,Undergraduate,SLAV    130A,SPIEKER S,B+,9
F09,Undergraduate,SLAV    130A,SPIEKER S,B,6
F09,Undergraduate,SLAV    130A,SPIEKER S,B-,4
F09,Undergraduate,SLAV    130A,SPIEKER S,C+,3
F09,Undergraduate,SLAV    130A,SPIEKER S,C,1
F09,Undergraduate,SLAV    130A,SPIEKER S,D,1
F09,Undergraduate,SLAV    130A,SPIEKER S,F,2
F09,Undergraduate,SLAV    164B,MCCLAIN K L,A+,1
F09,Undergraduate,SLAV    164B,MCCLAIN K L,A,8
F09,Undergraduate,SLAV    164B,MCCLAIN K L,A-,5
F09,Undergraduate,SLAV    164B,MCCLAIN K L,B+,1
F09,Undergraduate,SLAV    164B,MCCLAIN K L,B,2
