Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
F10,Undergraduate,CNCSP   101,ISRAEL T,A+,2
F10,Undergraduate,CNCSP   101,ISRAEL T,A,21
F10,Undergraduate,CNCSP   101,ISRAEL T,A-,26
F10,Undergraduate,CNCSP   101,ISRAEL T,B+,27
F10,Undergraduate,CNCSP   101,ISRAEL T,B,16
F10,Undergraduate,CNCSP   101,ISRAEL T,B-,10
F10,Undergraduate,CNCSP   101,ISRAEL T,C+,13
F10,Undergraduate,CNCSP   101,ISRAEL T,C,3
F10,Undergraduate,CNCSP   101,ISRAEL T,C-,1
F10,Undergraduate,CNCSP   101,ISRAEL T,D+,1
F10,Undergraduate,CNCSP   101,ISRAEL T,D,1
F10,Undergraduate,CNCSP   101,ISRAEL T,F,1
F10,Undergraduate,CNCSP   110,MAESTAS L,A+,39
F10,Undergraduate,CNCSP   110,MAESTAS L,A,9
F10,Undergraduate,CNCSP   110,MAESTAS L,A-,3
F10,Undergraduate,CNCSP   110,MAESTAS L,B+,1
F10,Undergraduate,CNCSP   199RA,JIMERSON S R,A+,1
F10,Undergraduate,CNCSP   199RA,JIMERSON S R,A,15
F10,Undergraduate,CNCSP   199RA,MORGAN M L,A,6
F10,Graduate,CNCSP   209A,CONOLEY C W,S,5
F10,Graduate,CNCSP   209A,ISRAEL T,S,5
F10,Graduate,CNCSP   209A,KIA-KEATING M,S,6
F10,Graduate,CNCSP   209A,KOEGEL R L,S,8
F10,Graduate,CNCSP   209A,MORGAN M L,S,5
F10,Graduate,CNCSP   209A,SMITH S R,S,6
F10,Graduate,CNCSP   224A,COSDEN M A,S,15
F10,Graduate,CNCSP   227,MORGAN M L,A,12
F10,Graduate,CNCSP   227,MORGAN M L,B,4
F10,Graduate,CNCSP   250,DOWDY E T,A,9
F10,Graduate,CNCSP   250,DOWDY E T,A-,3
F10,Graduate,CNCSP   264A,CONOLEY J C,S,13
F10,Graduate,CNCSP   264A,ZETZER H A,S,13
F10,Graduate,CNCSP   271B,SMITH S R,S,13
F10,Graduate,CNCSP   272,ZETZER H A,S,12
F10,Graduate,CNCSP   273,KOEGEL R L,S,7
F10,Graduate,CNCSP   279A,SMITH S R,S,10
F10,Graduate,CNCSP   293,ISRAEL T,A+,1
F10,Graduate,CNCSP   293,ISRAEL T,A,5
F10,Graduate,CNCSP   293,ISRAEL T,B+,2
F10,Graduate,CNCSP   599,KOEGEL R L,S,5
