Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
F10,Undergraduate,JAPAN     1,SHINAGAWA C,A+,4
F10,Undergraduate,JAPAN     1,SHINAGAWA C,A,11
F10,Undergraduate,JAPAN     1,SHINAGAWA C,A-,9
F10,Undergraduate,JAPAN     1,SHINAGAWA C,B+,2
F10,Undergraduate,JAPAN     1,SHINAGAWA C,B,5
F10,Undergraduate,JAPAN     1,SHINAGAWA C,B-,1
F10,Undergraduate,JAPAN     1,SHINAGAWA C,C+,1
F10,Undergraduate,JAPAN     1,SHINAGAWA C,C,3
F10,Undergraduate,JAPAN     1,SHINAGAWA C,F,1
F10,Undergraduate,JAPAN     1,SUGAWARA H,A,11
F10,Undergraduate,JAPAN     1,SUGAWARA H,A-,14
F10,Undergraduate,JAPAN     1,SUGAWARA H,B+,2
F10,Undergraduate,JAPAN     1,SUGAWARA H,B,3
F10,Undergraduate,JAPAN     1,SUGAWARA H,B-,3
F10,Undergraduate,JAPAN     1,SUGAWARA H,C+,2
F10,Undergraduate,JAPAN     1,YAMAUCHI Y,A+,1
F10,Undergraduate,JAPAN     1,YAMAUCHI Y,A,5
F10,Undergraduate,JAPAN     1,YAMAUCHI Y,A-,5
F10,Undergraduate,JAPAN     1,YAMAUCHI Y,B+,2
F10,Undergraduate,JAPAN     1,YAMAUCHI Y,B-,1
F10,Undergraduate,JAPAN     1,YAMAUCHI Y,C,1
F10,Undergraduate,JAPAN     1,YAMAUCHI Y,C-,1
F10,Undergraduate,JAPAN     1,YAMAUCHI Y,D+,1
F10,Undergraduate,JAPAN     4,MARUYAMA A,A,11
F10,Undergraduate,JAPAN     4,MARUYAMA A,A-,7
F10,Undergraduate,JAPAN     4,MARUYAMA A,B+,3
F10,Undergraduate,JAPAN     4,MARUYAMA A,B,7
F10,Undergraduate,JAPAN     4,MARUYAMA A,B-,5
F10,Undergraduate,JAPAN     4,MARUYAMA A,C+,2
F10,Undergraduate,JAPAN     4,MARUYAMA A,C,6
F10,Undergraduate,JAPAN     4,MARUYAMA A,C-,2
F10,Undergraduate,JAPAN     4,MARUYAMA A,D+,1
F10,Undergraduate,JAPAN     4,MARUYAMA A,F,1
F10,Undergraduate,JAPAN     4,SHINAGAWA C,A+,2
F10,Undergraduate,JAPAN     4,SHINAGAWA C,A,4
F10,Undergraduate,JAPAN     4,SHINAGAWA C,B+,4
F10,Undergraduate,JAPAN     4,SHINAGAWA C,B,1
F10,Undergraduate,JAPAN     4,SHINAGAWA C,B-,5
F10,Undergraduate,JAPAN     4,SHINAGAWA C,C+,1
F10,Undergraduate,JAPAN     4,SHINAGAWA C,C,1
F10,Undergraduate,JAPAN     4,SHINAGAWA C,C-,4
F10,Undergraduate,JAPAN     4,SHINAGAWA C,F,1
F10,Undergraduate,JAPAN   110A,EMMERICH M D,A,6
F10,Undergraduate,JAPAN   110A,EMMERICH M D,A-,4
F10,Undergraduate,JAPAN   110A,EMMERICH M D,B+,6
F10,Undergraduate,JAPAN   110A,EMMERICH M D,B,3
F10,Undergraduate,JAPAN   110A,EMMERICH M D,B-,6
F10,Undergraduate,JAPAN   110A,EMMERICH M D,C+,2
F10,Undergraduate,JAPAN   110A,EMMERICH M D,C,2
F10,Undergraduate,JAPAN   120A,YAMAUCHI Y,A+,6
F10,Undergraduate,JAPAN   120A,YAMAUCHI Y,A,10
F10,Undergraduate,JAPAN   120A,YAMAUCHI Y,A-,2
F10,Undergraduate,JAPAN   120A,YAMAUCHI Y,B+,2
F10,Undergraduate,JAPAN   120A,YAMAUCHI Y,B,10
F10,Undergraduate,JAPAN   120A,YAMAUCHI Y,B-,1
F10,Undergraduate,JAPAN   120A,YAMAUCHI Y,C,2
F10,Undergraduate,JAPAN   120A,YAMAUCHI Y,C-,1
F10,Undergraduate,JAPAN   144,EMMERICH M D,A+,2
F10,Undergraduate,JAPAN   144,EMMERICH M D,A,2
F10,Undergraduate,JAPAN   144,EMMERICH M D,A-,2
F10,Undergraduate,JAPAN   144,EMMERICH M D,B+,1
F10,Undergraduate,JAPAN   144,EMMERICH M D,B-,1
F10,Undergraduate,JAPAN   144,EMMERICH M D,F,1
F10,Undergraduate,JAPAN   169,SALTZMAN-LI K,A+,1
F10,Undergraduate,JAPAN   169,SALTZMAN-LI K,A,1
F10,Undergraduate,JAPAN   169,SALTZMAN-LI K,A-,5
F10,Undergraduate,JAPAN   169,SALTZMAN-LI K,B,2
F10,Undergraduate,JAPAN   169,SALTZMAN-LI K,C,1
F10,Undergraduate,JAPAN   169,SALTZMAN-LI K,F,1
