Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
F10,Undergraduate,LIT  CS 101,MACKER E A,P,14
F10,Undergraduate,LIT  CS 102,ALLEN C E,P,30
F10,Undergraduate,LIT  CS 102,NATHAN J,P,11
F10,Undergraduate,LIT  CS 103,KRUT R M,P,16
F10,Undergraduate,LIT  CS 103,LIM S,P,6
F10,Undergraduate,LIT  CS 105,ALLEN C E,P,51
F10,Undergraduate,LIT  CS 110,LEVINE S,P,18
F10,Undergraduate,LIT  CS 110,O'CONNELL M W,P,21
F10,Undergraduate,LIT  CS 111,ALLEN C E,P,14
F10,Undergraduate,LIT  CS 111,DONELAN J H,P,21
