Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
F10,Graduate,MATRL   207,BEGLEY M R,A+,2
F10,Graduate,MATRL   207,BEGLEY M R,A,4
F10,Graduate,MATRL   207,BEGLEY M R,A-,2
F10,Graduate,MATRL   228,VAN DE WALLE,A+,1
F10,Graduate,MATRL   228,VAN DE WALLE,A,4
F10,Graduate,MATRL   228,VAN DE WALLE,A-,2
F10,Graduate,MATRL   228,VAN DE WALLE,B+,4
F10,Graduate,MATRL   253,SAFINYA C R,A+,3
F10,Graduate,MATRL   253,SAFINYA C R,A,9
F10,Graduate,MATRL   253,SAFINYA C R,A-,1
F10,Graduate,MATRL   261,ZOK F,A,3
F10,Graduate,MATRL   261,ZOK F,A-,3
F10,Graduate,MATRL   261,ZOK F,B-,1
F10,Graduate,MATRL   261,ZOK F,C-,1
F10,Graduate,MATRL   271A,BAZAN G C,A,5
F10,Graduate,MATRL   271A,BAZAN G C,B,2
F10,Graduate,MATRL   280A,CHABINYC M L,A,8
F10,Graduate,MATRL   280A,CHABINYC M L,A-,1
F10,Graduate,MATRL   290,DENBAARS S P,S,8
F10,Graduate,MATRL   290,LEVI C G,S,7
F10,Graduate,MATRL   290,NAKAMURA S,S,6
F10,Graduate,MATRL   290,SPECK J S,S,6
F10,Graduate,MATRL   290,STEMMER S,S,9
F10,Graduate,MATRL   290,ZOK F,S,7
F10,Graduate,MATRL   598,CHABINYC M L,S,6
F10,Graduate,MATRL   598,NAKAMURA S,S,5
F10,Graduate,MATRL   598,PALMSTROM C J,S,6
F10,Graduate,MATRL   598,SPECK J S,S,6
F10,Graduate,MATRL   598,STEMMER S,S,6
F10,Graduate,MATRL   599,DENBAARS S P,S,5
F10,Graduate,MATRL   599,SPECK J S,S,5
