Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
F11,Undergraduate,CH ST     1A,GARCIA M T,A+,20
F11,Undergraduate,CH ST     1A,GARCIA M T,A,97
F11,Undergraduate,CH ST     1A,GARCIA M T,A-,116
F11,Undergraduate,CH ST     1A,GARCIA M T,B+,84
F11,Undergraduate,CH ST     1A,GARCIA M T,B,85
F11,Undergraduate,CH ST     1A,GARCIA M T,B-,31
F11,Undergraduate,CH ST     1A,GARCIA M T,C+,13
F11,Undergraduate,CH ST     1A,GARCIA M T,C,14
F11,Undergraduate,CH ST     1A,GARCIA M T,C-,4
F11,Undergraduate,CH ST     1A,GARCIA M T,D+,1
F11,Undergraduate,CH ST     1A,GARCIA M T,D,2
F11,Undergraduate,CH ST     1A,GARCIA M T,F,4
F11,Undergraduate,CH ST   125B,MONTES F,A,7
F11,Undergraduate,CH ST   125B,MONTES F,A-,35
F11,Undergraduate,CH ST   125B,MONTES F,B+,14
F11,Undergraduate,CH ST   125B,MONTES F,B,1
F11,Undergraduate,CH ST   125B,MONTES F,B-,1
F11,Undergraduate,CH ST   125B,MONTES F,D,1
F11,Undergraduate,CH ST   125B,MONTES F,F,1
F11,Undergraduate,CH ST   149,FIGUEROA T,A+,6
F11,Undergraduate,CH ST   149,FIGUEROA T,A,8
F11,Undergraduate,CH ST   149,FIGUEROA T,A-,15
F11,Undergraduate,CH ST   149,FIGUEROA T,B+,14
F11,Undergraduate,CH ST   149,FIGUEROA T,B,8
F11,Undergraduate,CH ST   149,FIGUEROA T,B-,3
F11,Undergraduate,CH ST   172,OCHOA F J,A+,8
F11,Undergraduate,CH ST   172,OCHOA F J,A,15
F11,Undergraduate,CH ST   172,OCHOA F J,A-,10
F11,Undergraduate,CH ST   172,OCHOA F J,B+,7
F11,Undergraduate,CH ST   172,OCHOA F J,B,10
F11,Undergraduate,CH ST   172,OCHOA F J,B-,2
F11,Undergraduate,CH ST   172,OCHOA F J,C,2
F11,Undergraduate,CH ST   173,FIGUEROA T,A+,2
F11,Undergraduate,CH ST   173,FIGUEROA T,A,5
F11,Undergraduate,CH ST   173,FIGUEROA T,A-,8
F11,Undergraduate,CH ST   173,FIGUEROA T,B+,8
F11,Undergraduate,CH ST   173,FIGUEROA T,B,2
F11,Undergraduate,CH ST   173,FIGUEROA T,B-,5
F11,Undergraduate,CH ST   173,FIGUEROA T,C+,1
F11,Undergraduate,CH ST   173,FIGUEROA T,C,3
F11,Undergraduate,CH ST   173,FIGUEROA T,F,2
F11,Undergraduate,CH ST   174,HIRSCH-DUBIN,A,6
F11,Undergraduate,CH ST   174,HIRSCH-DUBIN,A-,2
F11,Undergraduate,CH ST   174,HIRSCH-DUBIN,B,1
F11,Undergraduate,CH ST   174,HIRSCH-DUBIN,B-,5
F11,Undergraduate,CH ST   174,HIRSCH-DUBIN,C+,2
F11,Undergraduate,CH ST   184A,GUZMAN G,A,10
F11,Undergraduate,CH ST   184A,GUZMAN G,A-,18
F11,Undergraduate,CH ST   184A,GUZMAN G,B+,11
F11,Undergraduate,CH ST   184A,GUZMAN G,B,7
F11,Undergraduate,CH ST   184A,GUZMAN G,B-,3
F11,Undergraduate,CH ST   184A,GUZMAN G,C+,2
F11,Undergraduate,CH ST   184A,GUZMAN G,C-,1
F11,Undergraduate,CH ST   184A,GUZMAN G,D,1
F11,Undergraduate,CH ST   186A,ANGUIANO J G,A,9
F11,Undergraduate,CH ST   186A,ANGUIANO J G,A-,7
F11,Undergraduate,CH ST   186A,ANGUIANO J G,B+,5
F11,Undergraduate,CH ST   186A,ANGUIANO J G,B,6
F11,Undergraduate,CH ST   186A,ANGUIANO J G,B-,3
F11,Undergraduate,CH ST   186A,ANGUIANO J G,C+,2
F11,Undergraduate,CH ST   186A,ANGUIANO J G,C,2
F11,Undergraduate,CH ST   186A,ANGUIANO J G,C-,1
F11,Undergraduate,CH ST   186A,ANGUIANO J G,F,2
F11,Undergraduate,CH ST   188C,PALACIOS M A,A,1
F11,Undergraduate,CH ST   188C,PALACIOS M A,A-,7
F11,Undergraduate,CH ST   188C,PALACIOS M A,B+,7
F11,Graduate,CH ST   200C,HURTADO A,A,8
F11,Graduate,CH ST   240,GARCIA M T,S,15
F11,Graduate,CH ST   260A,GARCIA M T,A,9
