Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
F11,Undergraduate,CMPSC     8,BUONI M J,A+,28
F11,Undergraduate,CMPSC     8,BUONI M J,A,34
F11,Undergraduate,CMPSC     8,BUONI M J,A-,35
F11,Undergraduate,CMPSC     8,BUONI M J,B+,30
F11,Undergraduate,CMPSC     8,BUONI M J,B,24
F11,Undergraduate,CMPSC     8,BUONI M J,B-,10
F11,Undergraduate,CMPSC     8,BUONI M J,C+,9
F11,Undergraduate,CMPSC     8,BUONI M J,C,12
F11,Undergraduate,CMPSC     8,BUONI M J,C-,1
F11,Undergraduate,CMPSC     8,BUONI M J,D+,1
F11,Undergraduate,CMPSC     8,BUONI M J,D,2
F11,Undergraduate,CMPSC     8,BUONI M J,F,8
F11,Undergraduate,CMPSC    16,AGRAWAL D,A+,9
F11,Undergraduate,CMPSC    16,AGRAWAL D,A,16
F11,Undergraduate,CMPSC    16,AGRAWAL D,A-,13
F11,Undergraduate,CMPSC    16,AGRAWAL D,B+,9
F11,Undergraduate,CMPSC    16,AGRAWAL D,B,12
F11,Undergraduate,CMPSC    16,AGRAWAL D,B-,8
F11,Undergraduate,CMPSC    16,AGRAWAL D,C+,5
F11,Undergraduate,CMPSC    16,AGRAWAL D,C,8
F11,Undergraduate,CMPSC    16,AGRAWAL D,C-,8
F11,Undergraduate,CMPSC    16,AGRAWAL D,F,10
F11,Undergraduate,CMPSC    24,FRANKLIN D M,A+,3
F11,Undergraduate,CMPSC    24,FRANKLIN D M,A,12
F11,Undergraduate,CMPSC    24,FRANKLIN D M,A-,8
F11,Undergraduate,CMPSC    24,FRANKLIN D M,B+,10
F11,Undergraduate,CMPSC    24,FRANKLIN D M,B,6
F11,Undergraduate,CMPSC    24,FRANKLIN D M,B-,12
F11,Undergraduate,CMPSC    24,FRANKLIN D M,C+,3
F11,Undergraduate,CMPSC    24,FRANKLIN D M,C,3
F11,Undergraduate,CMPSC    24,FRANKLIN D M,D,3
F11,Undergraduate,CMPSC    24,FRANKLIN D M,F,3
F11,Undergraduate,CMPSC    32,COSTANZO C,A+,4
F11,Undergraduate,CMPSC    32,COSTANZO C,A,26
F11,Undergraduate,CMPSC    32,COSTANZO C,A-,7
F11,Undergraduate,CMPSC    32,COSTANZO C,B+,12
F11,Undergraduate,CMPSC    32,COSTANZO C,B,19
F11,Undergraduate,CMPSC    32,COSTANZO C,B-,9
F11,Undergraduate,CMPSC    32,COSTANZO C,C+,4
F11,Undergraduate,CMPSC    32,COSTANZO C,C,6
F11,Undergraduate,CMPSC    40,CONRAD P T,A+,7
F11,Undergraduate,CMPSC    40,CONRAD P T,A,27
F11,Undergraduate,CMPSC    40,CONRAD P T,A-,27
F11,Undergraduate,CMPSC    40,CONRAD P T,B+,14
F11,Undergraduate,CMPSC    40,CONRAD P T,B,13
F11,Undergraduate,CMPSC    40,CONRAD P T,B-,3
F11,Undergraduate,CMPSC    40,CONRAD P T,C,1
F11,Undergraduate,CMPSC    40,CONRAD P T,F,1
F11,Undergraduate,CMPSC    48,COSTANZO C,A+,1
F11,Undergraduate,CMPSC    48,COSTANZO C,A,34
F11,Undergraduate,CMPSC    48,COSTANZO C,A-,2
F11,Undergraduate,CMPSC    48,COSTANZO C,B+,3
F11,Undergraduate,CMPSC    48,COSTANZO C,B-,1
F11,Undergraduate,CMPSC    48,COSTANZO C,D+,1
F11,Undergraduate,CMPSC    64,DUNCAN A M,A+,3
F11,Undergraduate,CMPSC    64,DUNCAN A M,A,8
F11,Undergraduate,CMPSC    64,DUNCAN A M,A-,3
F11,Undergraduate,CMPSC    64,DUNCAN A M,B+,3
F11,Undergraduate,CMPSC    64,DUNCAN A M,B,11
F11,Undergraduate,CMPSC    64,DUNCAN A M,B-,3
F11,Undergraduate,CMPSC    64,DUNCAN A M,C+,2
F11,Undergraduate,CMPSC    64,DUNCAN A M,C,3
F11,Undergraduate,CMPSC    64,DUNCAN A M,D,1
F11,Undergraduate,CMPSC    64,DUNCAN A M,F,2
F11,Undergraduate,CMPSC   111,GIBOU F G,A+,7
F11,Undergraduate,CMPSC   111,GIBOU F G,A,49
F11,Undergraduate,CMPSC   111,GIBOU F G,A-,11
F11,Undergraduate,CMPSC   111,GIBOU F G,B+,2
F11,Undergraduate,CMPSC   111,GIBOU F G,B,1
F11,Undergraduate,CMPSC   111,GIBOU F G,F,1
F11,Undergraduate,CMPSC   130A,GONZALEZ T F,A+,6
F11,Undergraduate,CMPSC   130A,GONZALEZ T F,A,7
F11,Undergraduate,CMPSC   130A,GONZALEZ T F,A-,3
F11,Undergraduate,CMPSC   130A,GONZALEZ T F,B+,2
F11,Undergraduate,CMPSC   130A,GONZALEZ T F,B,2
F11,Undergraduate,CMPSC   130A,GONZALEZ T F,B-,8
F11,Undergraduate,CMPSC   130A,GONZALEZ T F,C+,4
F11,Undergraduate,CMPSC   130A,GONZALEZ T F,C,11
F11,Undergraduate,CMPSC   130A,GONZALEZ T F,C-,6
F11,Undergraduate,CMPSC   130A,GONZALEZ T F,D+,4
F11,Undergraduate,CMPSC   130A,GONZALEZ T F,D,1
F11,Undergraduate,CMPSC   130A,GONZALEZ T F,F,1
F11,Undergraduate,CMPSC   138,VAN DAM W,A+,5
F11,Undergraduate,CMPSC   138,VAN DAM W,A,3
F11,Undergraduate,CMPSC   138,VAN DAM W,A-,5
F11,Undergraduate,CMPSC   138,VAN DAM W,B+,3
F11,Undergraduate,CMPSC   138,VAN DAM W,B,9
F11,Undergraduate,CMPSC   138,VAN DAM W,B-,3
F11,Undergraduate,CMPSC   138,VAN DAM W,C+,7
F11,Undergraduate,CMPSC   138,VAN DAM W,C,6
F11,Undergraduate,CMPSC   138,VAN DAM W,C-,3
F11,Undergraduate,CMPSC   138,VAN DAM W,D+,1
F11,Undergraduate,CMPSC   138,VAN DAM W,D,1
F11,Undergraduate,CMPSC   138,VAN DAM W,D-,1
F11,Undergraduate,CMPSC   138,VAN DAM W,F,1
F11,Undergraduate,CMPSC   153A,BREWER F,A,5
F11,Undergraduate,CMPSC   153A,BREWER F,A-,4
F11,Undergraduate,CMPSC   153A,BREWER F,B,1
F11,Undergraduate,CMPSC   160,BULTAN T,A+,1
F11,Undergraduate,CMPSC   160,BULTAN T,A,8
F11,Undergraduate,CMPSC   160,BULTAN T,A-,9
F11,Undergraduate,CMPSC   160,BULTAN T,B+,6
F11,Undergraduate,CMPSC   160,BULTAN T,B,4
F11,Undergraduate,CMPSC   160,BULTAN T,B-,3
F11,Undergraduate,CMPSC   160,BULTAN T,C+,6
F11,Undergraduate,CMPSC   160,BULTAN T,C-,4
F11,Undergraduate,CMPSC   160,BULTAN T,D,1
F11,Undergraduate,CMPSC   160,BULTAN T,F,2
F11,Undergraduate,CMPSC   167,SINGH A K,A+,1
F11,Undergraduate,CMPSC   167,SINGH A K,B,3
F11,Undergraduate,CMPSC   167,SINGH A K,C-,1
F11,Undergraduate,CMPSC   167,SINGH A K,F,1
F11,Undergraduate,CMPSC   170,YANG T,A+,2
F11,Undergraduate,CMPSC   170,YANG T,A,14
F11,Undergraduate,CMPSC   170,YANG T,A-,5
F11,Undergraduate,CMPSC   170,YANG T,B+,9
F11,Undergraduate,CMPSC   170,YANG T,B,11
F11,Undergraduate,CMPSC   170,YANG T,B-,3
F11,Undergraduate,CMPSC   170,YANG T,C+,4
F11,Undergraduate,CMPSC   170,YANG T,C,2
F11,Undergraduate,CMPSC   176A,ALMEROTH K C,A+,1
F11,Undergraduate,CMPSC   176A,ALMEROTH K C,A,16
F11,Undergraduate,CMPSC   176A,ALMEROTH K C,A-,14
F11,Undergraduate,CMPSC   176A,ALMEROTH K C,B+,3
F11,Undergraduate,CMPSC   176A,ALMEROTH K C,B,18
F11,Undergraduate,CMPSC   176A,ALMEROTH K C,B-,12
F11,Undergraduate,CMPSC   176A,ALMEROTH K C,C,9
F11,Undergraduate,CMPSC   176A,ALMEROTH K C,C-,3
F11,Undergraduate,CMPSC   176A,ALMEROTH K C,D,5
F11,Undergraduate,CMPSC   176A,ALMEROTH K C,F,3
F11,Undergraduate,CMPSC   177,KEMMERER R A,A,12
F11,Undergraduate,CMPSC   177,KEMMERER R A,B+,11
F11,Undergraduate,CMPSC   177,KEMMERER R A,B,11
F11,Undergraduate,CMPSC   177,KEMMERER R A,C+,4
F11,Undergraduate,CMPSC   177,KEMMERER R A,C,3
F11,Undergraduate,CMPSC   177,KEMMERER R A,C-,1
F11,Undergraduate,CMPSC   177,KEMMERER R A,F,1
F11,Undergraduate,CMPSC   180,TURK M A,A+,1
F11,Undergraduate,CMPSC   180,TURK M A,A,7
F11,Undergraduate,CMPSC   180,TURK M A,A-,3
F11,Undergraduate,CMPSC   180,TURK M A,B+,2
F11,Undergraduate,CMPSC   180,TURK M A,B,13
F11,Undergraduate,CMPSC   180,TURK M A,B-,2
F11,Undergraduate,CMPSC   180,TURK M A,C,10
F11,Undergraduate,CMPSC   180,TURK M A,C-,3
