Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
F11,Undergraduate,ESS       2,POWELL R C,A+,4
F11,Undergraduate,ESS       2,POWELL R C,A,37
F11,Undergraduate,ESS       2,POWELL R C,A-,23
F11,Undergraduate,ESS       2,POWELL R C,B+,39
F11,Undergraduate,ESS       2,POWELL R C,B,59
F11,Undergraduate,ESS       2,POWELL R C,B-,17
F11,Undergraduate,ESS       2,POWELL R C,C+,17
F11,Undergraduate,ESS       2,POWELL R C,C,19
F11,Undergraduate,ESS       2,POWELL R C,D+,2
F11,Undergraduate,ESS       2,POWELL R C,D,2
F11,Undergraduate,ESS       2,POWELL R C,F,8
F11,Undergraduate,ESS       3,GILBERT A R,A+,21
F11,Undergraduate,ESS       3,GILBERT A R,A,44
F11,Undergraduate,ESS       3,GILBERT A R,A-,54
F11,Undergraduate,ESS       3,GILBERT A R,B+,49
F11,Undergraduate,ESS       3,GILBERT A R,B,73
F11,Undergraduate,ESS       3,GILBERT A R,B-,58
F11,Undergraduate,ESS       3,GILBERT A R,C+,243
F11,Undergraduate,ESS       3,GILBERT A R,C,117
F11,Undergraduate,ESS       3,GILBERT A R,D+,8
F11,Undergraduate,ESS       3,GILBERT A R,D,6
F11,Undergraduate,ESS       3,GILBERT A R,F,22
F11,Undergraduate,ESS       4A,POWELL R C,A+,13
F11,Undergraduate,ESS       4A,POWELL R C,A,13
F11,Undergraduate,ESS       4A,POWELL R C,A-,2
F11,Undergraduate,ESS       4A,POWELL R C,B,2
F11,Undergraduate,ESS       7,TUCKNOTT R A,A,18
F11,Undergraduate,ESS       7,TUCKNOTT R A,A-,1
F11,Undergraduate,ESS       7,TUCKNOTT R A,B,2
F11,Undergraduate,ESS       7,TUCKNOTT R A,B-,1
F11,Undergraduate,ESS       7,TUCKNOTT R A,C,1
F11,Undergraduate,ESS       9,GILBERT A R,A+,6
F11,Undergraduate,ESS       9,GILBERT A R,A,15
F11,Undergraduate,ESS       9,GILBERT A R,A-,13
F11,Undergraduate,ESS       9,GILBERT A R,B+,5
F11,Undergraduate,ESS       9,GILBERT A R,B,2
F11,Undergraduate,ESS       9,GILBERT A R,B-,6
F11,Undergraduate,ESS       9,GILBERT A R,C,3
F11,Undergraduate,ESS       9,GILBERT A R,D+,1
F11,Undergraduate,ESS      96,JAMIESON A E,P,26
F11,Undergraduate,ESS     130,HAMILTON J M,A+,4
F11,Undergraduate,ESS     130,HAMILTON J M,A,14
F11,Undergraduate,ESS     130,HAMILTON J M,A-,5
F11,Undergraduate,ESS     130,HAMILTON J M,B+,10
F11,Undergraduate,ESS     130,HAMILTON J M,B,13
F11,Undergraduate,ESS     130,HAMILTON J M,B-,7
F11,Undergraduate,ESS     130,HAMILTON J M,C+,2
F11,Undergraduate,ESS     130,HAMILTON J M,C,1
F11,Undergraduate,ESS     130,HAMILTON J M,C-,3
F11,Undergraduate,ESS     130,HAMILTON J M,D+,1
F11,Undergraduate,ESS     131,SPAVENTA J A,A,9
F11,Undergraduate,ESS     131,SPAVENTA J A,A-,5
F11,Undergraduate,ESS     131,SPAVENTA J A,B+,8
F11,Undergraduate,ESS     131,SPAVENTA J A,B,7
F11,Undergraduate,ESS     131,SPAVENTA J A,B-,2
F11,Undergraduate,ESS     131,SPAVENTA J A,C+,4
F11,Undergraduate,ESS     131,SPAVENTA J A,C,7
F11,Undergraduate,ESS     131,SPAVENTA J A,D,1
F11,Undergraduate,ESS     140,HAMILTON J M,A+,1
F11,Undergraduate,ESS     140,HAMILTON J M,A,9
F11,Undergraduate,ESS     140,HAMILTON J M,A-,12
F11,Undergraduate,ESS     140,HAMILTON J M,B+,12
F11,Undergraduate,ESS     140,HAMILTON J M,B,9
F11,Undergraduate,ESS     140,HAMILTON J M,B-,4
F11,Undergraduate,ESS     140,HAMILTON J M,C+,5
F11,Undergraduate,ESS     140,HAMILTON J M,C,2
F11,Undergraduate,ESS     140,HAMILTON J M,C-,1
F11,Undergraduate,ESS     140,HAMILTON J M,D-,1
F11,Undergraduate,ESS     140,HAMILTON J M,F,1
F11,Undergraduate,ESS     150,ROMEO J A,A,5
F11,Undergraduate,ESS     150,ROMEO J A,A-,3
F11,Undergraduate,ESS     150,ROMEO J A,B+,4
F11,Undergraduate,ESS     150,ROMEO J A,B,5
F11,Undergraduate,ESS     150,ROMEO J A,B-,3
F11,Undergraduate,ESS     150,ROMEO J A,C+,2
F11,Undergraduate,ESS     150,ROMEO J A,C,2
F11,Undergraduate,ESS     150,ROMEO J A,C-,3
F11,Undergraduate,ESS     160,ROMEO J A,A,16
F11,Undergraduate,ESS     160,ROMEO J A,A-,14
F11,Undergraduate,ESS     160,ROMEO J A,B+,14
F11,Undergraduate,ESS     160,ROMEO J A,B,14
F11,Undergraduate,ESS     160,ROMEO J A,B-,13
F11,Undergraduate,ESS     160,ROMEO J A,C+,9
F11,Undergraduate,ESS     160,ROMEO J A,C,15
F11,Undergraduate,ESS     160,ROMEO J A,C-,3
F11,Undergraduate,ESS     160,ROMEO J A,D,2
F11,Undergraduate,ESS     175A,JAMIESON A E,A,9
F11,Undergraduate,ESS     175A,JAMIESON A E,A-,1
F11,Undergraduate,ESS     175A,JAMIESON A E,B+,3
F11,Undergraduate,ESS     175A,JAMIESON A E,B,2
F11,Undergraduate,ESS     193,JAMIESON A E,P,13
F11,Undergraduate,ESS     199,JAMIESON A E,A,23
