Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
F11,Undergraduate,MS        1A,DAVIS G W,A+,3
F11,Undergraduate,MS        1A,DAVIS G W,A,9
F11,Undergraduate,MS        2AA,DAVIS G W,A,15
F11,Undergraduate,MS       22,DAVIS G W,A,36
F11,Undergraduate,MS       27,DAVIS G W,A+,8
F11,Undergraduate,MS       27,DAVIS G W,A,30
F11,Undergraduate,MS       27,DAVIS G W,A-,27
F11,Undergraduate,MS       27,DAVIS G W,B+,14
F11,Undergraduate,MS       27,DAVIS G W,B,12
F11,Undergraduate,MS       27,DAVIS G W,B-,4
F11,Undergraduate,MS       27,DAVIS G W,C+,1
F11,Undergraduate,MS       27,DAVIS G W,C,1
F11,Undergraduate,MS       27,DAVIS G W,C-,2
F11,Undergraduate,MS      131,DAVIS G W,A,12
F11,Undergraduate,MS      141,DAVIS G W,A+,2
F11,Undergraduate,MS      141,DAVIS G W,A,7
