Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
F11,Undergraduate,EARTH     7,PORTER S M,A+,1
F11,Undergraduate,EARTH     7,PORTER S M,A,56
F11,Undergraduate,EARTH     7,PORTER S M,A-,52
F11,Undergraduate,EARTH     7,PORTER S M,B+,53
F11,Undergraduate,EARTH     7,PORTER S M,B,90
F11,Undergraduate,EARTH     7,PORTER S M,B-,46
F11,Undergraduate,EARTH     7,PORTER S M,C+,32
F11,Undergraduate,EARTH     7,PORTER S M,C,64
F11,Undergraduate,EARTH     7,PORTER S M,D+,13
F11,Undergraduate,EARTH     7,PORTER S M,D,18
F11,Undergraduate,EARTH     7,PORTER S M,D-,8
F11,Undergraduate,EARTH     7,PORTER S M,F,9
F11,Undergraduate,FLMST   188A,PORTUGES P C,A+,1
F11,Undergraduate,FLMST   188A,PORTUGES P C,A,8
F11,Undergraduate,FLMST   188A,PORTUGES P C,B+,4
F11,Undergraduate,FLMST   188A,PORTUGES P C,B,1
F11,Undergraduate,LIT  CS 113,PORTUGES P C,P,14
F11,Undergraduate,PORT      1,MARQUES-PASCU,A,11
F11,Undergraduate,PORT      1,MARQUES-PASCU,A-,9
F11,Undergraduate,PORT      1,MARQUES-PASCU,B+,9
F11,Undergraduate,PORT      1,MARQUES-PASCU,B,14
F11,Undergraduate,PORT      1,MARQUES-PASCU,B-,9
F11,Undergraduate,PORT      1,MARQUES-PASCU,C,5
F11,Undergraduate,PORT      1,MARQUES-PASCU,D+,1
F11,Undergraduate,PORT      1,MARQUES-PASCU,D,1
F11,Undergraduate,PORT      1,MARQUES-PASCU,F,1
F11,Undergraduate,PORT      4,MARQUES-PASCU,A,4
F11,Undergraduate,PORT      4,MARQUES-PASCU,A-,7
F11,Undergraduate,PORT      4,MARQUES-PASCU,B+,4
F11,Undergraduate,PORT      4,MARQUES-PASCU,B,4
F11,Undergraduate,PORT    102A,BRITES R A,A,2
F11,Undergraduate,PORT    102A,BRITES R A,A-,1
F11,Undergraduate,PORT    102A,BRITES R A,B+,1
F11,Undergraduate,PORT    102A,BRITES R A,B,2
F11,Undergraduate,PORT    102A,BRITES R A,B-,1
F11,Undergraduate,PORT    102A,BRITES R A,C+,2
F11,Undergraduate,PORT    106A,OLIVER E V,A,5
F11,Undergraduate,PORT    106A,OLIVER E V,C,1
F11,Undergraduate,PORT    128MP,BRITES R A,A+,2
F11,Undergraduate,PORT    128MP,BRITES R A,A,8
F11,Undergraduate,PORT    128MP,BRITES R A,A-,20
F11,Undergraduate,PORT    128MP,BRITES R A,B+,1
F11,Undergraduate,PORT    128MP,BRITES R A,B,5
F11,Undergraduate,PORT    128MP,BRITES R A,B-,1
F11,Graduate,PORT    295A,CAMILO-DOS-SA,A+,1
F11,Graduate,PORT    295A,CAMILO-DOS-SA,A,4
