Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
F12,Undergraduate,AS AM     2,PARK J S W,A+,3
F12,Undergraduate,AS AM     2,PARK J S W,A,16
F12,Undergraduate,AS AM     2,PARK J S W,A-,12
F12,Undergraduate,AS AM     2,PARK J S W,B+,25
F12,Undergraduate,AS AM     2,PARK J S W,B,39
F12,Undergraduate,AS AM     2,PARK J S W,B-,23
F12,Undergraduate,AS AM     2,PARK J S W,C+,13
F12,Undergraduate,AS AM     2,PARK J S W,C,32
F12,Undergraduate,AS AM     2,PARK J S W,C-,13
F12,Undergraduate,AS AM     2,PARK J S W,D,16
F12,Undergraduate,AS AM     2,PARK J S W,F,8
F12,Undergraduate,AS AM     5,PANDYA S P,A+,4
F12,Undergraduate,AS AM     5,PANDYA S P,A,18
F12,Undergraduate,AS AM     5,PANDYA S P,A-,35
F12,Undergraduate,AS AM     5,PANDYA S P,B+,26
F12,Undergraduate,AS AM     5,PANDYA S P,B,36
F12,Undergraduate,AS AM     5,PANDYA S P,B-,40
F12,Undergraduate,AS AM     5,PANDYA S P,C+,14
F12,Undergraduate,AS AM     5,PANDYA S P,C,15
F12,Undergraduate,AS AM     5,PANDYA S P,C-,12
F12,Undergraduate,AS AM     5,PANDYA S P,D+,2
F12,Undergraduate,AS AM     5,PANDYA S P,D,2
F12,Undergraduate,AS AM     5,PANDYA S P,D-,1
F12,Undergraduate,AS AM     5,PANDYA S P,F,2
F12,Undergraduate,AS AM   100FF,PANDYA S P,A+,1
F12,Undergraduate,AS AM   100FF,PANDYA S P,A,5
F12,Undergraduate,AS AM   100FF,PANDYA S P,A-,9
F12,Undergraduate,AS AM   100FF,PANDYA S P,B+,11
F12,Undergraduate,AS AM   100FF,PANDYA S P,B,6
F12,Undergraduate,AS AM   100FF,PANDYA S P,B-,2
F12,Undergraduate,AS AM   100FF,PANDYA S P,C+,1
F12,Undergraduate,AS AM   113,FUJINO D C,A,1
F12,Undergraduate,AS AM   113,FUJINO D C,A-,7
F12,Undergraduate,AS AM   113,FUJINO D C,B+,7
F12,Undergraduate,AS AM   113,FUJINO D C,B,11
F12,Undergraduate,AS AM   113,FUJINO D C,B-,3
F12,Undergraduate,AS AM   113,FUJINO D C,C+,4
F12,Undergraduate,AS AM   113,FUJINO D C,C,1
F12,Undergraduate,AS AM   113,FUJINO D C,D+,1
F12,Undergraduate,AS AM   113,FUJINO D C,F,1
F12,Undergraduate,AS AM   115,PARK J S W,A,1
F12,Undergraduate,AS AM   115,PARK J S W,A-,4
F12,Undergraduate,AS AM   115,PARK J S W,B+,2
F12,Undergraduate,AS AM   115,PARK J S W,B,4
F12,Undergraduate,AS AM   115,PARK J S W,B-,2
F12,Undergraduate,AS AM   115,PARK J S W,C+,3
F12,Undergraduate,AS AM   115,PARK J S W,C,4
F12,Undergraduate,AS AM   115,PARK J S W,C-,2
F12,Undergraduate,AS AM   115,PARK J S W,D,2
F12,Undergraduate,AS AM   115,PARK J S W,F,3
F12,Undergraduate,AS AM   125,HARSHA A,A,21
F12,Undergraduate,AS AM   125,HARSHA A,A-,7
F12,Undergraduate,AS AM   125,HARSHA A,B+,3
F12,Undergraduate,AS AM   125,HARSHA A,B,1
F12,Undergraduate,AS AM   125,HARSHA A,C-,1
F12,Undergraduate,AS AM   125,HARSHA A,D+,1
F12,Undergraduate,AS AM   125,HARSHA A,D,2
F12,Undergraduate,AS AM   141,PANDYA S P,A,8
F12,Undergraduate,AS AM   141,PANDYA S P,A-,13
F12,Undergraduate,AS AM   161,BUSTO R V,A,9
F12,Undergraduate,AS AM   161,BUSTO R V,A-,7
F12,Undergraduate,AS AM   161,BUSTO R V,B+,4
F12,Undergraduate,AS AM   161,BUSTO R V,B,2
F12,Undergraduate,AS AM   161,BUSTO R V,F,1
F12,Undergraduate,AS AM   175,ZHAO X,A,5
F12,Undergraduate,AS AM   175,ZHAO X,A-,2
F12,Undergraduate,AS AM   175,ZHAO X,C,1
F12,Undergraduate,AS AM   175,ZHAO X,D,1
F12,Undergraduate,AS AM   175,ZHAO X,F,1
