Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
F12,Undergraduate,ED      176B,GERBER M M,A+,24
F12,Undergraduate,ED      176B,GERBER M M,A,7
F12,Undergraduate,ED      176B,GERBER M M,A-,3
F12,Undergraduate,ES   1-  38A,GERSTENFELD P,P,37
F12,Undergraduate,ES   1-  38A,GERSTENFELD P,NP,2
F12,Undergraduate,ES   1-  38B,GERSTENFELD P,P,25
F12,Undergraduate,ES   1-  38B,GERSTENFELD P,NP,1
F12,Undergraduate,ES   1-  38C,GERSTENFELD P,P,19
F12,Undergraduate,ES   1-  38C,GERSTENFELD P,NP,1
F12,Undergraduate,GER       1,MENGELE I,A+,2
F12,Undergraduate,GER       1,MENGELE I,A,15
F12,Undergraduate,GER       1,MENGELE I,A-,7
F12,Undergraduate,GER       1,MENGELE I,B,3
F12,Undergraduate,GER       1,WADE E R,A+,5
F12,Undergraduate,GER       1,WADE E R,A,46
F12,Undergraduate,GER       1,WADE E R,A-,12
F12,Undergraduate,GER       1,WADE E R,B+,7
F12,Undergraduate,GER       1,WADE E R,B,4
F12,Undergraduate,GER       1,WADE E R,B-,4
F12,Undergraduate,GER       1,WADE E R,C+,3
F12,Undergraduate,GER       1,WADE E R,C,5
F12,Undergraduate,GER       1,WADE E R,C-,1
F12,Undergraduate,GER       1,WADE E R,F,2
F12,Undergraduate,GER       4,WADE E R,A+,1
F12,Undergraduate,GER       4,WADE E R,A,27
F12,Undergraduate,GER       4,WADE E R,A-,6
F12,Undergraduate,GER       4,WADE E R,B+,1
F12,Undergraduate,GER       4,WADE E R,B,1
F12,Undergraduate,GER       4,WADE E R,B-,4
F12,Undergraduate,GER       4,WADE E R,C+,1
F12,Undergraduate,GER      95A,KITTLER W D,A,4
F12,Undergraduate,GER      95A,KITTLER W D,F,1
F12,Undergraduate,GER     101A,MENGELE I,A+,2
F12,Undergraduate,GER     101A,MENGELE I,A,10
F12,Undergraduate,GER     101A,MENGELE I,A-,3
F12,Undergraduate,GER     107A,BAULER R V,A+,1
F12,Undergraduate,GER     107A,BAULER R V,A,10
F12,Undergraduate,GER     107A,BAULER R V,A-,1
F12,Undergraduate,MUS A    36,GERVAIS M M,A+,4
F12,Undergraduate,MUS A    36,GERVAIS M M,A,3
F12,Undergraduate,MUS A    36,GERVAIS M M,A-,2
F12,Undergraduate,MUS A    37,GERVAIS M M,A+,10
F12,Undergraduate,MUS A    37,GERVAIS M M,A,2
F12,Undergraduate,MUS A    37,GERVAIS M M,A-,1
F12,Undergraduate,MUS A    37,GERVAIS M M,B+,1
F12,Undergraduate,MUS A   136,GERVAIS M M,A+,10
F12,Undergraduate,MUS A   136,GERVAIS M M,A,1
F12,Undergraduate,MUS A   136,GERVAIS M M,A-,5
F12,Undergraduate,MUS A   137,GERVAIS M M,A+,8
F12,Undergraduate,MUS A   137,GERVAIS M M,A,1
F12,Undergraduate,MUS A   137,GERVAIS M M,A-,2
F12,Undergraduate,MUS A   137,GERVAIS M M,B+,1
F12,Graduate,MUS A   236,GERVAIS M M,A+,3
F12,Graduate,MUS A   236,GERVAIS M M,A,4
F12,Undergraduate,PSY     105,GERMAN T C M,A+,54
F12,Undergraduate,PSY     105,GERMAN T C M,A,111
F12,Undergraduate,PSY     105,GERMAN T C M,A-,79
F12,Undergraduate,PSY     105,GERMAN T C M,B+,32
F12,Undergraduate,PSY     105,GERMAN T C M,B,51
F12,Undergraduate,PSY     105,GERMAN T C M,B-,13
F12,Undergraduate,PSY     105,GERMAN T C M,C+,4
F12,Undergraduate,PSY     105,GERMAN T C M,C,5
F12,Undergraduate,PSY     199,GERMAN T C M,A+,1
F12,Undergraduate,PSY     199,GERMAN T C M,A,5
