Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
F12,Undergraduate,THTR      1,KING W D,A,24
F12,Undergraduate,THTR      1,KING W D,A-,21
F12,Undergraduate,THTR      1,KING W D,B+,15
F12,Undergraduate,THTR      1,KING W D,B,13
F12,Undergraduate,THTR      1,KING W D,B-,10
F12,Undergraduate,THTR      1,KING W D,C+,2
F12,Undergraduate,THTR      1,KING W D,C,2
F12,Undergraduate,THTR      1,KING W D,C-,2
F12,Undergraduate,THTR      1,KING W D,D,1
F12,Undergraduate,THTR      1,KING W D,D-,1
F12,Undergraduate,THTR      1,KING W D,F,3
F12,Undergraduate,THTR      2A,MCMAHON C S,A+,12
F12,Undergraduate,THTR      2A,MCMAHON C S,A,38
F12,Undergraduate,THTR      2A,MCMAHON C S,A-,31
F12,Undergraduate,THTR      2A,MCMAHON C S,B+,16
F12,Undergraduate,THTR      2A,MCMAHON C S,B,14
F12,Undergraduate,THTR      2A,MCMAHON C S,B-,12
F12,Undergraduate,THTR      2A,MCMAHON C S,C+,5
F12,Undergraduate,THTR      2A,MCMAHON C S,C,5
F12,Undergraduate,THTR      2A,MCMAHON C S,C-,2
F12,Undergraduate,THTR      2A,MCMAHON C S,D,3
F12,Undergraduate,THTR      2A,MCMAHON C S,F,2
F12,Undergraduate,THTR      5,MILLS J S,A+,9
F12,Undergraduate,THTR      5,MILLS J S,A,60
F12,Undergraduate,THTR      5,MILLS J S,A-,49
F12,Undergraduate,THTR      5,MILLS J S,B+,17
F12,Undergraduate,THTR      5,MILLS J S,B,7
F12,Undergraduate,THTR      5,MILLS J S,B-,3
F12,Undergraduate,THTR      5,MILLS J S,C,1
F12,Undergraduate,THTR      5,MILLS J S,C-,1
F12,Undergraduate,THTR      5,MILLS J S,F,1
F12,Undergraduate,THTR     10A,MILLS J S,A,13
F12,Undergraduate,THTR     10A,MILLS J S,A-,6
F12,Undergraduate,THTR     10A,MILLS J S,B,2
F12,Undergraduate,THTR     10A,MILLS J S,B-,1
F12,Undergraduate,THTR     11A,MORGAN M,A,5
F12,Undergraduate,THTR     11A,MORGAN M,A-,4
F12,Undergraduate,THTR     11A,MORGAN M,B+,1
F12,Undergraduate,THTR     11A,MORGAN M,B,7
F12,Undergraduate,THTR     11A,MORGAN M,B-,2
F12,Undergraduate,THTR     11A,MORGAN M,C,2
F12,Undergraduate,THTR     11A,MORGAN M,C-,1
F12,Undergraduate,THTR     15A,TORSIGLIERI A,A,5
F12,Undergraduate,THTR     15A,TORSIGLIERI A,A-,6
F12,Undergraduate,THTR     15A,TORSIGLIERI A,B+,11
F12,Undergraduate,THTR     19,BRUICE A M,A+,5
F12,Undergraduate,THTR     19,BRUICE A M,A,23
F12,Undergraduate,THTR     19,BRUICE A M,A-,3
F12,Undergraduate,THTR     19,BRUICE A M,B+,1
F12,Undergraduate,THTR     19,BRUICE A M,B,1
F12,Undergraduate,THTR     29D,SCOTT V,A+,1
F12,Undergraduate,THTR     29D,SCOTT V,A,26
F12,Undergraduate,THTR     29D,SCOTT V,A-,1
