Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
F13,Undergraduate,C LIT    30A,BROWN C J,A+,2
F13,Undergraduate,C LIT    30A,BROWN C J,A,49
F13,Undergraduate,C LIT    30A,BROWN C J,A-,47
F13,Undergraduate,C LIT    30A,BROWN C J,B+,48
F13,Undergraduate,C LIT    30A,BROWN C J,B,51
F13,Undergraduate,C LIT    30A,BROWN C J,B-,13
F13,Undergraduate,C LIT    30A,BROWN C J,C+,1
F13,Undergraduate,C LIT    30A,BROWN C J,C,3
F13,Undergraduate,C LIT    30A,BROWN C J,C-,3
F13,Undergraduate,C LIT    30A,BROWN C J,F,3
F13,Undergraduate,C LIT    30H,BROWN C J,A,3
F13,Undergraduate,C LIT    30H,BROWN C J,A-,2
F13,Undergraduate,C LIT    33,AKUDINOBI J,A+,7
F13,Undergraduate,C LIT    33,AKUDINOBI J,A,24
F13,Undergraduate,C LIT    33,AKUDINOBI J,A-,7
F13,Undergraduate,C LIT    33,AKUDINOBI J,B+,2
F13,Undergraduate,C LIT    33,AKUDINOBI J,B,5
F13,Undergraduate,C LIT    33,AKUDINOBI J,B-,1
F13,Undergraduate,C LIT    33,AKUDINOBI J,F,1
F13,Undergraduate,C LIT   100,WELD S P,A,6
F13,Undergraduate,C LIT   100,WELD S P,A-,8
F13,Undergraduate,C LIT   100,WELD S P,B+,12
F13,Undergraduate,C LIT   100,WELD S P,B,30
F13,Undergraduate,C LIT   100,WELD S P,B-,6
F13,Undergraduate,C LIT   100,WELD S P,C+,9
F13,Undergraduate,C LIT   100,WELD S P,C,1
F13,Undergraduate,C LIT   100,WELD S P,C-,2
F13,Undergraduate,C LIT   100,WELD S P,F,3
F13,Undergraduate,C LIT   109,MAURSETH A B,A,1
F13,Undergraduate,C LIT   109,MAURSETH A B,A-,5
F13,Undergraduate,C LIT   109,MAURSETH A B,B+,4
F13,Undergraduate,C LIT   109,MAURSETH A B,B,5
F13,Undergraduate,C LIT   109,MAURSETH A B,B-,1
F13,Undergraduate,C LIT   133,HUANG YU,A+,1
F13,Undergraduate,C LIT   133,HUANG YU,A,6
F13,Undergraduate,C LIT   133,HUANG YU,A-,8
F13,Undergraduate,C LIT   133,HUANG YU,B+,1
F13,Undergraduate,C LIT   133,HUANG YU,B,4
F13,Undergraduate,C LIT   133,HUANG YU,B-,1
F13,Undergraduate,C LIT   133,HUANG YU,C+,4
F13,Undergraduate,C LIT   133,HUANG YU,C,1
F13,Undergraduate,C LIT   162,AMAR P E,A,10
F13,Undergraduate,C LIT   162,AMAR P E,A-,7
F13,Undergraduate,C LIT   162,AMAR P E,B+,6
F13,Undergraduate,C LIT   162,AMAR P E,B,3
F13,Undergraduate,C LIT   162,AMAR P E,D,1
F13,Undergraduate,C LIT   162,AMAR P E,F,3
F13,Undergraduate,C LIT   170,LEVINE S,A,4
F13,Undergraduate,C LIT   170,LEVINE S,A-,2
F13,Undergraduate,C LIT   170,LEVINE S,B+,2
F13,Undergraduate,C LIT   170,LEVINE S,B,1
F13,Undergraduate,C LIT   170,LEVINE S,C,1
F13,Undergraduate,C LIT   180,SKENAZI E C,A,7
F13,Undergraduate,C LIT   180,SKENAZI E C,A-,4
F13,Undergraduate,C LIT   180,SKENAZI E C,B+,2
F13,Undergraduate,C LIT   180,SKENAZI E C,B,3
F13,Undergraduate,C LIT   180,SKENAZI E C,B-,1
F13,Undergraduate,C LIT   180,SKENAZI E C,C+,2
F13,Graduate,C LIT   210,NESCI C,A+,2
F13,Graduate,C LIT   210,NESCI C,A,6
F13,Graduate,C LIT   591,BROWN C J,S,5
