Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
F13,Undergraduate,ED        3A,CARLYLE A M,A+,2
F13,Undergraduate,ED        3A,CARLYLE A M,A,5
F13,Undergraduate,ED        3A,CARLYLE A M,A-,1
F13,Undergraduate,ED        3A,CARLYLE A M,B+,1
F13,Undergraduate,ED        3A,CARLYLE A M,F,1
F13,Undergraduate,ED        3A,ROSS E G,A+,2
F13,Undergraduate,ED        3A,ROSS E G,A,5
F13,Undergraduate,ED        3A,ROSS E G,A-,1
F13,Undergraduate,ED        3A,ROSS E G,B+,1
F13,Undergraduate,ED        3A,ROSS E G,F,1
F13,Undergraduate,ED        4A,FELDWINN D L,A,6
F13,Undergraduate,ED        4A,FELDWINN D L,B+,1
F13,Undergraduate,ED        4A,FELDWINN D L,B-,1
F13,Undergraduate,ED        4A,JOHNSON S K,A,6
F13,Undergraduate,ED        4A,JOHNSON S K,B+,1
F13,Undergraduate,ED        4A,JOHNSON S K,B-,1
F13,Undergraduate,ED       20,LIN-ROARK I,A+,30
F13,Undergraduate,ED       20,LIN-ROARK I,A,52
F13,Undergraduate,ED       20,LIN-ROARK I,A-,18
F13,Undergraduate,ED       20,LIN-ROARK I,B+,5
F13,Undergraduate,ED       20,LIN-ROARK I,B,1
F13,Undergraduate,ED       20,LIN-ROARK I,B-,1
F13,Undergraduate,ED       20,LIN-ROARK I,C+,2
F13,Undergraduate,ED       20,LIN-ROARK I,C,3
F13,Undergraduate,ED       20,LIN-ROARK I,D+,1
F13,Undergraduate,ED       20,ROARK J B,A+,30
F13,Undergraduate,ED       20,ROARK J B,A,52
F13,Undergraduate,ED       20,ROARK J B,A-,18
F13,Undergraduate,ED       20,ROARK J B,B+,5
F13,Undergraduate,ED       20,ROARK J B,B,1
F13,Undergraduate,ED       20,ROARK J B,B-,1
F13,Undergraduate,ED       20,ROARK J B,C+,2
F13,Undergraduate,ED       20,ROARK J B,C,3
F13,Undergraduate,ED       20,ROARK J B,D+,1
F13,Undergraduate,ED      103,STERLING K W,A+,4
F13,Undergraduate,ED      103,STERLING K W,A,21
F13,Undergraduate,ED      103,STERLING K W,A-,2
F13,Undergraduate,ED      111,ROMO L F,A+,4
F13,Undergraduate,ED      111,ROMO L F,A,30
F13,Undergraduate,ED      111,ROMO L F,A-,6
F13,Undergraduate,ED      111,ROMO L F,B+,11
F13,Undergraduate,ED      111,ROMO L F,B,12
F13,Undergraduate,ED      111,ROMO L F,B-,5
F13,Undergraduate,ED      111,ROMO L F,C+,4
F13,Undergraduate,ED      111,ROMO L F,C,7
F13,Undergraduate,ED      111,ROMO L F,D+,1
F13,Undergraduate,ED      111,ROMO L F,D,2
F13,Undergraduate,ED      111,ROMO L F,D-,1
F13,Undergraduate,ED      111,ROMO L F,F,3
F13,Undergraduate,ED      122,BLACKWELL K S,P,43
F13,Undergraduate,ED      122,BLACKWELL K S,NP,2
F13,Undergraduate,ED      123,SANDOVAL N I,A+,34
F13,Undergraduate,ED      123,SANDOVAL N I,A,21
F13,Undergraduate,ED      123,SANDOVAL N I,A-,1
F13,Undergraduate,ED      123,SANDOVAL N I,B+,2
F13,Undergraduate,ED      124,DURAN R P,A,24
F13,Undergraduate,ED      130,ROSS E G,A+,5
F13,Undergraduate,ED      130,ROSS E G,A,3
F13,Undergraduate,ED      130,ROSS E G,A-,3
F13,Undergraduate,ED      130,ROSS E G,B+,1
F13,Undergraduate,ED      131,FELDWINN D L,A,9
F13,Undergraduate,ED      131,FELDWINN D L,A-,5
F13,Undergraduate,ED      131,FELDWINN D L,B+,3
F13,Undergraduate,ED      131,FELDWINN D L,B,2
