Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
F13,Undergraduate,ENGR      3,MOEHLIS J M,A+,4
F13,Undergraduate,ENGR      3,MOEHLIS J M,A,44
F13,Undergraduate,ENGR      3,MOEHLIS J M,A-,22
F13,Undergraduate,ENGR      3,MOEHLIS J M,B+,18
F13,Undergraduate,ENGR      3,MOEHLIS J M,B,35
F13,Undergraduate,ENGR      3,MOEHLIS J M,B-,16
F13,Undergraduate,ENGR      3,MOEHLIS J M,C+,3
F13,Undergraduate,ENGR      3,MOEHLIS J M,C,18
F13,Undergraduate,ENGR      3,MOEHLIS J M,C-,6
F13,Undergraduate,ENGR      3,MOEHLIS J M,D+,1
F13,Undergraduate,ENGR      3,MOEHLIS J M,D,5
F13,Undergraduate,ENGR      3,MOEHLIS J M,D-,2
F13,Undergraduate,ENGR      3,MOEHLIS J M,F,8
F13,Undergraduate,ENGR    101,WALLING O W,A+,1
F13,Undergraduate,ENGR    101,WALLING O W,A,4
F13,Undergraduate,ENGR    101,WALLING O W,A-,12
F13,Undergraduate,ENGR    101,WALLING O W,B+,16
F13,Undergraduate,ENGR    101,WALLING O W,B,11
F13,Undergraduate,ENGR    101,WALLING O W,B-,5
F13,Undergraduate,ENGR    101,WALLING O W,C+,4
F13,Undergraduate,ENGR    101,WALLING O W,C-,2
F13,Undergraduate,ENGR    101,WALLING O W,F,2
F13,Undergraduate,ENGR    103,HOLMS A E,A,17
F13,Undergraduate,ENGR    103,HOLMS A E,A-,3
F13,Graduate,ENGR    220A,DAUGHERTY P S,A+,3
F13,Graduate,ENGR    220A,DAUGHERTY P S,A,4
F13,Graduate,ENGR    220A,DAUGHERTY P S,A-,4
F13,Graduate,ENGR    220A,DAUGHERTY P S,B+,1
F13,Graduate,ENGR    220A,DOYLE A M,A+,3
F13,Graduate,ENGR    220A,DOYLE A M,A,4
F13,Graduate,ENGR    220A,DOYLE A M,A-,4
F13,Graduate,ENGR    220A,DOYLE A M,B+,1
F13,Graduate,ENGR    225,DOYLE A M,S,11
F13,Graduate,ENGR    230,DOYLE A M,S,7
