Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
F13,Undergraduate,FLMST    46,BRUSUTTI A,A,15
F13,Undergraduate,FLMST    46,BRUSUTTI A,A-,14
F13,Undergraduate,FLMST    46,BRUSUTTI A,B+,17
F13,Undergraduate,FLMST    46,BRUSUTTI A,B,30
F13,Undergraduate,FLMST    46,BRUSUTTI A,B-,26
F13,Undergraduate,FLMST    46,BRUSUTTI A,C+,19
F13,Undergraduate,FLMST    46,BRUSUTTI A,C,4
F13,Undergraduate,FLMST    46,BRUSUTTI A,C-,3
F13,Undergraduate,FLMST    46,BRUSUTTI A,D+,2
F13,Undergraduate,FLMST    46,BRUSUTTI A,F,4
F13,Undergraduate,FLMST    46MS,BRUSUTTI A,A,3
F13,Undergraduate,FLMST    46MS,BRUSUTTI A,A-,3
F13,Undergraduate,FLMST    46MS,BRUSUTTI A,B+,2
F13,Undergraduate,FLMST    46MS,BRUSUTTI A,B,1
F13,Undergraduate,FLMST    46MS,BRUSUTTI A,B-,3
F13,Undergraduate,FLMST    46MS,BRUSUTTI A,C+,1
F13,Undergraduate,FLMST    54,STEINKELLNER,A+,56
F13,Undergraduate,FLMST    54,STEINKELLNER,A,146
F13,Undergraduate,FLMST    54,STEINKELLNER,A-,31
F13,Undergraduate,FLMST    54,STEINKELLNER,B+,5
F13,Undergraduate,FLMST    54,STEINKELLNER,B,8
F13,Undergraduate,FLMST    54,STEINKELLNER,C,1
F13,Undergraduate,FLMST    54,STEINKELLNER,F,1
F13,Undergraduate,FLMST    95,VENEGAS C,F,2
F13,Undergraduate,FLMST    95,VENEGAS C,P,4
F13,Undergraduate,FLMST    96,PARKS L A,A,2
F13,Undergraduate,FLMST    96,PARKS L A,A-,7
F13,Undergraduate,FLMST    96,PARKS L A,B+,18
F13,Undergraduate,FLMST    96,PARKS L A,B,25
F13,Undergraduate,FLMST    96,PARKS L A,B-,31
F13,Undergraduate,FLMST    96,PARKS L A,C+,15
F13,Undergraduate,FLMST    96,PARKS L A,C,28
F13,Undergraduate,FLMST    96,PARKS L A,C-,9
F13,Undergraduate,FLMST    96,PARKS L A,D+,2
F13,Undergraduate,FLMST    96,PARKS L A,F,5
F13,Undergraduate,FLMST   101A,BLOOM P J,A+,1
F13,Undergraduate,FLMST   101A,BLOOM P J,A,2
F13,Undergraduate,FLMST   101A,BLOOM P J,A-,5
F13,Undergraduate,FLMST   101A,BLOOM P J,B+,5
F13,Undergraduate,FLMST   101A,BLOOM P J,B,14
F13,Undergraduate,FLMST   101A,BLOOM P J,B-,6
F13,Undergraduate,FLMST   101A,BLOOM P J,C+,8
F13,Undergraduate,FLMST   101A,BLOOM P J,C,13
F13,Undergraduate,FLMST   101A,BLOOM P J,C-,6
F13,Undergraduate,FLMST   101A,BLOOM P J,D+,2
F13,Undergraduate,FLMST   101A,BLOOM P J,D,1
F13,Undergraduate,FLMST   101A,BLOOM P J,D-,2
F13,Undergraduate,FLMST   101A,BLOOM P J,F,2
F13,Undergraduate,FLMST   101D,CURTIN M J,A+,1
F13,Undergraduate,FLMST   101D,CURTIN M J,A,4
F13,Undergraduate,FLMST   101D,CURTIN M J,A-,6
F13,Undergraduate,FLMST   101D,CURTIN M J,B+,10
F13,Undergraduate,FLMST   101D,CURTIN M J,B,10
F13,Undergraduate,FLMST   101D,CURTIN M J,B-,5
F13,Undergraduate,FLMST   101D,CURTIN M J,C+,4
F13,Undergraduate,FLMST   101D,CURTIN M J,C,3
F13,Undergraduate,FLMST   101D,CURTIN M J,C-,2
F13,Undergraduate,FLMST   101D,CURTIN M J,D,1
F13,Undergraduate,FLMST   101D,CURTIN M J,F,3
F13,Undergraduate,FLMST   104,JENKINS C L,A,3
F13,Undergraduate,FLMST   104,JENKINS C L,A-,3
F13,Undergraduate,FLMST   104,JENKINS C L,B+,12
F13,Undergraduate,FLMST   104,JENKINS C L,B,16
F13,Undergraduate,FLMST   104,JENKINS C L,B-,3
F13,Undergraduate,FLMST   104,JENKINS C L,C+,3
F13,Undergraduate,FLMST   104,JENKINS C L,C,1
F13,Undergraduate,FLMST   104,JENKINS C L,C-,1
F13,Undergraduate,FLMST   105,DRISKEL D B,A,1
F13,Undergraduate,FLMST   105,DRISKEL D B,A-,2
F13,Undergraduate,FLMST   105,DRISKEL D B,B+,3
F13,Undergraduate,FLMST   105,DRISKEL D B,B,4
F13,Undergraduate,FLMST   105,DRISKEL D B,B-,2
F13,Undergraduate,FLMST   105,DRISKEL D B,C+,2
F13,Undergraduate,FLMST   106A,DRISKEL D B,B,11
F13,Undergraduate,FLMST   106A,DRISKEL D B,B-,4
F13,Undergraduate,FLMST   106A,DRISKEL D B,C+,1
F13,Undergraduate,FLMST   106A,JENKINS C L,A,2
F13,Undergraduate,FLMST   106A,JENKINS C L,A-,6
F13,Undergraduate,FLMST   106A,JENKINS C L,B+,3
F13,Undergraduate,FLMST   106A,JENKINS C L,B,4
F13,Undergraduate,FLMST   112,DRISKEL D B,B+,1
F13,Undergraduate,FLMST   112,DRISKEL D B,B,2
F13,Undergraduate,FLMST   112,DRISKEL D B,B-,4
F13,Undergraduate,FLMST   112,DRISKEL D B,C+,1
F13,Undergraduate,FLMST   119ML,VENEGAS C,A,4
F13,Undergraduate,FLMST   119ML,VENEGAS C,B+,1
F13,Undergraduate,FLMST   119ML,VENEGAS C,C+,1
F13,Undergraduate,FLMST   119ML,VENEGAS C,F,1
F13,Undergraduate,FLMST   124,SARKAR B,A,2
F13,Undergraduate,FLMST   124,SARKAR B,A-,3
F13,Undergraduate,FLMST   124,SARKAR B,B+,3
F13,Undergraduate,FLMST   124,SARKAR B,B,14
F13,Undergraduate,FLMST   124,SARKAR B,B-,3
F13,Undergraduate,FLMST   124,SARKAR B,C+,7
F13,Undergraduate,FLMST   124,SARKAR B,C,3
F13,Undergraduate,FLMST   124,SARKAR B,C-,3
F13,Undergraduate,FLMST   124,SARKAR B,D+,2
F13,Undergraduate,FLMST   124,SARKAR B,D,1
F13,Undergraduate,FLMST   124,SARKAR B,D-,3
F13,Undergraduate,FLMST   124,SARKAR B,F,3
F13,Undergraduate,FLMST   126,VENEGAS C,A,1
F13,Undergraduate,FLMST   126,VENEGAS C,A-,1
F13,Undergraduate,FLMST   126,VENEGAS C,B+,4
F13,Undergraduate,FLMST   126,VENEGAS C,B,4
F13,Undergraduate,FLMST   126,VENEGAS C,B-,8
F13,Undergraduate,FLMST   126,VENEGAS C,C+,4
F13,Undergraduate,FLMST   126,VENEGAS C,C,4
F13,Undergraduate,FLMST   126,VENEGAS C,C-,4
F13,Undergraduate,FLMST   126,VENEGAS C,D+,3
F13,Undergraduate,FLMST   126,VENEGAS C,F,3
F13,Undergraduate,FLMST   150FB,HEBDIGE R W,A+,2
F13,Undergraduate,FLMST   150FB,HEBDIGE R W,A,6
F13,Undergraduate,FLMST   150FB,HEBDIGE R W,A-,10
F13,Undergraduate,FLMST   150FB,HEBDIGE R W,B+,16
F13,Undergraduate,FLMST   150FB,HEBDIGE R W,B,20
F13,Undergraduate,FLMST   150FB,HEBDIGE R W,B-,17
F13,Undergraduate,FLMST   150FB,HEBDIGE R W,C+,11
F13,Undergraduate,FLMST   150FB,HEBDIGE R W,F,2
F13,Undergraduate,FLMST   165MV,FELANDO C L,A,3
F13,Undergraduate,FLMST   165MV,FELANDO C L,B+,1
F13,Undergraduate,FLMST   165MV,FELANDO C L,B,7
F13,Undergraduate,FLMST   165MV,FELANDO C L,B-,1
F13,Undergraduate,FLMST   165MV,FELANDO C L,C+,5
F13,Undergraduate,FLMST   165MV,FELANDO C L,C,4
F13,Undergraduate,FLMST   165MV,FELANDO C L,C-,1
F13,Undergraduate,FLMST   169,BRUSUTTI A,A,2
F13,Undergraduate,FLMST   169,BRUSUTTI A,A-,2
F13,Undergraduate,FLMST   169,BRUSUTTI A,B+,10
F13,Undergraduate,FLMST   169,BRUSUTTI A,B,6
F13,Undergraduate,FLMST   169,BRUSUTTI A,B-,3
F13,Undergraduate,FLMST   169,BRUSUTTI A,C+,2
F13,Undergraduate,FLMST   169,BRUSUTTI A,C,4
F13,Undergraduate,FLMST   169,BRUSUTTI A,D+,1
F13,Undergraduate,FLMST   183,WALKER J R,A,1
F13,Undergraduate,FLMST   183,WALKER J R,A-,6
F13,Undergraduate,FLMST   183,WALKER J R,B+,6
F13,Undergraduate,FLMST   183,WALKER J R,B,1
F13,Undergraduate,FLMST   183,WALKER J R,C+,1
F13,Undergraduate,FLMST   187FT,EVERETT A,A+,1
F13,Undergraduate,FLMST   187FT,EVERETT A,A,2
F13,Undergraduate,FLMST   187FT,EVERETT A,A-,4
F13,Undergraduate,FLMST   187FT,EVERETT A,B+,7
F13,Undergraduate,FLMST   187FT,EVERETT A,B,3
F13,Undergraduate,FLMST   187FT,EVERETT A,B-,1
F13,Undergraduate,FLMST   187FT,EVERETT A,F,3
F13,Undergraduate,FLMST   187WF,FELANDO C L,A+,1
F13,Undergraduate,FLMST   187WF,FELANDO C L,A,2
F13,Undergraduate,FLMST   187WF,FELANDO C L,A-,3
F13,Undergraduate,FLMST   187WF,FELANDO C L,B,5
F13,Undergraduate,FLMST   187WF,FELANDO C L,B-,2
F13,Undergraduate,FLMST   187WF,FELANDO C L,C+,2
