Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
F13,Graduate,CH E    230A,FREDRICKSON G,A,15
F13,Graduate,CH E    230A,FREDRICKSON G,A-,6
F13,Graduate,CH E    230A,FREDRICKSON G,B+,2
F13,Graduate,CH E    230A,FREDRICKSON G,B,5
F13,Undergraduate,CMPSC    64,FRANKLIN D M,A+,7
F13,Undergraduate,CMPSC    64,FRANKLIN D M,A,7
F13,Undergraduate,CMPSC    64,FRANKLIN D M,A-,8
F13,Undergraduate,CMPSC    64,FRANKLIN D M,B+,5
F13,Undergraduate,CMPSC    64,FRANKLIN D M,B,5
F13,Undergraduate,CMPSC    64,FRANKLIN D M,C+,2
F13,Undergraduate,CMPSC    64,FRANKLIN D M,C,1
F13,Undergraduate,CMPSC    64,FRANKLIN D M,D+,2
F13,Undergraduate,CMPSC    64,FRANKLIN D M,D,1
F13,Undergraduate,CMPSC    64,FRANKLIN D M,D-,2
F13,Undergraduate,CMPSC    64,FRANKLIN D M,F,2
F13,Undergraduate,ECON    170,FRECH H E,A+,2
F13,Undergraduate,ECON    170,FRECH H E,A,5
F13,Undergraduate,ECON    170,FRECH H E,A-,5
F13,Undergraduate,ECON    170,FRECH H E,B+,5
F13,Undergraduate,ECON    170,FRECH H E,B,9
F13,Undergraduate,ECON    170,FRECH H E,B-,4
F13,Undergraduate,ECON    170,FRECH H E,C+,5
F13,Undergraduate,ECON    170,FRECH H E,C,1
F13,Graduate,ESM     261,FREW J E,A,7
F13,Graduate,ESM     261,FREW J E,A-,5
F13,Graduate,ESM     261,FREW J E,B+,2
F13,Graduate,ESM     261,FREW J E,B,2
F13,Graduate,ESM     401B,FREW J E,A,5
F13,Undergraduate,FR        1,SCHULTZ J M,A,16
F13,Undergraduate,FR        1,SCHULTZ J M,A-,13
F13,Undergraduate,FR        1,SCHULTZ J M,B+,17
F13,Undergraduate,FR        1,SCHULTZ J M,B,13
F13,Undergraduate,FR        1,SCHULTZ J M,B-,8
F13,Undergraduate,FR        1,SCHULTZ J M,C+,4
F13,Undergraduate,FR        1,SCHULTZ J M,C,5
F13,Undergraduate,FR        1,SCHULTZ J M,C-,3
F13,Undergraduate,FR        1,SCHULTZ J M,D,1
F13,Undergraduate,FR        1,SCHULTZ J M,F,2
F13,Undergraduate,FR        1,TUDISCO J J,A+,1
F13,Undergraduate,FR        1,TUDISCO J J,A,10
F13,Undergraduate,FR        1,TUDISCO J J,A-,5
F13,Undergraduate,FR        1,TUDISCO J J,B+,9
F13,Undergraduate,FR        1,TUDISCO J J,B,9
F13,Undergraduate,FR        1,TUDISCO J J,B-,2
F13,Undergraduate,FR        1,TUDISCO J J,C+,2
F13,Undergraduate,FR        1,TUDISCO J J,D+,1
F13,Undergraduate,FR        1,TUDISCO J J,F,1
F13,Undergraduate,FR        2,MAILLARD M F,A+,1
F13,Undergraduate,FR        2,MAILLARD M F,A,5
F13,Undergraduate,FR        2,MAILLARD M F,A-,2
F13,Undergraduate,FR        2,MAILLARD M F,B,3
F13,Undergraduate,FR        2,MAILLARD M F,B-,4
F13,Undergraduate,FR        2,MAILLARD M F,F,2
F13,Undergraduate,FR        2,SCHULTZ J M,A,6
F13,Undergraduate,FR        2,SCHULTZ J M,A-,1
F13,Undergraduate,FR        2,SCHULTZ J M,B,1
F13,Undergraduate,FR        2,SCHULTZ J M,C,1
F13,Undergraduate,FR        3,LMAIFI M,A,1
F13,Undergraduate,FR        3,LMAIFI M,A-,2
F13,Undergraduate,FR        3,LMAIFI M,B+,1
F13,Undergraduate,FR        3,LMAIFI M,B,4
F13,Undergraduate,FR        3,LMAIFI M,B-,1
F13,Undergraduate,FR        3,LMAIFI M,F,1
F13,Undergraduate,FR        3,ROBERTS S C,A,3
F13,Undergraduate,FR        3,ROBERTS S C,A-,3
F13,Undergraduate,FR        3,ROBERTS S C,B+,2
F13,Undergraduate,FR        3,ROBERTS S C,B,6
F13,Undergraduate,FR        3,ROBERTS S C,B-,1
F13,Undergraduate,FR        3,ROBERTS S C,C,2
F13,Undergraduate,FR        4,LMAIFI M,A,4
F13,Undergraduate,FR        4,LMAIFI M,A-,9
F13,Undergraduate,FR        4,LMAIFI M,B+,6
F13,Undergraduate,FR        4,LMAIFI M,B,7
F13,Undergraduate,FR        4,LMAIFI M,B-,4
F13,Undergraduate,FR        4,LMAIFI M,C+,2
F13,Undergraduate,FR        4,LMAIFI M,C,3
F13,Undergraduate,FR        4,LMAIFI M,F,4
F13,Undergraduate,FR        4,MAILLARD M F,A,2
F13,Undergraduate,FR        4,MAILLARD M F,A-,1
F13,Undergraduate,FR        4,MAILLARD M F,B+,1
F13,Undergraduate,FR        4,MAILLARD M F,B,2
F13,Undergraduate,FR        4,MAILLARD M F,B-,1
F13,Undergraduate,FR        5,SCHULTZ J M,A+,1
F13,Undergraduate,FR        5,SCHULTZ J M,A,8
F13,Undergraduate,FR        5,SCHULTZ J M,A-,6
F13,Undergraduate,FR        5,SCHULTZ J M,B+,1
F13,Undergraduate,FR        5,SCHULTZ J M,B,4
F13,Undergraduate,FR        5,SCHULTZ J M,B-,1
F13,Undergraduate,FR        5,SCHULTZ J M,C+,2
F13,Undergraduate,FR        5,SCHULTZ J M,C,1
F13,Undergraduate,FR        6,SCHULTZ J M,A+,1
F13,Undergraduate,FR        6,SCHULTZ J M,A,5
