Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
F13,Undergraduate,GREEK     1,LINDHEIM S H,A+,3
F13,Undergraduate,GREEK     1,LINDHEIM S H,A,2
F13,Undergraduate,GREEK     1,LINDHEIM S H,A-,1
F13,Undergraduate,GREEK     1,LINDHEIM S H,B+,5
F13,Undergraduate,GREEK     1,LINDHEIM S H,B-,1
F13,Undergraduate,GREEK     1,LINDHEIM S H,F,1
F13,Undergraduate,GREEK   100,RADER R E,A,1
F13,Undergraduate,GREEK   100,RADER R E,B,1
F13,Undergraduate,GREEK   100,RADER R E,B-,1
F13,Undergraduate,GREEK   100,RADER R E,C,1
F13,Undergraduate,GREEK   100,RADER R E,C-,1
F13,Graduate,GREEK   240,PATTEN G,A,1
F13,Graduate,GREEK   240,PATTEN G,A-,4
F13,Graduate,GREEK   258,MORALES H L,A,9
