Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
F14,Undergraduate,ART       1A,HEBDIGE R W,A+,1
F14,Undergraduate,ART       1A,HEBDIGE R W,A,14
F14,Undergraduate,ART       1A,HEBDIGE R W,A-,19
F14,Undergraduate,ART       1A,HEBDIGE R W,B+,14
F14,Undergraduate,ART       1A,HEBDIGE R W,B,13
F14,Undergraduate,ART       1A,HEBDIGE R W,B-,6
F14,Undergraduate,ART       1A,HEBDIGE R W,C+,4
F14,Undergraduate,ART       1A,HEBDIGE R W,C,3
F14,Undergraduate,ART       1A,HEBDIGE R W,F,4
F14,Undergraduate,ART       1C,ROSS R H,A+,15
F14,Undergraduate,ART       1C,ROSS R H,A,167
F14,Undergraduate,ART       1C,ROSS R H,A-,16
F14,Undergraduate,ART       1C,ROSS R H,B,12
F14,Undergraduate,ART       1C,ROSS R H,B-,12
F14,Undergraduate,ART       1C,ROSS R H,D,2
F14,Undergraduate,ART       1C,ROSS R H,F,5
F14,Undergraduate,ART       7B,ELLIS C M,A+,9
F14,Undergraduate,ART       7B,ELLIS C M,A,19
F14,Undergraduate,ART       7B,ELLIS C M,A-,15
F14,Undergraduate,ART       7B,ELLIS C M,B+,4
F14,Undergraduate,ART       7B,ELLIS C M,B,6
F14,Undergraduate,ART       7B,ELLIS C M,B-,3
F14,Undergraduate,ART       7B,ELLIS C M,C+,2
F14,Undergraduate,ART       7B,ELLIS C M,C,2
F14,Undergraduate,ART       7B,ELLIS C M,C-,3
F14,Undergraduate,ART       7B,ELLIS C M,F,1
F14,Undergraduate,ART      10,WASHBURN S,A,3
F14,Undergraduate,ART      10,WASHBURN S,A-,6
F14,Undergraduate,ART      10,WASHBURN S,B+,4
F14,Undergraduate,ART      10,WASHBURN S,B,1
F14,Undergraduate,ART      10,WASHBURN S,B-,2
F14,Undergraduate,ART      10,WASHBURN S,C+,2
F14,Undergraduate,ART      12,BULIS R A,A,9
F14,Undergraduate,ART      12,BULIS R A,A-,3
F14,Undergraduate,ART      12,BULIS R A,B,1
F14,Undergraduate,ART      12,BULIS R A,C,1
F14,Undergraduate,ART      14,POWELL M L,A,4
F14,Undergraduate,ART      14,POWELL M L,A-,8
F14,Undergraduate,ART      14,POWELL M L,B+,3
F14,Undergraduate,ART      14,POWELL M L,B,1
F14,Undergraduate,ART      14,POWELL M L,F,1
F14,Undergraduate,ART      18,BELTZ E A,A,3
F14,Undergraduate,ART      18,BELTZ E A,A-,5
F14,Undergraduate,ART      18,BELTZ E A,B+,3
F14,Undergraduate,ART      18,BELTZ E A,B,2
F14,Undergraduate,ART      18,BELTZ E A,B-,2
F14,Undergraduate,ART      18,BELTZ E A,C+,2
