Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
F14,Undergraduate,CH E      1A,ISRAELACHVILI,P,77
F14,Undergraduate,CH E      1A,ISRAELACHVILI,NP,3
F14,Undergraduate,CH E     10,SEGALMAN R A,A+,4
F14,Undergraduate,CH E     10,SEGALMAN R A,A,5
F14,Undergraduate,CH E     10,SEGALMAN R A,A-,7
F14,Undergraduate,CH E     10,SEGALMAN R A,B+,10
F14,Undergraduate,CH E     10,SEGALMAN R A,B,14
F14,Undergraduate,CH E     10,SEGALMAN R A,B-,11
F14,Undergraduate,CH E     10,SEGALMAN R A,C+,9
F14,Undergraduate,CH E     10,SEGALMAN R A,C,4
F14,Undergraduate,CH E     10,SEGALMAN R A,C-,3
F14,Undergraduate,CH E     10,SEGALMAN R A,D,3
F14,Undergraduate,CH E     10,SEGALMAN R A,F,7
F14,Undergraduate,CH E    119,DAUGHERTY P S,P,56
F14,Undergraduate,CH E    119,GAY D H,P,56
F14,Undergraduate,CH E    120A,MITRAGOTRI S,A+,1
F14,Undergraduate,CH E    120A,MITRAGOTRI S,A,5
F14,Undergraduate,CH E    120A,MITRAGOTRI S,A-,17
F14,Undergraduate,CH E    120A,MITRAGOTRI S,B+,11
F14,Undergraduate,CH E    120A,MITRAGOTRI S,B,11
F14,Undergraduate,CH E    120A,MITRAGOTRI S,B-,5
F14,Undergraduate,CH E    120A,MITRAGOTRI S,C,6
F14,Undergraduate,CH E    120A,MITRAGOTRI S,C-,3
F14,Undergraduate,CH E    120A,MITRAGOTRI S,F,3
F14,Undergraduate,CH E    121,ISRAELACHVILI,A,5
F14,Undergraduate,CH E    128,SCOTT S L,A+,6
F14,Undergraduate,CH E    128,SCOTT S L,A,11
F14,Undergraduate,CH E    128,SCOTT S L,A-,8
F14,Undergraduate,CH E    128,SCOTT S L,B+,7
F14,Undergraduate,CH E    128,SCOTT S L,B,4
F14,Undergraduate,CH E    128,SCOTT S L,B-,4
F14,Undergraduate,CH E    128,SCOTT S L,C+,5
F14,Undergraduate,CH E    128,SCOTT S L,C,1
F14,Undergraduate,CH E    128,SCOTT S L,C-,3
F14,Undergraduate,CH E    128,SCOTT S L,D+,2
F14,Undergraduate,CH E    128,SCOTT S L,D,2
F14,Undergraduate,CH E    128,SCOTT S L,F,1
F14,Undergraduate,CH E    132A,PETERS B G,A+,3
F14,Undergraduate,CH E    132A,PETERS B G,A,7
F14,Undergraduate,CH E    132A,PETERS B G,A-,7
F14,Undergraduate,CH E    132A,PETERS B G,B+,6
F14,Undergraduate,CH E    132A,PETERS B G,B,6
F14,Undergraduate,CH E    132A,PETERS B G,B-,7
F14,Undergraduate,CH E    132A,PETERS B G,C+,5
F14,Undergraduate,CH E    132A,PETERS B G,C,3
F14,Undergraduate,CH E    132A,PETERS B G,C-,2
F14,Undergraduate,CH E    132A,PETERS B G,D,3
F14,Undergraduate,CH E    132A,PETERS B G,F,7
F14,Undergraduate,CH E    132B,GORDON M J,A+,3
F14,Undergraduate,CH E    132B,GORDON M J,A,23
F14,Undergraduate,CH E    132B,GORDON M J,A-,6
F14,Undergraduate,CH E    132B,GORDON M J,B+,9
F14,Undergraduate,CH E    132B,GORDON M J,B,12
F14,Undergraduate,CH E    132B,GORDON M J,B-,6
F14,Undergraduate,CH E    132B,GORDON M J,C-,1
F14,Undergraduate,CH E    140B,CHMELKA B F,A+,1
F14,Undergraduate,CH E    140B,CHMELKA B F,A,5
F14,Undergraduate,CH E    140B,CHMELKA B F,A-,15
F14,Undergraduate,CH E    140B,CHMELKA B F,B,9
F14,Undergraduate,CH E    140B,CHMELKA B F,B-,7
F14,Undergraduate,CH E    140B,CHMELKA B F,C+,5
F14,Undergraduate,CH E    140B,CHMELKA B F,C,6
F14,Undergraduate,CH E    140B,CHMELKA B F,C-,2
F14,Undergraduate,CH E    140B,CHMELKA B F,D,2
F14,Undergraduate,CH E    140B,CHMELKA B F,F,5
F14,Undergraduate,CH E    141,MCFARLAND E W,A-,3
F14,Undergraduate,CH E    141,MCFARLAND E W,B+,9
F14,Undergraduate,CH E    141,MCFARLAND E W,B,2
F14,Undergraduate,CH E    141,MCFARLAND E W,B-,1
F14,Undergraduate,CH E    141,MCFARLAND E W,C-,1
F14,Undergraduate,CH E    152A,DOYLE F,A+,1
F14,Undergraduate,CH E    152A,DOYLE F,A,11
F14,Undergraduate,CH E    152A,DOYLE F,A-,2
F14,Undergraduate,CH E    152A,DOYLE F,B+,6
F14,Undergraduate,CH E    152A,DOYLE F,B,15
F14,Undergraduate,CH E    152A,DOYLE F,B-,3
F14,Undergraduate,CH E    152A,DOYLE F,C+,3
F14,Undergraduate,CH E    152A,DOYLE F,C,10
F14,Undergraduate,CH E    152A,DOYLE F,C-,2
F14,Undergraduate,CH E    152A,DOYLE F,D,4
F14,Undergraduate,CH E    152A,DOYLE F,D-,1
F14,Undergraduate,CH E    170,O'MALLEY M A,A+,3
