Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
F14,Undergraduate,CLASS    37,GALLUCCI R,A+,18
F14,Undergraduate,CLASS    37,GALLUCCI R,A,19
F14,Undergraduate,CLASS    37,GALLUCCI R,A-,15
F14,Undergraduate,CLASS    37,GALLUCCI R,B+,11
F14,Undergraduate,CLASS    37,GALLUCCI R,B,8
F14,Undergraduate,CLASS    37,GALLUCCI R,B-,9
F14,Undergraduate,CLASS    37,GALLUCCI R,C+,4
F14,Undergraduate,CLASS    37,GALLUCCI R,C,8
F14,Undergraduate,CLASS    37,GALLUCCI R,F,1
F14,Undergraduate,CLASS    37H,GALLUCCI R,A+,1
F14,Undergraduate,CLASS    37H,GALLUCCI R,A,5
F14,Undergraduate,CLASS    37H,GALLUCCI R,B+,1
F14,Undergraduate,CLASS    40,DUNN F M,A+,5
F14,Undergraduate,CLASS    40,DUNN F M,A,49
F14,Undergraduate,CLASS    40,DUNN F M,A-,36
F14,Undergraduate,CLASS    40,DUNN F M,B+,61
F14,Undergraduate,CLASS    40,DUNN F M,B,113
F14,Undergraduate,CLASS    40,DUNN F M,B-,91
F14,Undergraduate,CLASS    40,DUNN F M,C+,80
F14,Undergraduate,CLASS    40,DUNN F M,C,77
F14,Undergraduate,CLASS    40,DUNN F M,C-,36
F14,Undergraduate,CLASS    40,DUNN F M,D+,16
F14,Undergraduate,CLASS    40,DUNN F M,D,15
F14,Undergraduate,CLASS    40,DUNN F M,D-,5
F14,Undergraduate,CLASS    40,DUNN F M,F,41
F14,Undergraduate,CLASS    40H,DUNN F M,A+,1
F14,Undergraduate,CLASS    40H,DUNN F M,A,8
F14,Undergraduate,CLASS    40H,DUNN F M,B+,4
F14,Undergraduate,CLASS    50,ERICKSON B L,A,8
F14,Undergraduate,CLASS    50,ERICKSON B L,A-,15
F14,Undergraduate,CLASS    50,ERICKSON B L,B+,20
F14,Undergraduate,CLASS    50,ERICKSON B L,B,5
F14,Undergraduate,CLASS    50,ERICKSON B L,B-,5
F14,Undergraduate,CLASS    50,ERICKSON B L,C+,3
F14,Undergraduate,CLASS    50,ERICKSON B L,C-,1
F14,Undergraduate,CLASS    50,ERICKSON B L,F,3
F14,Undergraduate,CLASS    80B,GALLUCCI R,A+,14
F14,Undergraduate,CLASS    80B,GALLUCCI R,A,17
F14,Undergraduate,CLASS    80B,GALLUCCI R,A-,20
F14,Undergraduate,CLASS    80B,GALLUCCI R,B+,9
F14,Undergraduate,CLASS    80B,GALLUCCI R,B,10
F14,Undergraduate,CLASS    80B,GALLUCCI R,B-,8
F14,Undergraduate,CLASS    80B,GALLUCCI R,C+,5
F14,Undergraduate,CLASS    80B,GALLUCCI R,C,6
F14,Undergraduate,CLASS   102,SHILO A,A+,1
F14,Undergraduate,CLASS   102,SHILO A,A,16
F14,Undergraduate,CLASS   102,SHILO A,A-,10
F14,Undergraduate,CLASS   102,SHILO A,B+,9
F14,Undergraduate,CLASS   102,SHILO A,B,13
F14,Undergraduate,CLASS   102,SHILO A,B-,5
F14,Undergraduate,CLASS   102,SHILO A,C+,2
F14,Undergraduate,CLASS   102,SHILO A,C,6
F14,Undergraduate,CLASS   102,SHILO A,F,2
F14,Undergraduate,CLASS   180B,MORALES H L,A+,2
F14,Undergraduate,CLASS   180B,MORALES H L,A,2
F14,Undergraduate,CLASS   180B,MORALES H L,A-,3
F14,Undergraduate,CLASS   180B,MORALES H L,B+,2
F14,Graduate,CLASS   211,LINDHEIM S H,A,1
F14,Graduate,CLASS   211,LINDHEIM S H,A-,5
F14,Graduate,CLASS   234,ERICKSON B L,A,5
F14,Graduate,CLASS   234,ERICKSON B L,A-,1
F14,Graduate,CLASS   500,DUNN F M,S,5
