Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
F14,Undergraduate,ED        3A,CARLYLE A M,A+,4
F14,Undergraduate,ED        3A,CARLYLE A M,A,7
F14,Undergraduate,ED        4A,FELDWINN D L,A,3
F14,Undergraduate,ED        4A,FELDWINN D L,B,1
F14,Undergraduate,ED        4A,FELDWINN D L,D,1
F14,Undergraduate,ED        4A,JOHNSON S K,A,3
F14,Undergraduate,ED        4A,JOHNSON S K,B,1
F14,Undergraduate,ED        4A,JOHNSON S K,D,1
F14,Undergraduate,ED       20,LIN-ROARK I,A+,19
F14,Undergraduate,ED       20,LIN-ROARK I,A,43
F14,Undergraduate,ED       20,LIN-ROARK I,A-,18
F14,Undergraduate,ED       20,LIN-ROARK I,B+,12
F14,Undergraduate,ED       20,LIN-ROARK I,B,7
F14,Undergraduate,ED       20,LIN-ROARK I,B-,3
F14,Undergraduate,ED       20,LIN-ROARK I,C+,3
F14,Undergraduate,ED       20,LIN-ROARK I,C-,1
F14,Undergraduate,ED       20,LIN-ROARK I,F,1
F14,Undergraduate,ED       20,ROARK J B,A+,19
F14,Undergraduate,ED       20,ROARK J B,A,43
F14,Undergraduate,ED       20,ROARK J B,A-,18
F14,Undergraduate,ED       20,ROARK J B,B+,12
F14,Undergraduate,ED       20,ROARK J B,B,7
F14,Undergraduate,ED       20,ROARK J B,B-,3
F14,Undergraduate,ED       20,ROARK J B,C+,3
F14,Undergraduate,ED       20,ROARK J B,C-,1
F14,Undergraduate,ED       20,ROARK J B,F,1
F14,Undergraduate,ED      103,STERLING K W,A,20
F14,Undergraduate,ED      103,STERLING K W,A-,1
F14,Undergraduate,ED      103,STERLING K W,B+,5
F14,Undergraduate,ED      111,ROMO L F,A+,12
F14,Undergraduate,ED      111,ROMO L F,A,30
F14,Undergraduate,ED      111,ROMO L F,A-,11
F14,Undergraduate,ED      111,ROMO L F,B+,12
F14,Undergraduate,ED      111,ROMO L F,B,10
F14,Undergraduate,ED      111,ROMO L F,B-,3
F14,Undergraduate,ED      111,ROMO L F,C+,1
F14,Undergraduate,ED      111,ROMO L F,C,4
F14,Undergraduate,ED      111,ROMO L F,C-,1
F14,Undergraduate,ED      111,ROMO L F,D+,2
F14,Undergraduate,ED      111,ROMO L F,D,2
F14,Undergraduate,ED      111,ROMO L F,F,1
F14,Undergraduate,ED      118,LUBACH D W,A,126
F14,Undergraduate,ED      118,LUBACH D W,A-,33
F14,Undergraduate,ED      118,LUBACH D W,B+,16
F14,Undergraduate,ED      118,LUBACH D W,B,8
