Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
F14,Undergraduate,INT       1,CALDWELL R C,P,19
F14,Undergraduate,INT       1,COLMENAR G A,P,20
F14,Undergraduate,INT       1,COLMENAR G A,NP,1
F14,Undergraduate,INT       1,DUDA A L,P,21
F14,Undergraduate,INT       1,DUDA A L,NP,1
F14,Undergraduate,INT       1,HUBER C F,P,16
F14,Undergraduate,INT       1,HUBER C F,NP,5
F14,Undergraduate,INT       1,THOMPSON J K,P,16
F14,Undergraduate,INT       1,THOMPSON J K,NP,7
F14,Undergraduate,INT       1,TULLEY S E,P,23
F14,Undergraduate,INT      84SB,BERMUDEZ S,A+,3
F14,Undergraduate,INT      84SB,BERMUDEZ S,A,8
F14,Undergraduate,INT      94GG,FULBECK L K,P,20
F14,Undergraduate,INT      94GQ,GARCIA M T,P,16
F14,Undergraduate,INT      94GQ,GARCIA M T,NP,1
F14,Undergraduate,INT      94HG,ADAMS A J,P,11
F14,Undergraduate,INT      94JK,MCCRACKEN E,F,1
F14,Undergraduate,INT      94JK,MCCRACKEN E,P,15
F14,Undergraduate,INT      94JV,COOPER D,P,21
F14,Undergraduate,INT      94ME,HANSER M F,P,19
F14,Undergraduate,INT      94ME,HANSER M F,NP,1
F14,Undergraduate,INT      94OD,LUPI J P,P,10
F14,Undergraduate,INT      94OL,DUFFY A E,P,15
F14,Undergraduate,INT      94PN,KUHN W,P,15
F14,Undergraduate,INT      94PO,SCOTT V,P,19
F14,Undergraduate,INT      94PO,SCOTT V,NP,1
F14,Undergraduate,INT      94PU,FOGU C,P,17
F14,Undergraduate,INT      94PW,KLEIN S B,P,21
F14,Undergraduate,INT      94PX,BLAIN S M,P,16
F14,Undergraduate,INT      94PX,BLAIN S M,NP,2
F14,Undergraduate,INT      94QJ,BOSCAGLI M,P,16
F14,Undergraduate,INT      94QK,ROBERTS L S,P,17
F14,Undergraduate,INT      94QO,LEW G J,P,19
F14,Undergraduate,INT      94RF,GALLAGHER N E,P,16
F14,Undergraduate,INT      94RF,GALLAGHER N E,NP,1
F14,Undergraduate,INT      94RL,ALDANA G V,P,20
F14,Undergraduate,INT      94RN,GUTIERREZ-JON,P,13
F14,Undergraduate,INT     156EE,JARRETT G C,A+,1
F14,Undergraduate,INT     156EE,JARRETT G C,A,4
F14,Undergraduate,INT     156EE,JARRETT G C,A-,2
F14,Undergraduate,INT     156EE,JARRETT G C,B+,2
F14,Undergraduate,INT     156EE,JARRETT G C,B,2
F14,Undergraduate,INT     156EE,JARRETT G C,B-,1
F14,Undergraduate,INT     156EE,JARRETT G C,C+,1
F14,Undergraduate,INT     184KF,FOLTZ K R,A,17
F14,Undergraduate,INT     184KF,FOLTZ K R,A-,1
F14,Undergraduate,INT     184KF,FOLTZ K R,B+,2
F14,Undergraduate,INT     184PD,BLAIN S M,A+,5
F14,Undergraduate,INT     184PD,BLAIN S M,A,3
F14,Undergraduate,INT     184PD,BLAIN S M,A-,1
F14,Undergraduate,INT     184PD,BLAIN S M,B,1
F14,Undergraduate,INT     184PD,BLAIN S M,C+,1
F14,Undergraduate,INT     184VW,WELTER V W,A+,9
F14,Undergraduate,INT     184VW,WELTER V W,A,6
F14,Undergraduate,INT     184VW,WELTER V W,A-,1
F14,Undergraduate,INT     184VW,WELTER V W,B,2
F14,Undergraduate,INT     184ZD,LINZ D G,A,8
F14,Undergraduate,INT     185CW,GHOSH B,A+,2
F14,Undergraduate,INT     185CW,GHOSH B,A,2
F14,Undergraduate,INT     185CW,GHOSH B,B,20
F14,Undergraduate,INT     185CW,GHOSH B,F,1
F14,Undergraduate,INT     185PC,BLAKE F D,A+,1
F14,Undergraduate,INT     185PC,BLAKE F D,A,12
F14,Undergraduate,INT     185PC,BLAKE F D,A-,3
F14,Undergraduate,INT     185PC,BLAKE F D,B+,1
F14,Undergraduate,INT     185PC,BLAKE F D,F,3
F14,Undergraduate,INT     185ST,ZINN E R,A,11
F14,Undergraduate,INT     185ST,ZINN E R,A-,2
F14,Undergraduate,INT     185ST,ZINN E R,B+,1
F14,Undergraduate,INT     185ST,ZINN E R,B-,1
F14,Undergraduate,INT     185VW,DERWIN S,P,6
F14,Undergraduate,INT     192DC,GUTIERREZ-JON,P,32
F14,Undergraduate,INT     199DC,GUTIERREZ-JON,A,12
F14,Undergraduate,INT     199DC,GUTIERREZ-JON,A-,12
F14,Undergraduate,INT     199DC,GUTIERREZ-JON,B+,4
F14,Undergraduate,INT     199DC,GUTIERREZ-JON,B,3
F14,Undergraduate,INT     199DC,GUTIERREZ-JON,F,1
F14,Graduate,INT     200A,MONTELLO D R,S,7
F14,Graduate,INT     200A,MONTELLO D R,U,1
F14,Graduate,INT     594ST,DERWIN S,A,5
