Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
F14,Undergraduate,MES      45,ALSABAGH M H,A+,5
F14,Undergraduate,MES      45,ALSABAGH M H,A,9
F14,Undergraduate,MES      45,ALSABAGH M H,A-,19
F14,Undergraduate,MES      45,ALSABAGH M H,B+,14
F14,Undergraduate,MES      45,ALSABAGH M H,B,19
F14,Undergraduate,MES      45,ALSABAGH M H,B-,9
F14,Undergraduate,MES      45,ALSABAGH M H,C+,9
F14,Undergraduate,MES      45,ALSABAGH M H,C,12
F14,Undergraduate,MES      45,ALSABAGH M H,C-,1
F14,Undergraduate,MES      45,ALSABAGH M H,D+,4
F14,Undergraduate,MES      45,ALSABAGH M H,D,3
F14,Undergraduate,MES      45,ALSABAGH M H,D-,3
F14,Undergraduate,MES      45,ALSABAGH M H,F,9
