Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
F14,Undergraduate,WRIT      1,BERNSTEIN M M,A-,4
F14,Undergraduate,WRIT      1,BERNSTEIN M M,B+,9
F14,Undergraduate,WRIT      1,BERNSTEIN M M,B,3
F14,Undergraduate,WRIT      1,BERNSTEIN M M,B-,6
F14,Undergraduate,WRIT      1,BERNSTEIN M M,C-,2
F14,Undergraduate,WRIT      1,BROWNING R,A,5
F14,Undergraduate,WRIT      1,BROWNING R,A-,4
F14,Undergraduate,WRIT      1,BROWNING R,B+,4
F14,Undergraduate,WRIT      1,BROWNING R,B,2
F14,Undergraduate,WRIT      1,COTICH C,B+,3
F14,Undergraduate,WRIT      1,COTICH C,B,7
F14,Undergraduate,WRIT      1,COTICH C,B-,2
F14,Undergraduate,WRIT      1,COTICH C,C+,1
F14,Undergraduate,WRIT      1,COTICH C,C,2
F14,Undergraduate,WRIT      1,COTICH C,D,1
F14,Undergraduate,WRIT      1,COTICH C,F,1
F14,Undergraduate,WRIT      1,DEAN C W,A,9
F14,Undergraduate,WRIT      1,DEAN C W,A-,4
F14,Undergraduate,WRIT      1,DEAN C W,B+,4
F14,Undergraduate,WRIT      1,DEAN C W,B,1
F14,Undergraduate,WRIT      1,HAMMER L M,A-,17
F14,Undergraduate,WRIT      1,HAMMER L M,B+,12
F14,Undergraduate,WRIT      1,HAMMER L M,B,9
F14,Undergraduate,WRIT      1,HAMMER L M,B-,5
F14,Undergraduate,WRIT      1,HAMMER L M,C+,3
F14,Undergraduate,WRIT      1,HAMMER L M,C,3
F14,Undergraduate,WRIT      1,HAMMER L M,D-,1
F14,Undergraduate,WRIT      1,HIRSCH S A,A+,5
F14,Undergraduate,WRIT      1,HIRSCH S A,A,22
F14,Undergraduate,WRIT      1,HIRSCH S A,A-,10
F14,Undergraduate,WRIT      1,HIRSCH S A,B+,6
F14,Undergraduate,WRIT      1,HIRSCH S A,B,2
F14,Undergraduate,WRIT      1,HIRSCH S A,B-,1
F14,Undergraduate,WRIT      1,HIRSCH S A,C+,2
F14,Undergraduate,WRIT      1,HIRSCH S A,F,1
F14,Undergraduate,WRIT      1,JOHNSON J K,A+,1
F14,Undergraduate,WRIT      1,JOHNSON J K,A,5
F14,Undergraduate,WRIT      1,JOHNSON J K,A-,2
F14,Undergraduate,WRIT      1,JOHNSON J K,B+,1
F14,Undergraduate,WRIT      1,JOHNSON J K,B,1
F14,Undergraduate,WRIT      1,KRUT R M,A,6
F14,Undergraduate,WRIT      1,KRUT R M,A-,28
F14,Undergraduate,WRIT      1,KRUT R M,B+,10
F14,Undergraduate,WRIT      1,KRUT R M,B,3
F14,Undergraduate,WRIT      1,KRUT R M,B-,2
F14,Undergraduate,WRIT      1,KRUT R M,F,1
F14,Undergraduate,WRIT      1E,BRADLEY N D,A,5
F14,Undergraduate,WRIT      1E,BRADLEY N D,A-,4
F14,Undergraduate,WRIT      1E,BRADLEY N D,B+,3
F14,Undergraduate,WRIT      1E,BRADLEY N D,B,4
F14,Undergraduate,WRIT      1E,PROPEN A D,A,2
F14,Undergraduate,WRIT      1E,PROPEN A D,A-,3
F14,Undergraduate,WRIT      1E,PROPEN A D,B+,4
F14,Undergraduate,WRIT      2,ABRECHT R R,A,3
F14,Undergraduate,WRIT      2,ABRECHT R R,A-,9
F14,Undergraduate,WRIT      2,ABRECHT R R,B+,6
F14,Undergraduate,WRIT      2,ABRECHT R R,B,5
F14,Undergraduate,WRIT      2,ABRECHT R R,B-,1
F14,Undergraduate,WRIT      2,ABRECHT R R,C,1
F14,Undergraduate,WRIT      2,BAILLARGEON K,A,11
F14,Undergraduate,WRIT      2,BAILLARGEON K,A-,4
F14,Undergraduate,WRIT      2,BAILLARGEON K,B+,1
F14,Undergraduate,WRIT      2,BAILLARGEON K,B,1
F14,Undergraduate,WRIT      2,BAILLARGEON K,B-,3
F14,Undergraduate,WRIT      2,BAILLARGEON K,C+,2
F14,Undergraduate,WRIT      2,BAILLARGEON K,F,1
F14,Undergraduate,WRIT      2,BRADLEY N D,A,16
F14,Undergraduate,WRIT      2,BRADLEY N D,A-,28
F14,Undergraduate,WRIT      2,BRADLEY N D,B+,26
F14,Undergraduate,WRIT      2,BRADLEY N D,B,21
F14,Undergraduate,WRIT      2,BRADLEY N D,B-,5
F14,Undergraduate,WRIT      2,BRADLEY N D,C+,2
F14,Undergraduate,WRIT      2,BRADLEY N D,C,1
F14,Undergraduate,WRIT      2,BROWNING R,A,6
F14,Undergraduate,WRIT      2,BROWNING R,A-,8
F14,Undergraduate,WRIT      2,BROWNING R,B+,5
F14,Undergraduate,WRIT      2,BROWNING R,B,3
F14,Undergraduate,WRIT      2,BROWNING R,B-,2
F14,Undergraduate,WRIT      2,CONVERSE C W,A,4
F14,Undergraduate,WRIT      2,CONVERSE C W,A-,6
F14,Undergraduate,WRIT      2,CONVERSE C W,B+,5
F14,Undergraduate,WRIT      2,CONVERSE C W,B,2
F14,Undergraduate,WRIT      2,CONVERSE C W,C+,1
F14,Undergraduate,WRIT      2,DEAN C W,A+,1
F14,Undergraduate,WRIT      2,DEAN C W,A,16
F14,Undergraduate,WRIT      2,DEAN C W,A-,19
F14,Undergraduate,WRIT      2,DEAN C W,B+,20
F14,Undergraduate,WRIT      2,DEAN C W,B,24
F14,Undergraduate,WRIT      2,DEAN C W,B-,8
F14,Undergraduate,WRIT      2,DEAN C W,C+,2
F14,Undergraduate,WRIT      2,DEAN C W,C,4
F14,Undergraduate,WRIT      2,DEAN C W,D,1
F14,Undergraduate,WRIT      2,DONELAN J H,A,4
F14,Undergraduate,WRIT      2,DONELAN J H,A-,6
F14,Undergraduate,WRIT      2,DONELAN J H,B+,13
F14,Undergraduate,WRIT      2,EK A A,A,5
F14,Undergraduate,WRIT      2,EK A A,A-,8
F14,Undergraduate,WRIT      2,EK A A,B+,7
F14,Undergraduate,WRIT      2,EK A A,B,4
F14,Undergraduate,WRIT      2,FANCHER P J,A,2
F14,Undergraduate,WRIT      2,FANCHER P J,A-,10
F14,Undergraduate,WRIT      2,FANCHER P J,B+,7
F14,Undergraduate,WRIT      2,FANCHER P J,B,4
F14,Undergraduate,WRIT      2,FANCHER P J,C+,1
F14,Undergraduate,WRIT      2,FANCHER P J,C-,1
F14,Undergraduate,WRIT      2,FORBES J,A,8
F14,Undergraduate,WRIT      2,FORBES J,A-,9
F14,Undergraduate,WRIT      2,FORBES J,B+,4
F14,Undergraduate,WRIT      2,FORBES J,B,2
F14,Undergraduate,WRIT      2,HANSON J L,A,12
F14,Undergraduate,WRIT      2,HANSON J L,A-,16
F14,Undergraduate,WRIT      2,HANSON J L,B+,21
F14,Undergraduate,WRIT      2,HANSON J L,B,16
F14,Undergraduate,WRIT      2,HANSON J L,B-,4
F14,Undergraduate,WRIT      2,HANSON J L,C+,2
F14,Undergraduate,WRIT      2,HANSON J L,C-,1
F14,Undergraduate,WRIT      2,HANSON J L,F,1
F14,Undergraduate,WRIT      2,KRUT R M,A-,10
F14,Undergraduate,WRIT      2,KRUT R M,B+,4
F14,Undergraduate,WRIT      2,KRUT R M,B,4
F14,Undergraduate,WRIT      2,MEHLER J J,A,2
F14,Undergraduate,WRIT      2,MEHLER J J,A-,4
F14,Undergraduate,WRIT      2,MEHLER J J,B+,6
F14,Undergraduate,WRIT      2,MEHLER J J,B,4
F14,Undergraduate,WRIT      2,MEHLER J J,B-,3
F14,Undergraduate,WRIT      2,MEHLER J J,C,1
F14,Undergraduate,WRIT      2,MEHLER J J,C-,1
F14,Undergraduate,WRIT      2,METCALF S M,A,4
F14,Undergraduate,WRIT      2,METCALF S M,A-,4
F14,Undergraduate,WRIT      2,METCALF S M,B+,1
F14,Undergraduate,WRIT      2,METCALF S M,B,5
F14,Undergraduate,WRIT      2,METCALF S M,C,2
F14,Undergraduate,WRIT      2,METCALF S M,C-,1
F14,Undergraduate,WRIT      2,METCALF S M,F,2
F14,Undergraduate,WRIT      2,MIELE I,A+,3
F14,Undergraduate,WRIT      2,MIELE I,A,38
F14,Undergraduate,WRIT      2,MIELE I,A-,27
F14,Undergraduate,WRIT      2,MIELE I,B+,30
F14,Undergraduate,WRIT      2,MIELE I,B,30
F14,Undergraduate,WRIT      2,MIELE I,B-,5
F14,Undergraduate,WRIT      2,MIELE I,C+,2
F14,Undergraduate,WRIT      2,MIELE I,C,2
F14,Undergraduate,WRIT      2,MIELE I,F,1
F14,Undergraduate,WRIT      2,MOORE K C,A,5
F14,Undergraduate,WRIT      2,MOORE K C,A-,11
F14,Undergraduate,WRIT      2,MOORE K C,B+,8
F14,Undergraduate,WRIT      2,MOORE K C,C+,1
F14,Undergraduate,WRIT      2,PATTERSON K A,A,1
F14,Undergraduate,WRIT      2,PATTERSON K A,A-,2
F14,Undergraduate,WRIT      2,PATTERSON K A,B+,5
F14,Undergraduate,WRIT      2,PATTERSON K A,B,3
F14,Undergraduate,WRIT      2,PATTERSON K A,B-,3
F14,Undergraduate,WRIT      2,PATTERSON K A,C,1
F14,Undergraduate,WRIT      2,PATTERSON K A,C-,2
F14,Undergraduate,WRIT      2,PATTERSON K A,F,1
F14,Undergraduate,WRIT      2,SAMUELS R D,A,1
F14,Undergraduate,WRIT      2,SAMUELS R D,A-,7
F14,Undergraduate,WRIT      2,SAMUELS R D,B+,7
F14,Undergraduate,WRIT      2,SAMUELS R D,B,8
F14,Undergraduate,WRIT      2,SAMUELS R D,B-,1
F14,Undergraduate,WRIT      2,WARWICK N L,A+,7
F14,Undergraduate,WRIT      2,WARWICK N L,A,16
F14,Undergraduate,WRIT      2,WARWICK N L,A-,10
F14,Undergraduate,WRIT      2,WARWICK N L,B+,10
F14,Undergraduate,WRIT      2,WARWICK N L,B,5
