Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
F15,Undergraduate,CHIN      1,HSU C-C,A+,4
F15,Undergraduate,CHIN      1,HSU C-C,A,34
F15,Undergraduate,CHIN      1,HSU C-C,A-,23
F15,Undergraduate,CHIN      1,HSU C-C,B+,17
F15,Undergraduate,CHIN      1,HSU C-C,B,6
F15,Undergraduate,CHIN      1,HSU C-C,B-,3
F15,Undergraduate,CHIN      1,HSU C-C,C+,5
F15,Undergraduate,CHIN      1,HSU C-C,C,2
F15,Undergraduate,CHIN      1,HSU C-C,F,2
F15,Undergraduate,CHIN      1,XIAO X,A+,4
F15,Undergraduate,CHIN      1,XIAO X,A,6
F15,Undergraduate,CHIN      1,XIAO X,A-,5
F15,Undergraduate,CHIN      1,XIAO X,B+,1
F15,Undergraduate,CHIN      1,XIAO X,B,1
F15,Undergraduate,CHIN      1,XIAO X,F,1
F15,Undergraduate,CHIN      1NH,CHEN S C,A+,2
F15,Undergraduate,CHIN      1NH,CHEN S C,A,27
F15,Undergraduate,CHIN      1NH,CHEN S C,A-,9
F15,Undergraduate,CHIN      1NH,CHEN S C,B+,2
F15,Undergraduate,CHIN      1NH,CHEN S C,B,3
F15,Undergraduate,CHIN      4,GUAN D,A+,5
F15,Undergraduate,CHIN      4,GUAN D,A,19
F15,Undergraduate,CHIN      4,GUAN D,A-,3
F15,Undergraduate,CHIN      4,GUAN D,B+,4
F15,Undergraduate,CHIN      4,GUAN D,B,1
F15,Undergraduate,CHIN      4,GUAN D,B-,1
F15,Undergraduate,CHIN      4,GUAN D,C+,1
F15,Undergraduate,CHIN      4,GUAN D,F,1
F15,Undergraduate,CHIN      4NH,GUAN D,A+,5
F15,Undergraduate,CHIN      4NH,GUAN D,A,9
F15,Undergraduate,CHIN      4NH,GUAN D,A-,3
F15,Undergraduate,CHIN      4NH,GUAN D,B+,3
F15,Undergraduate,CHIN    122A,CHEN S C,A,3
F15,Undergraduate,CHIN    122A,CHEN S C,A-,4
F15,Undergraduate,CHIN    122A,CHEN S C,B+,1
F15,Undergraduate,CHIN    122A,CHEN S C,B,2
F15,Undergraduate,CHIN    122A,CHEN S C,B-,1
F15,Undergraduate,CHIN    122A,CHEN S C,C+,3
F15,Undergraduate,CHIN    122A,CHEN S C,C,2
F15,Undergraduate,CHIN    122A,CHEN S C,C-,1
F15,Undergraduate,CHIN    122A,CHEN S C,D,1
F15,Undergraduate,CHIN    122A,CHEN S C,F,2
F15,Undergraduate,CHIN    126B,TU K-C,A,4
F15,Undergraduate,CHIN    126B,TU K-C,A-,6
F15,Undergraduate,CHIN    126B,TU K-C,B+,8
F15,Undergraduate,CHIN    126B,TU K-C,B,10
F15,Undergraduate,CHIN    126B,TU K-C,B-,1
F15,Undergraduate,CHIN    126B,TU K-C,C+,3
F15,Undergraduate,CHIN    126B,TU K-C,C,1
F15,Undergraduate,CHIN    127A,YU H-J,A+,1
F15,Undergraduate,CHIN    127A,YU H-J,A,4
F15,Undergraduate,CHIN    132B,TU K-C,A,3
F15,Undergraduate,CHIN    132B,TU K-C,A-,2
F15,Undergraduate,CHIN    132B,TU K-C,B+,10
F15,Undergraduate,CHIN    132B,TU K-C,B,15
F15,Undergraduate,CHIN    132B,TU K-C,B-,6
F15,Undergraduate,CHIN    185A,ZHENG X,A,1
F15,Undergraduate,CHIN    185A,ZHENG X,A-,4
F15,Undergraduate,CHIN    185A,ZHENG X,B+,2
F15,Undergraduate,CHIN    185A,ZHENG X,B,5
F15,Undergraduate,CHIN    185A,ZHENG X,B-,5
F15,Undergraduate,CHIN    185A,ZHENG X,C+,3
F15,Undergraduate,CHIN    185A,ZHENG X,C-,1
F15,Undergraduate,CHIN    185CQ,ZHENG X,A,3
F15,Undergraduate,CHIN    185CQ,ZHENG X,A-,3
F15,Undergraduate,CHIN    185CQ,ZHENG X,B+,4
F15,Undergraduate,CHIN    185CQ,ZHENG X,B-,1
F15,Undergraduate,CHIN    185CQ,ZHENG X,C+,1
F15,Undergraduate,CHIN    185CQ,ZHENG X,F,1
F15,Graduate,CHIN    260,STEAVU-BALINT,A,7
F15,Graduate,CHIN    260,STEAVU-BALINT,A-,1
