Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
F15,Undergraduate,DANCE    42D,MOSELEY D,A,13
F15,Undergraduate,DANCE    42D,MOSELEY D,A-,7
F15,Undergraduate,DANCE    42D,MOSELEY D,B+,4
F15,Undergraduate,DANCE    42D,MOSELEY D,B,1
F15,Undergraduate,DANCE    44A,SMILEY B T,A+,15
F15,Undergraduate,DANCE    44A,SMILEY B T,A,10
F15,Undergraduate,DANCE    44A,SMILEY B T,A-,1
F15,Undergraduate,DANCE    44A,SMILEY B T,B,2
F15,Undergraduate,DANCE    44A,SMILEY B T,B-,1
F15,Undergraduate,DANCE    45,PRESS C M,A+,4
F15,Undergraduate,DANCE    45,PRESS C M,A,39
F15,Undergraduate,DANCE    45,PRESS C M,A-,40
F15,Undergraduate,DANCE    45,PRESS C M,B+,48
F15,Undergraduate,DANCE    45,PRESS C M,B,100
F15,Undergraduate,DANCE    45,PRESS C M,B-,78
F15,Undergraduate,DANCE    45,PRESS C M,C+,32
F15,Undergraduate,DANCE    45,PRESS C M,C,65
F15,Undergraduate,DANCE    45,PRESS C M,C-,18
F15,Undergraduate,DANCE    45,PRESS C M,D+,12
F15,Undergraduate,DANCE    45,PRESS C M,D,20
F15,Undergraduate,DANCE    45,PRESS C M,D-,8
F15,Undergraduate,DANCE    45,PRESS C M,F,27
F15,Undergraduate,DANCE    47A,HUSTON V G,A,3
F15,Undergraduate,DANCE    47A,HUSTON V G,A-,4
F15,Undergraduate,DANCE    47A,HUSTON V G,B+,6
F15,Undergraduate,DANCE    47A,HUSTON V G,B,4
F15,Undergraduate,DANCE    47A,HUSTON V G,C-,1
F15,Undergraduate,DANCE    47A,MOSELEY D,A,11
F15,Undergraduate,DANCE    47A,MOSELEY D,A-,2
F15,Undergraduate,DANCE    47A,MOSELEY D,B,2
F15,Undergraduate,DANCE    47D,DEANGELO G M,A,8
F15,Undergraduate,DANCE    47D,DEANGELO G M,A-,7
F15,Undergraduate,DANCE    47D,DEANGELO G M,B+,2
F15,Undergraduate,DANCE    47D,MOSELEY D,A,10
F15,Undergraduate,DANCE    47D,MOSELEY D,A-,3
F15,Undergraduate,DANCE    47D,MOSELEY D,B+,2
F15,Undergraduate,DANCE    47D,PEARSON M H,A-,8
F15,Undergraduate,DANCE    47D,PEARSON M H,B+,1
F15,Undergraduate,DANCE    47D,PEARSON M H,B,1
F15,Undergraduate,DANCE    51,SMILEY B T,A+,8
F15,Undergraduate,DANCE    51,SMILEY B T,A,9
F15,Undergraduate,DANCE    51,SMILEY B T,A-,3
F15,Undergraduate,DANCE    51,SMILEY B T,B+,2
F15,Undergraduate,DANCE    51,SMILEY B T,B,1
F15,Undergraduate,DANCE    56A,COLAHAN N,A,2
F15,Undergraduate,DANCE    56A,COLAHAN N,A-,4
F15,Undergraduate,DANCE    56A,COLAHAN N,B+,11
F15,Undergraduate,DANCE    56A,COLAHAN N,B,1
F15,Undergraduate,DANCE    56A,COLAHAN N,C,1
F15,Undergraduate,DANCE    56A,MCCARTHY C R,A,3
F15,Undergraduate,DANCE    56A,MCCARTHY C R,A-,9
F15,Undergraduate,DANCE    56A,MCCARTHY C R,B+,7
F15,Undergraduate,DANCE    56A,MCCARTHY C R,B,1
F15,Undergraduate,DANCE    56D,COLAHAN N,A,6
F15,Undergraduate,DANCE    56D,COLAHAN N,A-,7
F15,Undergraduate,DANCE    56D,COLAHAN N,B+,7
F15,Undergraduate,DANCE    56D,COLAHAN N,B,2
F15,Undergraduate,DANCE    56D,COLAHAN N,B-,3
F15,Undergraduate,DANCE    56D,COLAHAN N,C,1
F15,Undergraduate,DANCE    56D,PEARSON J,A,9
F15,Undergraduate,DANCE    94,MOSELEY D,A,14
F15,Undergraduate,DANCE   145D,BENNAHUM D,A,4
F15,Undergraduate,DANCE   145D,BENNAHUM D,A-,1
F15,Undergraduate,DANCE   145D,BENNAHUM D,B+,2
F15,Undergraduate,DANCE   145D,BENNAHUM D,B,3
F15,Undergraduate,DANCE   145D,BENNAHUM D,B-,3
F15,Undergraduate,DANCE   145D,BENNAHUM D,C+,1
F15,Undergraduate,DANCE   145D,BENNAHUM D,C,1
F15,Undergraduate,DANCE   145D,BENNAHUM D,F,2
F15,Undergraduate,DANCE   147A,HUSTON V G,A,3
F15,Undergraduate,DANCE   147A,HUSTON V G,A-,7
F15,Undergraduate,DANCE   147A,HUSTON V G,B+,7
F15,Undergraduate,DANCE   147A,HUSTON V G,B,1
F15,Undergraduate,DANCE   147D,HUSTON V G,A,2
F15,Undergraduate,DANCE   147D,HUSTON V G,A-,2
F15,Undergraduate,DANCE   147D,HUSTON V G,B+,4
F15,Undergraduate,DANCE   147PA,HUSTON V G,A,3
F15,Undergraduate,DANCE   147PA,HUSTON V G,A-,4
F15,Undergraduate,DANCE   147PA,HUSTON V G,B+,3
F15,Undergraduate,DANCE   147PA,HUSTON V G,B,1
F15,Undergraduate,DANCE   149,MCCARTHY C R,A+,1
F15,Undergraduate,DANCE   149,MCCARTHY C R,A,20
F15,Undergraduate,DANCE   149,MCCARTHY C R,A-,1
F15,Undergraduate,DANCE   149,PILAFIAN C,A,23
F15,Undergraduate,DANCE   151A,PILAFIAN C,A,9
F15,Undergraduate,DANCE   151A,PILAFIAN C,A-,5
F15,Undergraduate,DANCE   151A,PILAFIAN C,B+,5
F15,Undergraduate,DANCE   151A,PILAFIAN C,C+,1
F15,Undergraduate,DANCE   151DA,PEARSON J,A,7
F15,Undergraduate,DANCE   156A,COLAHAN N,A,12
F15,Undergraduate,DANCE   156A,COLAHAN N,A-,5
F15,Undergraduate,DANCE   156A,COLAHAN N,B+,6
F15,Undergraduate,DANCE   156A,COLAHAN N,B,4
F15,Undergraduate,DANCE   156A,COLAHAN N,B-,1
F15,Undergraduate,DANCE   156A,COLAHAN N,C,1
F15,Undergraduate,DANCE   156D,COLAHAN N,A,3
F15,Undergraduate,DANCE   156D,COLAHAN N,A-,2
F15,Undergraduate,DANCE   156D,COLAHAN N,B,2
F15,Undergraduate,DANCE   156D,COLAHAN N,C,1
F15,Undergraduate,DANCE   156D,SANCHEZ C A,A+,2
F15,Undergraduate,DANCE   156D,SANCHEZ C A,A,3
F15,Undergraduate,DANCE   186,MCCARTHY C R,A,5
F15,Undergraduate,DANCE   190,MOSELEY D,A,8
F15,Undergraduate,DANCE   199,PRESS C M,A,5
