Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
F15,Undergraduate,KOR      60,PAI H I,A+,12
F15,Undergraduate,KOR      60,PAI H I,A,18
F15,Undergraduate,KOR      60,PAI H I,A-,11
F15,Undergraduate,KOR      60,PAI H I,B+,9
F15,Undergraduate,KOR      60,PAI H I,B,4
F15,Undergraduate,KOR      60,PAI H I,B-,4
F15,Undergraduate,KOR      60,PAI H I,C+,3
F15,Undergraduate,KOR      60,PAI H I,D,1
F15,Undergraduate,KOR      60,PAI H I,F,1
F15,Undergraduate,KOR     182A,PAI H I,A+,4
F15,Undergraduate,KOR     182A,PAI H I,A,4
F15,Undergraduate,KOR     182A,PAI H I,A-,4
F15,Undergraduate,KOR     182A,PAI H I,B+,6
F15,Undergraduate,KOR     182A,PAI H I,B,6
F15,Undergraduate,KOR     182A,PAI H I,B-,8
F15,Undergraduate,KOR     182A,PAI H I,C+,1
F15,Undergraduate,KOR     182A,PAI H I,C,1
F15,Undergraduate,KOR     182A,PAI H I,C-,3
F15,Undergraduate,KOR     182A,PAI H I,D+,1
F15,Undergraduate,KOR     182A,PAI H I,D,1
F15,Undergraduate,KOR     182A,PAI H I,F,9
