Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
F16,Undergraduate,ART       1A,TASCHIAN H J,A,4
F16,Undergraduate,ART       1A,TASCHIAN H J,A-,6
F16,Undergraduate,ART       1A,TASCHIAN H J,B+,13
F16,Undergraduate,ART       1A,TASCHIAN H J,B,24
F16,Undergraduate,ART       1A,TASCHIAN H J,B-,14
F16,Undergraduate,ART       1A,TASCHIAN H J,C+,11
F16,Undergraduate,ART       1A,TASCHIAN H J,C,4
F16,Undergraduate,ART       1A,TASCHIAN H J,C-,3
F16,Undergraduate,ART       1A,TASCHIAN H J,D+,2
F16,Undergraduate,ART       1A,TASCHIAN H J,D-,1
F16,Undergraduate,ART       1A,TASCHIAN H J,F,5
F16,Undergraduate,ART       1C,ROSS R H,A+,1
F16,Undergraduate,ART       1C,ROSS R H,A,177
F16,Undergraduate,ART       1C,ROSS R H,A-,33
F16,Undergraduate,ART       1C,ROSS R H,B-,9
F16,Undergraduate,ART       1C,ROSS R H,C-,1
F16,Undergraduate,ART       1C,ROSS R H,F,4
F16,Undergraduate,ART       7B,BECKMAN L B,A+,2
F16,Undergraduate,ART       7B,BECKMAN L B,A,18
F16,Undergraduate,ART       7B,BECKMAN L B,A-,9
F16,Undergraduate,ART       7B,BECKMAN L B,B+,15
F16,Undergraduate,ART       7B,BECKMAN L B,B,11
F16,Undergraduate,ART       7B,BECKMAN L B,B-,8
F16,Undergraduate,ART       7B,BECKMAN L B,C+,3
F16,Undergraduate,ART       7B,BECKMAN L B,C,4
F16,Undergraduate,ART       7B,BECKMAN L B,C-,1
F16,Undergraduate,ART       7B,BECKMAN L B,F,2
F16,Undergraduate,ART      10,ARGENT P,A+,2
F16,Undergraduate,ART      10,ARGENT P,A,6
F16,Undergraduate,ART      10,ARGENT P,A-,3
F16,Undergraduate,ART      10,ARGENT P,B+,5
F16,Undergraduate,ART      10,ARGENT P,B,1
F16,Undergraduate,ART      10,ARGENT P,C+,1
F16,Undergraduate,ART      10,ARGENT P,D+,1
F16,Undergraduate,ART      12,YASUDA K,A,4
F16,Undergraduate,ART      12,YASUDA K,A-,5
F16,Undergraduate,ART      12,YASUDA K,B+,2
F16,Undergraduate,ART      12,YASUDA K,B,4
F16,Undergraduate,ART      12,YASUDA K,C,1
F16,Undergraduate,ART      14,ELLIS C M,A,4
F16,Undergraduate,ART      14,ELLIS C M,A-,9
F16,Undergraduate,ART      14,ELLIS C M,B+,1
F16,Undergraduate,ART      14,ELLIS C M,B,1
F16,Undergraduate,ART      14,ELLIS C M,F,2
F16,Undergraduate,ART      18,BELTZ E A,A,4
F16,Undergraduate,ART      18,BELTZ E A,A-,4
F16,Undergraduate,ART      18,BELTZ E A,B+,2
F16,Undergraduate,ART      18,BELTZ E A,B,1
F16,Undergraduate,ART      18,BELTZ E A,B-,5
F16,Undergraduate,ART      18,BELTZ E A,C+,1
F16,Undergraduate,ART      18,BELTZ E A,D,1
F16,Undergraduate,ART      18,BELTZ E A,D-,1
F16,Undergraduate,ART      19,BAKER E A,A+,10
F16,Undergraduate,ART      19,BAKER E A,A,16
F16,Undergraduate,ART      19,BAKER E A,A-,11
F16,Undergraduate,ART      19,BAKER E A,B+,3
F16,Undergraduate,ART      19,BAKER E A,B,3
F16,Undergraduate,ART      19,BAKER E A,B-,2
F16,Undergraduate,ART      19,BAKER E A,C+,1
F16,Undergraduate,ART      19,BAKER E A,C,1
F16,Undergraduate,ART      22,KIRATLI DICIC,A+,1
F16,Undergraduate,ART      22,KIRATLI DICIC,A,5
F16,Undergraduate,ART      22,KIRATLI DICIC,A-,3
F16,Undergraduate,ART      22,KIRATLI DICIC,B+,3
F16,Undergraduate,ART      22,KIRATLI DICIC,B,2
F16,Undergraduate,ART      22,KIRATLI DICIC,B-,2
F16,Undergraduate,ART      22,KIRATLI DICIC,C,1
F16,Undergraduate,ART      22,KIRATLI DICIC,D,1
F16,Undergraduate,ART      22,KIRATLI DICIC,F,1
F16,Undergraduate,ART      32,GURANTZ M,A,2
F16,Undergraduate,ART      32,GURANTZ M,A-,3
F16,Undergraduate,ART      32,GURANTZ M,B+,4
F16,Undergraduate,ART      32,GURANTZ M,B,1
F16,Undergraduate,ART      32,GURANTZ M,B-,2
F16,Undergraduate,ART      32,GURANTZ M,C,1
F16,Undergraduate,ART      32,GURANTZ M,F,2
F16,Undergraduate,ART     100,CALLISTER J,A+,3
F16,Undergraduate,ART     100,CALLISTER J,A,3
F16,Undergraduate,ART     100,CALLISTER J,A-,7
F16,Undergraduate,ART     100,CALLISTER J,B+,4
F16,Undergraduate,ART     100,CALLISTER J,C,2
F16,Undergraduate,ART     105PP,MULFINGER J,A+,1
F16,Undergraduate,ART     105PP,MULFINGER J,A,5
F16,Undergraduate,ART     105PP,MULFINGER J,A-,7
F16,Undergraduate,ART     105PP,MULFINGER J,B,1
F16,Undergraduate,ART     117,BELTZ E A,A+,1
F16,Undergraduate,ART     117,BELTZ E A,A,7
F16,Undergraduate,ART     117,BELTZ E A,A-,6
F16,Undergraduate,ART     117,BELTZ E A,B+,3
F16,Undergraduate,ART     117,BELTZ E A,B,1
F16,Undergraduate,ART     117,BELTZ E A,B-,1
F16,Undergraduate,ART     117,BELTZ E A,C,1
F16,Undergraduate,ART     117,BELTZ E A,C-,1
F16,Undergraduate,ART     130,VANDERPOOL J,A,18
F16,Undergraduate,ART     130,VANDERPOOL J,B,3
F16,Undergraduate,ART     136,FULBECK L K,A,3
F16,Undergraduate,ART     136,FULBECK L K,A-,4
F16,Undergraduate,ART     136,FULBECK L K,B+,4
F16,Undergraduate,ART     136,FULBECK L K,B,2
F16,Undergraduate,ART     136,FULBECK L K,C,1
F16,Undergraduate,ART     196,MULFINGER J,A,7
F16,Undergraduate,ART     196,MULFINGER J,A-,3
F16,Graduate,ART     244,JEVBRATT L V,A,13
F16,Graduate,ART     246,ROSS R H,A,11
F16,Graduate,ART     261,ROSS R H,A,7
F16,Undergraduate,ART  CS  15,EKSTROM L,P,12
F16,Undergraduate,ART  CS 102,CONNALLY D E,P,11
F16,Undergraduate,ART  CS 105,EKSTROM L,P,12
F16,Undergraduate,ART  CS 112,CONNALLY D E,P,9
F16,Undergraduate,ART  CS 112,SORKIN JENNI,P,12
F16,Undergraduate,ART  CS 120,BAKER E A,P,12
F16,Undergraduate,ARTHI     5A,MEADOW M A,A,57
F16,Undergraduate,ARTHI     5A,MEADOW M A,A-,22
F16,Undergraduate,ARTHI     5A,MEADOW M A,B+,14
F16,Undergraduate,ARTHI     5A,MEADOW M A,B,15
F16,Undergraduate,ARTHI     5A,MEADOW M A,B-,5
F16,Undergraduate,ARTHI     5A,MEADOW M A,C+,7
F16,Undergraduate,ARTHI     5A,MEADOW M A,C,4
F16,Undergraduate,ARTHI     5A,MEADOW M A,C-,2
F16,Undergraduate,ARTHI     5A,MEADOW M A,D,1
F16,Undergraduate,ARTHI     5A,MEADOW M A,F,4
F16,Undergraduate,ARTHI     6A,MOSER C H,A,60
F16,Undergraduate,ARTHI     6A,MOSER C H,A-,48
