Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
F16,Undergraduate,CH ST     1A,GARCIA M T,A+,17
F16,Undergraduate,CH ST     1A,GARCIA M T,A,157
F16,Undergraduate,CH ST     1A,GARCIA M T,A-,86
F16,Undergraduate,CH ST     1A,GARCIA M T,B+,53
F16,Undergraduate,CH ST     1A,GARCIA M T,B,130
F16,Undergraduate,CH ST     1A,GARCIA M T,B-,23
F16,Undergraduate,CH ST     1A,GARCIA M T,C+,9
F16,Undergraduate,CH ST     1A,GARCIA M T,C,17
F16,Undergraduate,CH ST     1A,GARCIA M T,C-,3
F16,Undergraduate,CH ST     1A,GARCIA M T,D,6
F16,Undergraduate,CH ST     1A,GARCIA M T,D-,2
F16,Undergraduate,CH ST     1A,GARCIA M T,F,3
F16,Undergraduate,CH ST   103,CASILLAS D I,A,9
F16,Undergraduate,CH ST   103,CASILLAS D I,A-,10
F16,Undergraduate,CH ST   103,CASILLAS D I,B+,10
F16,Undergraduate,CH ST   103,CASILLAS D I,B,5
F16,Undergraduate,CH ST   103,CASILLAS D I,B-,2
F16,Undergraduate,CH ST   103,CASILLAS D I,C+,4
F16,Undergraduate,CH ST   103,CASILLAS D I,C,1
F16,Undergraduate,CH ST   103,CASILLAS D I,D+,1
F16,Undergraduate,CH ST   112,SANDOVAL C,A+,3
F16,Undergraduate,CH ST   112,SANDOVAL C,A,5
F16,Undergraduate,CH ST   112,SANDOVAL C,A-,11
F16,Undergraduate,CH ST   168A,CASTILLO-MUNO,A-,2
F16,Undergraduate,CH ST   168A,CASTILLO-MUNO,B+,2
F16,Undergraduate,CH ST   168A,CASTILLO-MUNO,B,5
F16,Undergraduate,CH ST   168A,CASTILLO-MUNO,F,1
F16,Undergraduate,CH ST   168F,ARMBRUSTER R,A,7
F16,Undergraduate,CH ST   168F,ARMBRUSTER R,A-,10
F16,Undergraduate,CH ST   168F,ARMBRUSTER R,B+,8
F16,Undergraduate,CH ST   168F,ARMBRUSTER R,B,12
F16,Undergraduate,CH ST   168F,ARMBRUSTER R,B-,2
F16,Undergraduate,CH ST   168F,ARMBRUSTER R,C,1
F16,Undergraduate,CH ST   168F,ARMBRUSTER R,F,2
F16,Undergraduate,CH ST   168GQ,GARCIA M T,A,6
F16,Undergraduate,CH ST   171,ARMBRUSTER R,A,4
F16,Undergraduate,CH ST   171,ARMBRUSTER R,A-,12
F16,Undergraduate,CH ST   171,ARMBRUSTER R,B+,6
F16,Undergraduate,CH ST   171,ARMBRUSTER R,B,19
F16,Undergraduate,CH ST   171,ARMBRUSTER R,B-,8
F16,Undergraduate,CH ST   171,ARMBRUSTER R,C+,2
F16,Undergraduate,CH ST   171,ARMBRUSTER R,F,1
F16,Undergraduate,CH ST   185,SANDOVAL C,A+,3
F16,Undergraduate,CH ST   185,SANDOVAL C,A,1
F16,Undergraduate,CH ST   185,SANDOVAL C,A-,8
F16,Undergraduate,CH ST   185,SANDOVAL C,B+,2
F16,Undergraduate,CH ST   185,SANDOVAL C,B,2
F16,Undergraduate,CH ST   185L,SANDOVAL C,A,8
F16,Undergraduate,CH ST   185L,SANDOVAL C,A-,3
F16,Undergraduate,CH ST   185L,SANDOVAL C,B+,2
F16,Undergraduate,CH ST   185L,SANDOVAL C,B,2
F16,Undergraduate,CH ST   185L,SANDOVAL C,B-,1
F16,Undergraduate,CH ST   195A,MARQUEZ M,A+,1
F16,Undergraduate,CH ST   195A,MARQUEZ M,A,2
F16,Undergraduate,CH ST   195A,MARQUEZ M,A-,1
F16,Undergraduate,CH ST   195A,MARQUEZ M,B+,2
F16,Undergraduate,CH ST   195A,MARQUEZ M,B,2
F16,Graduate,CH ST   594IC,CASILLAS D I,A+,1
F16,Graduate,CH ST   594IC,CASILLAS D I,A,4
F16,Graduate,CH ST   594IC,CASILLAS D I,A-,1
