Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
F16,Undergraduate,ES   1-   2,CHECKETTS A W,P,39
F16,Undergraduate,ES   1-   2,CHECKETTS A W,NP,1
F16,Undergraduate,ES   1-   4A,HOUGHTON B L,P,18
F16,Undergraduate,ES   1-   4B,HOUGHTON B L,P,18
F16,Undergraduate,ES   1-   4B,HOUGHTON B L,NP,3
F16,Undergraduate,ES   1-   6A,COLSON G W,P,55
F16,Undergraduate,ES   1-   6A,COLSON G W,NP,4
F16,Undergraduate,ES   1-   6B,COLSON G W,P,23
F16,Undergraduate,ES   1-   6C,COLSON G W,P,29
F16,Undergraduate,ES   1-   6C,COLSON G W,NP,1
F16,Undergraduate,ES   1-   7A,SCHAUPETER B,P,49
F16,Undergraduate,ES   1-   7B,SCHAUPETER B,P,10
F16,Undergraduate,ES   1-   9A,SHEPARD T J,P,53
F16,Undergraduate,ES   1-  10A,GAGE R J,P,34
F16,Undergraduate,ES   1-  10A,GAGE R J,NP,2
F16,Undergraduate,ES   1-  10A,VAN NOY K R,P,32
F16,Undergraduate,ES   1-  10A,VAN NOY K R,NP,5
F16,Undergraduate,ES   1-  10A,WILLIAMS A,P,19
F16,Undergraduate,ES   1-  10A,WILLIAMS A,NP,4
F16,Undergraduate,ES   1-  10B,WILLIAMS A,P,18
F16,Undergraduate,ES   1-  10B,WILLIAMS A,NP,5
F16,Undergraduate,ES   1-  10C,VAN NOY K R,P,23
F16,Undergraduate,ES   1-  10C,VAN NOY K R,NP,3
F16,Undergraduate,ES   1-  11,HENRICKSON B,P,5
F16,Undergraduate,ES   1-  11,WILLIAMS R A,F,1
F16,Undergraduate,ES   1-  11,WILLIAMS R A,P,10
F16,Undergraduate,ES   1-  12,KELLY E A,P,29
F16,Undergraduate,ES   1-  12,KELLY E A,NP,6
F16,Undergraduate,ES   1-  13A,ROBINSON T,P,35
F16,Undergraduate,ES   1-  13A,ROBINSON T,NP,2
F16,Undergraduate,ES   1-  14,DOLAN P H,P,17
F16,Undergraduate,ES   1-  16A,OTA S K,P,31
F16,Undergraduate,ES   1-  16A,OTA S K,NP,7
F16,Undergraduate,ES   1-  16A,SILVA M M,P,81
F16,Undergraduate,ES   1-  16A,SILVA M M,NP,6
F16,Undergraduate,ES   1-  16B,OTA S K,P,11
F16,Undergraduate,ES   1-  16B,OTA S K,NP,2
F16,Undergraduate,ES   1-  22,LASS S,P,10
F16,Undergraduate,ES   1-  24A,DEHERAS D J,P,30
F16,Undergraduate,ES   1-  24A,GREEN D L,P,25
F16,Undergraduate,ES   1-  24A,GREEN D L,NP,2
F16,Undergraduate,ES   1-  24B,DEHERAS D J,P,14
F16,Undergraduate,ES   1-  24B,GREEN D L,P,8
F16,Undergraduate,ES   1-  24B,GREEN D L,NP,1
F16,Undergraduate,ES   1-  25A,BADULESCU M,P,26
F16,Undergraduate,ES   1-  25A,BADULESCU M,NP,2
F16,Undergraduate,ES   1-  25B,BADULESCU M,P,10
F16,Undergraduate,ES   1-  26A,BADULESCU M,P,13
F16,Undergraduate,ES   1-  26A,BADULESCU M,NP,1
F16,Undergraduate,ES   1-  26B,BADULESCU M,P,8
F16,Undergraduate,ES   1-  29A,RASSENTI D,P,15
F16,Undergraduate,ES   1-  29A,RASSENTI D,NP,2
F16,Undergraduate,ES   1-  29B,RASSENTI D,P,8
F16,Undergraduate,ES   1-  29B,RASSENTI D,NP,2
F16,Undergraduate,ES   1-  30A,BADULESCU M,P,19
F16,Undergraduate,ES   1-  30A,BADULESCU M,NP,3
F16,Undergraduate,ES   1-  30A,WILSON R J,P,25
F16,Undergraduate,ES   1-  30A,WILSON R J,NP,2
F16,Undergraduate,ES   1-  30B,BADULESCU M,P,20
F16,Undergraduate,ES   1-  30B,BADULESCU M,NP,1
F16,Undergraduate,ES   1-  32,GALICINAO B M,P,15
F16,Undergraduate,ES   1-  33,MACEDO M E,P,36
F16,Undergraduate,ES   1-  34A,HOUGHTON B L,P,13
F16,Undergraduate,ES   1-  34A,HOUGHTON B L,NP,6
F16,Undergraduate,ES   1-  34A,STORI M D,P,33
F16,Undergraduate,ES   1-  34A,STORI M D,NP,7
F16,Undergraduate,ES   1-  34B,HOUGHTON B L,P,23
F16,Undergraduate,ES   1-  34B,HOUGHTON B L,NP,8
F16,Undergraduate,ES   1-  34B,STORI M D,P,7
F16,Undergraduate,ES   1-  34B,STORI M D,NP,2
F16,Undergraduate,ES   1-  36,WIPPERMANN C,P,38
F16,Undergraduate,ES   1-  36,WIPPERMANN C,NP,7
F16,Undergraduate,ES   1-  37,DAVIS M J,P,10
F16,Undergraduate,ES   1-  37,THIBODEAU S,P,6
F16,Undergraduate,ES   1-  38A,GERSTENFELD P,P,52
F16,Undergraduate,ES   1-  38A,GERSTENFELD P,NP,6
F16,Undergraduate,ES   1-  38B,GERSTENFELD P,P,12
F16,Undergraduate,ES   1-  38B,GERSTENFELD P,NP,3
F16,Undergraduate,ES   1-  38C,GERSTENFELD P,P,13
F16,Undergraduate,ES   1-  38C,GERSTENFELD P,NP,1
F16,Undergraduate,ES   1-  40A,MCGOLPIN R E,P,51
F16,Undergraduate,ES   1-  40A,MCGOLPIN R E,NP,3
F16,Undergraduate,ES   1-  40B,MCGOLPIN R E,P,15
F16,Undergraduate,ES   1-  40C,MCGOLPIN R E,P,27
F16,Undergraduate,ES   1-  42,DOLAN P H,P,35
