Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
F16,Graduate,ESM     203,DOZIER J C,A+,1
F16,Graduate,ESM     203,DOZIER J C,A,18
F16,Graduate,ESM     203,DOZIER J C,A-,22
F16,Graduate,ESM     203,DOZIER J C,B+,19
F16,Graduate,ESM     203,DOZIER J C,B,26
F16,Graduate,ESM     203,DOZIER J C,B-,2
F16,Graduate,ESM     203,DOZIER J C,C,1
F16,Graduate,ESM     203,DUNNE T,A+,1
F16,Graduate,ESM     203,DUNNE T,A,18
F16,Graduate,ESM     203,DUNNE T,A-,22
F16,Graduate,ESM     203,DUNNE T,B+,19
F16,Graduate,ESM     203,DUNNE T,B,26
F16,Graduate,ESM     203,DUNNE T,B-,2
F16,Graduate,ESM     203,DUNNE T,C,1
F16,Graduate,ESM     206,HORST A M,A+,2
F16,Graduate,ESM     206,HORST A M,A,35
F16,Graduate,ESM     206,HORST A M,A-,34
F16,Graduate,ESM     206,HORST A M,B+,14
F16,Graduate,ESM     206,HORST A M,B,8
F16,Graduate,ESM     207,SALZMAN J E,A+,3
F16,Graduate,ESM     207,SALZMAN J E,A,18
F16,Graduate,ESM     207,SALZMAN J E,A-,26
F16,Graduate,ESM     207,SALZMAN J E,B+,40
F16,Graduate,ESM     207,SALZMAN J E,B,7
F16,Graduate,ESM     214,HOLDEN P A,A+,3
F16,Graduate,ESM     214,HOLDEN P A,A,9
F16,Graduate,ESM     214,HOLDEN P A,A-,4
F16,Graduate,ESM     214,HOLDEN P A,B+,1
F16,Graduate,ESM     224,KELLER A A,A,9
F16,Graduate,ESM     224,KELLER A A,A-,2
F16,Graduate,ESM     224,KELLER A A,B+,4
F16,Graduate,ESM     226,BROWN N N,A,6
F16,Graduate,ESM     226,BROWN N N,A-,2
F16,Graduate,ESM     226,BROWN N N,B+,1
F16,Graduate,ESM     226,BROWN N N,C+,1
F16,Graduate,ESM     242,PLANTINGA A,A,15
F16,Graduate,ESM     242,PLANTINGA A,A-,4
F16,Graduate,ESM     242,PLANTINGA A,B,1
F16,Graduate,ESM     245,LIBECAP G D,A+,11
F16,Graduate,ESM     245,LIBECAP G D,A,12
F16,Graduate,ESM     245,LIBECAP G D,A-,10
F16,Graduate,ESM     245,LIBECAP G D,B+,6
F16,Graduate,ESM     245,LIBECAP G D,B,5
F16,Graduate,ESM     256A,COTTER E E,A,10
F16,Graduate,ESM     256A,COTTER E E,A-,9
F16,Graduate,ESM     257,HASTINGS S P,A+,2
F16,Graduate,ESM     257,HASTINGS S P,A,16
F16,Graduate,ESM     257,HASTINGS S P,A-,5
F16,Graduate,ESM     257,HASTINGS S P,B+,2
F16,Graduate,ESM     270P,DAVIS F W,A+,3
F16,Graduate,ESM     270P,DAVIS F W,A,11
F16,Graduate,ESM     270P,DAVIS F W,A-,6
F16,Graduate,ESM     270P,DAVIS F W,B+,1
F16,Graduate,ESM     271,SUH S,A+,19
F16,Graduate,ESM     271,SUH S,A,3
F16,Graduate,ESM     275,JACOBSON M T,A,10
F16,Graduate,ESM     275,JACOBSON M T,A-,3
F16,Graduate,ESM     275,JACOBSON M T,B+,1
F16,Graduate,ESM     288,KUCZENSKI B,A+,1
F16,Graduate,ESM     288,KUCZENSKI B,A,7
F16,Graduate,ESM     288,KUCZENSKI B,A-,6
F16,Graduate,ESM     288,KUCZENSKI B,B-,1
F16,Graduate,ESM     294,DANIELS E B,A,11
F16,Graduate,ESM     294,SALZMAN J E,A,10
F16,Graduate,ESM     296,FREW J E,A,3
F16,Graduate,ESM     296,FREW J E,A-,2
F16,Graduate,ESM     296,FREW J E,B+,2
F16,Graduate,ESM     296,FREW J E,B,1
F16,Graduate,ESM     296,GAINES S,A,27
F16,Graduate,ESM     296,POTOSKI M,S,14
F16,Graduate,ESM     296,WILKINSON R C,A,13
F16,Graduate,ESM     401B,ANDERSON S,A,5
F16,Graduate,ESM     401B,BOOTH D B,A,5
F16,Graduate,ESM     401B,BUNTAINE M T,A,5
F16,Graduate,ESM     401B,FREW J E,A,5
F16,Graduate,ESM     401B,LENIHAN H S,A+,5
F16,Graduate,ESM     401B,SALZMAN J E,A,4
F16,Graduate,ESM     401B,SALZMAN J E,A-,1
F16,Graduate,ESM     437,LEOMBRUNI L V,S,31
F16,Graduate,ESM     441,HANRAHAN M S,A,16
F16,Graduate,ESM     510,SALZMAN J E,S,7
F16,Graduate,ESM     512,SUH S,A+,7
F16,Graduate,ESM     595HH,POTOSKI M,S,8
