Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
F16,Undergraduate,ITAL      1,BORROMEO C,A,14
F16,Undergraduate,ITAL      1,BORROMEO C,A-,11
F16,Undergraduate,ITAL      1,BORROMEO C,B+,6
F16,Undergraduate,ITAL      1,BORROMEO C,B,5
F16,Undergraduate,ITAL      1,BORROMEO C,B-,2
F16,Undergraduate,ITAL      1,BORROMEO C,C+,2
F16,Undergraduate,ITAL      1,BORROMEO C,C,1
F16,Undergraduate,ITAL      1,CRICKETTE M E,A+,9
F16,Undergraduate,ITAL      1,CRICKETTE M E,A,28
F16,Undergraduate,ITAL      1,CRICKETTE M E,A-,14
F16,Undergraduate,ITAL      1,CRICKETTE M E,B+,5
F16,Undergraduate,ITAL      1,CRICKETTE M E,B,5
F16,Undergraduate,ITAL      1,CRICKETTE M E,B-,3
F16,Undergraduate,ITAL      1,CRICKETTE M E,C+,1
F16,Undergraduate,ITAL      1,CRICKETTE M E,C,1
F16,Undergraduate,ITAL      1,DE SIMONE T,A,6
F16,Undergraduate,ITAL      1,DE SIMONE T,A-,8
F16,Undergraduate,ITAL      1,DE SIMONE T,B+,6
F16,Undergraduate,ITAL      1,DE SIMONE T,B,4
F16,Undergraduate,ITAL      1,DE SIMONE T,B-,1
F16,Undergraduate,ITAL      1,PADULA V,A+,4
F16,Undergraduate,ITAL      1,PADULA V,A,8
F16,Undergraduate,ITAL      1,PADULA V,A-,4
F16,Undergraduate,ITAL      1,PADULA V,B,1
F16,Undergraduate,ITAL      1,PADULA V,F,1
F16,Undergraduate,ITAL      2,ARNOLD L B,A+,5
F16,Undergraduate,ITAL      2,ARNOLD L B,A,6
F16,Undergraduate,ITAL      2,ARNOLD L B,A-,7
F16,Undergraduate,ITAL      2,ARNOLD L B,B+,4
F16,Undergraduate,ITAL      2,ARNOLD L B,B,3
F16,Undergraduate,ITAL      2,ARNOLD L B,C+,2
F16,Undergraduate,ITAL      2,ARNOLD L B,C,1
F16,Undergraduate,ITAL      2,ARNOLD L B,D+,1
F16,Undergraduate,ITAL      3,FIORINA C P,A+,1
F16,Undergraduate,ITAL      3,FIORINA C P,A,10
F16,Undergraduate,ITAL      3,FIORINA C P,A-,7
F16,Undergraduate,ITAL      3,FIORINA C P,B+,7
F16,Undergraduate,ITAL      3,FIORINA C P,B,3
F16,Undergraduate,ITAL      3,FIORINA C P,B-,2
F16,Undergraduate,ITAL      3,FIORINA C P,C+,2
F16,Undergraduate,ITAL      3,FIORINA C P,F,3
F16,Undergraduate,ITAL      4,ARNOLD L B,A,5
F16,Undergraduate,ITAL      4,ARNOLD L B,A-,2
F16,Undergraduate,ITAL      4,ARNOLD L B,B+,5
F16,Undergraduate,ITAL      4,ARNOLD L B,B,7
F16,Undergraduate,ITAL      4,ARNOLD L B,C+,1
F16,Undergraduate,ITAL      4,ARNOLD L B,C,1
F16,Undergraduate,ITAL      4,ARNOLD L B,F,1
F16,Undergraduate,ITAL      4,DE SIMONE T,A,3
F16,Undergraduate,ITAL      4,DE SIMONE T,A-,8
F16,Undergraduate,ITAL      4,DE SIMONE T,B+,3
F16,Undergraduate,ITAL      4,DE SIMONE T,B,4
F16,Undergraduate,ITAL      4,DE SIMONE T,C+,2
F16,Undergraduate,ITAL      4,DE SIMONE T,C,2
F16,Undergraduate,ITAL      4,DE SIMONE T,F,1
F16,Undergraduate,ITAL      6,BORROMEO C,A,4
F16,Undergraduate,ITAL      6,BORROMEO C,A-,4
F16,Undergraduate,ITAL      6,BORROMEO C,B+,1
F16,Undergraduate,ITAL      6,BORROMEO C,B-,1
F16,Undergraduate,ITAL    101,FIORINA C P,A,7
F16,Undergraduate,ITAL    101,FIORINA C P,A-,2
F16,Undergraduate,ITAL    101,FIORINA C P,B+,3
F16,Undergraduate,ITAL    101,FIORINA C P,B,4
F16,Undergraduate,ITAL    119A,SNYDER J R,A,7
F16,Undergraduate,ITAL    119A,SNYDER J R,A-,5
F16,Undergraduate,ITAL    119A,SNYDER J R,C,2
F16,Undergraduate,ITAL    161AX,PADULA V,A+,4
F16,Undergraduate,ITAL    161AX,PADULA V,A,6
F16,Undergraduate,ITAL    161AX,PADULA V,A-,21
F16,Undergraduate,ITAL    161AX,PADULA V,B+,10
F16,Undergraduate,ITAL    161AX,PADULA V,B,19
F16,Undergraduate,ITAL    161AX,PADULA V,B-,19
F16,Undergraduate,ITAL    161AX,PADULA V,C+,11
F16,Undergraduate,ITAL    161AX,PADULA V,C,7
F16,Undergraduate,ITAL    161AX,PADULA V,C-,1
F16,Undergraduate,ITAL    161AX,PADULA V,D+,2
F16,Undergraduate,ITAL    161AX,PADULA V,D,2
F16,Undergraduate,ITAL    161AX,PADULA V,F,3
