Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
F16,Undergraduate,LATIN     1,DUTSCH D,A+,4
F16,Undergraduate,LATIN     1,DUTSCH D,A,9
F16,Undergraduate,LATIN     1,DUTSCH D,A-,1
F16,Undergraduate,LATIN     1,DUTSCH D,B-,3
F16,Undergraduate,LATIN     1,DUTSCH D,C,2
F16,Undergraduate,LATIN     1,DUTSCH D,D+,1
F16,Undergraduate,LATIN     1,DUTSCH D,F,1
F16,Undergraduate,LATIN     1,HADDAD D H,A,2
F16,Undergraduate,LATIN     1,HADDAD D H,A-,1
F16,Undergraduate,LATIN     1,HADDAD D H,B+,2
F16,Undergraduate,LATIN     1,HADDAD D H,B,1
F16,Undergraduate,LATIN     1,HADDAD D H,C,1
F16,Undergraduate,LATIN     1,HADDAD D H,D-,1
F16,Undergraduate,LATIN     1,RICK E P,A,2
F16,Undergraduate,LATIN     1,RICK E P,B+,2
F16,Undergraduate,LATIN     1,RICK E P,B,2
F16,Undergraduate,LATIN     1,RICK E P,B-,1
F16,Undergraduate,LATIN     1,RICK E P,C,3
F16,Undergraduate,LATIN     1,RICK E P,F,1
F16,Undergraduate,LATIN   100,MORSTEIN-MARX,A+,1
F16,Undergraduate,LATIN   100,MORSTEIN-MARX,A,2
F16,Undergraduate,LATIN   100,MORSTEIN-MARX,A-,1
F16,Undergraduate,LATIN   100,MORSTEIN-MARX,B+,3
F16,Undergraduate,LATIN   100,MORSTEIN-MARX,B,2
F16,Undergraduate,LATIN   100,MORSTEIN-MARX,F,1
F16,Undergraduate,LATIN   103,ENGLISH E D,A,3
F16,Undergraduate,LATIN   103,ENGLISH E D,A-,4
F16,Undergraduate,LATIN   103,ENGLISH E D,B+,1
F16,Graduate,LATIN   216,MORSTEIN-MARX,A,2
F16,Graduate,LATIN   216,MORSTEIN-MARX,A-,4
F16,Graduate,LATIN   216,MORSTEIN-MARX,B+,1
