Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
F16,Undergraduate,MATRL   100A,SALEH O A,A+,6
F16,Undergraduate,MATRL   100A,SALEH O A,A,11
F16,Undergraduate,MATRL   100A,SALEH O A,A-,5
F16,Undergraduate,MATRL   100A,SALEH O A,B+,4
F16,Undergraduate,MATRL   100A,SALEH O A,B,9
F16,Undergraduate,MATRL   100A,SALEH O A,B-,2
F16,Undergraduate,MATRL   100A,SALEH O A,C+,1
F16,Undergraduate,MATRL   100A,SALEH O A,C,3
F16,Undergraduate,MATRL   100A,SALEH O A,C-,1
F16,Undergraduate,MATRL   100A,SALEH O A,D+,1
F16,Undergraduate,MATRL   100A,SALEH O A,D,4
F16,Graduate,MATRL   200A,VAN DER VEN A,A+,4
F16,Graduate,MATRL   200A,VAN DER VEN A,A,10
F16,Graduate,MATRL   200A,VAN DER VEN A,A-,5
F16,Graduate,MATRL   200A,VAN DER VEN A,B+,10
F16,Graduate,MATRL   200A,VAN DER VEN A,B,4
F16,Graduate,MATRL   200A,VAN DER VEN A,C,1
F16,Graduate,MATRL   207,MCMEEKING R M,A+,8
F16,Graduate,MATRL   207,MCMEEKING R M,A,5
F16,Graduate,MATRL   207,MCMEEKING R M,A-,1
F16,Graduate,MATRL   209A,SPECK J S,A,14
F16,Graduate,MATRL   209A,SPECK J S,A-,5
F16,Graduate,MATRL   215A,PALMSTROM C J,A+,7
F16,Graduate,MATRL   215A,PALMSTROM C J,A,7
F16,Graduate,MATRL   215A,PALMSTROM C J,A-,2
F16,Graduate,MATRL   222A,ISRAELACHVILI,A+,1
F16,Graduate,MATRL   222A,ISRAELACHVILI,A,2
F16,Graduate,MATRL   222A,ISRAELACHVILI,A-,2
F16,Graduate,MATRL   222A,ISRAELACHVILI,B+,1
F16,Graduate,MATRL   271A,BAZAN G C,A+,4
F16,Graduate,MATRL   271A,BAZAN G C,A,2
F16,Graduate,MATRL   271A,BAZAN G C,A-,1
F16,Graduate,MATRL   271A,BAZAN G C,B+,1
F16,Graduate,MATRL   271A,BAZAN G C,B,1
F16,Graduate,MATRL   271A,BAZAN G C,C,3
F16,Graduate,MATRL   273,BATES C M,A+,1
F16,Graduate,MATRL   273,BATES C M,A,11
F16,Graduate,MATRL   286M,WILSON S D,A+,3
F16,Graduate,MATRL   286M,WILSON S D,A,2
F16,Graduate,MATRL   288P,CHABINYC M L,A,9
F16,Graduate,MATRL   289E,GIANOLA D S,A,4
F16,Graduate,MATRL   289E,GIANOLA D S,A-,1
F16,Graduate,MATRL   289G,LEVI C G,A+,1
F16,Graduate,MATRL   289G,LEVI C G,A,7
F16,Graduate,MATRL   290,BOWERS J E,S,5
F16,Graduate,MATRL   290,CHABINYC M L,S,6
F16,Graduate,MATRL   290,DENBAARS S P,S,8
F16,Graduate,MATRL   290,LEVI C G,S,6
F16,Graduate,MATRL   290,NAKAMURA S,S,6
F16,Graduate,MATRL   290,PALMSTROM C J,S,7
F16,Graduate,MATRL   290,POLLOCK T M,S,10
F16,Graduate,MATRL   290,SESHADRI R,S,9
F16,Graduate,MATRL   290,SPECK J S,S,15
F16,Graduate,MATRL   290,STEMMER S,S,7
F16,Graduate,MATRL   290,VAN DER VEN A,S,10
F16,Graduate,MATRL   290,ZOK F,S,7
F16,Graduate,MATRL   598,SESHADRI R,S,5
F16,Graduate,MATRL   598,SPECK J S,S,9
F16,Graduate,MATRL   598,VAN DER VEN A,S,5
F16,Graduate,MATRL   599,DENBAARS S P,S,7
F16,Graduate,MATRL   599,PALMSTROM C J,S,7
F16,Graduate,MATRL   599,POLLOCK T M,S,7
