Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
F16,Undergraduate,ARTHI     5A,MEADOW M A,A,57
F16,Undergraduate,ARTHI     5A,MEADOW M A,A-,22
F16,Undergraduate,ARTHI     5A,MEADOW M A,B+,14
F16,Undergraduate,ARTHI     5A,MEADOW M A,B,15
F16,Undergraduate,ARTHI     5A,MEADOW M A,B-,5
F16,Undergraduate,ARTHI     5A,MEADOW M A,C+,7
F16,Undergraduate,ARTHI     5A,MEADOW M A,C,4
F16,Undergraduate,ARTHI     5A,MEADOW M A,C-,2
F16,Undergraduate,ARTHI     5A,MEADOW M A,D,1
F16,Undergraduate,ARTHI     5A,MEADOW M A,F,4
F16,Undergraduate,ARTHI   107B,MEADOW M A,A+,5
F16,Undergraduate,ARTHI   107B,MEADOW M A,A,9
F16,Undergraduate,ARTHI   107B,MEADOW M A,A-,9
F16,Undergraduate,ARTHI   107B,MEADOW M A,B+,8
F16,Undergraduate,ARTHI   107B,MEADOW M A,B,5
F16,Undergraduate,ARTHI   107B,MEADOW M A,B-,2
F16,Undergraduate,CHEM    113A,METIU H I,A+,5
F16,Undergraduate,CHEM    113A,METIU H I,A,15
F16,Undergraduate,CHEM    113A,METIU H I,A-,12
F16,Undergraduate,CHEM    113A,METIU H I,B+,19
F16,Undergraduate,CHEM    113A,METIU H I,B,21
F16,Undergraduate,CHEM    113A,METIU H I,B-,18
F16,Undergraduate,CHEM    113A,METIU H I,C+,10
F16,Undergraduate,CHEM    113A,METIU H I,C,4
F16,Undergraduate,CHEM    113A,METIU H I,C-,2
F16,Undergraduate,CHEM    113A,METIU H I,D,3
F16,Undergraduate,CHEM    113A,METIU H I,F,3
F16,Undergraduate,CHEM    173A,MENARD G,A+,2
F16,Undergraduate,CHEM    173A,MENARD G,A,2
F16,Undergraduate,CHEM    173A,MENARD G,A-,6
F16,Undergraduate,CHEM    173A,MENARD G,B+,6
F16,Undergraduate,CHEM    173A,MENARD G,B,8
F16,Undergraduate,CHEM    173A,MENARD G,B-,7
F16,Undergraduate,CHEM    173A,MENARD G,C+,4
F16,Undergraduate,CHEM    173A,MENARD G,C,5
F16,Undergraduate,CHEM    173A,MENARD G,C-,3
F16,Undergraduate,CHEM    173A,MENARD G,D+,1
F16,Undergraduate,CHEM    173A,MENARD G,D,2
F16,Undergraduate,CHEM    173A,MENARD G,F,4
F16,Graduate,CHEM    293,MENARD G,S,41
F16,Graduate,CHEM    595,MENARD G,S,12
F16,Undergraduate,COMM    111,MEROLLA A J,A,20
F16,Undergraduate,COMM    111,MEROLLA A J,A-,15
F16,Undergraduate,COMM    111,MEROLLA A J,B+,16
F16,Undergraduate,COMM    111,MEROLLA A J,B,8
F16,Undergraduate,COMM    111,MEROLLA A J,B-,3
F16,Undergraduate,COMM    111,MEROLLA A J,C+,5
F16,Undergraduate,COMM    111,MEROLLA A J,C,5
F16,Undergraduate,COMM    111,MEROLLA A J,D+,2
F16,Graduate,ECON    594ER,MENG K C,S,11
F16,Graduate,ED      370,MEYER M N,S,5
F16,Undergraduate,ENGL    101,MEYERS T R,A+,3
F16,Undergraduate,ENGL    101,MEYERS T R,A,13
F16,Undergraduate,ENGL    101,MEYERS T R,A-,20
F16,Undergraduate,ENGL    101,MEYERS T R,B+,14
F16,Undergraduate,ENGL    101,MEYERS T R,B,13
F16,Undergraduate,ENGL    101,MEYERS T R,B-,8
F16,Undergraduate,ENGL    101,MEYERS T R,C+,11
F16,Undergraduate,ENGL    101,MEYERS T R,C,6
F16,Undergraduate,ENGL    101,MEYERS T R,C-,4
F16,Undergraduate,ENGL    101,MEYERS T R,D,2
F16,Undergraduate,ENGL    101,MEYERS T R,F,2
F16,Undergraduate,ENV S   149,MEISTERLING K,A+,4
F16,Undergraduate,ENV S   149,MEISTERLING K,A,31
F16,Undergraduate,ENV S   149,MEISTERLING K,A-,7
F16,Undergraduate,ENV S   149,MEISTERLING K,B+,5
F16,Undergraduate,ENV S   149,MEISTERLING K,B,9
F16,Undergraduate,ENV S   149,MEISTERLING K,B-,4
F16,Undergraduate,ENV S   149,MEISTERLING K,C-,1
F16,Undergraduate,ENV S   149,MEISTERLING K,D,1
F16,Undergraduate,ENV S   149,MEISTERLING K,D-,1
F16,Graduate,FAMST   232GM,MELNICK R D,A+,2
F16,Graduate,FAMST   232GM,MELNICK R D,A,4
F16,Graduate,FAMST   232GM,MELNICK R D,A-,1
F16,Undergraduate,GEOG    161,MEISTERLING K,A+,2
F16,Undergraduate,GEOG    161,MEISTERLING K,A,4
F16,Undergraduate,GEOG    161,MEISTERLING K,A-,3
F16,Undergraduate,GEOG    161,MEISTERLING K,B,1
F16,Undergraduate,GEOG    161,MEISTERLING K,C,1
F16,Undergraduate,HIST    151CU,MENDEZ S C,A,1
F16,Undergraduate,HIST    151CU,MENDEZ S C,A-,2
F16,Undergraduate,HIST    151CU,MENDEZ S C,B+,3
F16,Undergraduate,HIST    151CU,MENDEZ S C,B-,1
F16,Undergraduate,HIST    151CU,MENDEZ S C,C+,2
F16,Undergraduate,HIST    151CU,MENDEZ S C,C,1
F16,Undergraduate,HIST    151CU,MENDEZ S C,C-,2
F16,Undergraduate,HIST    151CU,MENDEZ S C,D-,2
F16,Undergraduate,HIST    151CU,MENDEZ S C,F,1
F16,Undergraduate,ME       11,FIELDS K,P,40
F16,Undergraduate,ME       11,FIELDS K,NP,3
F16,Undergraduate,ME       12S,GREEN R E,A+,26
F16,Undergraduate,ME       12S,GREEN R E,A,7
F16,Undergraduate,ME       13,MACKIN T,A,15
F16,Undergraduate,ME       14,BEGLEY M R,A+,1
F16,Undergraduate,ME       14,BEGLEY M R,A,8
F16,Undergraduate,ME       14,BEGLEY M R,A-,4
F16,Undergraduate,ME       14,BEGLEY M R,B+,7
F16,Undergraduate,ME       14,BEGLEY M R,B,16
F16,Undergraduate,ME       14,BEGLEY M R,B-,7
F16,Undergraduate,ME       14,BEGLEY M R,C+,12
F16,Undergraduate,ME       14,BEGLEY M R,C,17
F16,Undergraduate,ME       14,BEGLEY M R,C-,16
F16,Undergraduate,ME       14,BEGLEY M R,D,2
F16,Undergraduate,ME       14,BEGLEY M R,F,5
F16,Undergraduate,ME      100,MEZIC I,P,21
F16,Undergraduate,ME      104,BYL M,A+,5
F16,Undergraduate,ME      104,BYL M,A,8
F16,Undergraduate,ME      104,BYL M,A-,5
F16,Undergraduate,ME      104,BYL M,B+,18
F16,Undergraduate,ME      104,BYL M,B,17
F16,Undergraduate,ME      104,BYL M,B-,10
F16,Undergraduate,ME      104,BYL M,C+,4
F16,Undergraduate,ME      104,BYL M,C,1
F16,Undergraduate,ME      104,BYL M,C-,3
F16,Undergraduate,ME      104,BYL M,D+,1
F16,Undergraduate,ME      112,MATTHYS E F,A+,1
F16,Undergraduate,ME      112,MATTHYS E F,A,2
F16,Undergraduate,ME      112,MATTHYS E F,A-,2
F16,Undergraduate,ME      112,MATTHYS E F,B+,4
F16,Undergraduate,ME      112,MATTHYS E F,B,2
F16,Undergraduate,ME      128,LAGUETTE S W,A+,3
F16,Undergraduate,ME      128,LAGUETTE S W,A,22
F16,Undergraduate,ME      128,LAGUETTE S W,B,1
F16,Undergraduate,ME      140A,MOHR R M,A+,25
F16,Undergraduate,ME      140A,MOHR R M,A,13
F16,Undergraduate,ME      140A,MOHR R M,A-,5
F16,Undergraduate,ME      140A,MOHR R M,B+,7
F16,Undergraduate,ME      140A,MOHR R M,B,8
F16,Undergraduate,ME      140A,MOHR R M,B-,5
F16,Undergraduate,ME      140A,MOHR R M,C,3
F16,Undergraduate,ME      140A,MOHR R M,C-,1
F16,Undergraduate,ME      140A,MOHR R M,D,1
F16,Undergraduate,ME      140A,MOHR R M,D-,1
F16,Undergraduate,ME      140A,MOHR R M,F,2
F16,Undergraduate,ME      151A,MEINHART C,A+,1
F16,Undergraduate,ME      151A,MEINHART C,A,17
F16,Undergraduate,ME      151A,MEINHART C,A-,1
F16,Undergraduate,ME      151A,MEINHART C,B+,2
F16,Undergraduate,ME      151A,MEINHART C,B,27
F16,Undergraduate,ME      151A,MEINHART C,B-,4
F16,Undergraduate,ME      151A,MEINHART C,C+,2
F16,Undergraduate,ME      151A,MEINHART C,C,10
F16,Undergraduate,ME      151A,MEINHART C,C-,2
F16,Undergraduate,ME      151A,MEINHART C,D,4
F16,Undergraduate,ME      151A,MEINHART C,F,2
F16,Undergraduate,ME      152A,CAMPAS-RIGAU,A+,1
F16,Undergraduate,ME      152A,CAMPAS-RIGAU,A,14
F16,Undergraduate,ME      152A,CAMPAS-RIGAU,A-,9
F16,Undergraduate,ME      152A,CAMPAS-RIGAU,B+,10
F16,Undergraduate,ME      152A,CAMPAS-RIGAU,B,3
F16,Undergraduate,ME      152A,CAMPAS-RIGAU,B-,9
F16,Undergraduate,ME      152A,CAMPAS-RIGAU,C+,11
F16,Undergraduate,ME      152A,CAMPAS-RIGAU,C,5
F16,Undergraduate,ME      152A,CAMPAS-RIGAU,C-,3
F16,Undergraduate,ME      152A,CAMPAS-RIGAU,D+,3
F16,Undergraduate,ME      152A,CAMPAS-RIGAU,D,1
F16,Undergraduate,ME      152A,CAMPAS-RIGAU,D-,4
F16,Undergraduate,ME      152A,CAMPAS-RIGAU,F,1
F16,Undergraduate,ME      154,SHUGAR T A,A,5
F16,Undergraduate,ME      154,SHUGAR T A,A-,1
F16,Undergraduate,ME      154,SHUGAR T A,B+,2
F16,Undergraduate,ME      154,SHUGAR T A,B,2
F16,Undergraduate,ME      154,SHUGAR T A,C,1
F16,Undergraduate,ME      155B,BAMIEH B A,A+,3
F16,Undergraduate,ME      155B,BAMIEH B A,A,9
F16,Undergraduate,ME      155B,BAMIEH B A,A-,5
F16,Undergraduate,ME      155B,BAMIEH B A,B-,1
F16,Undergraduate,ME      156A,SUSKO T G,A+,1
F16,Undergraduate,ME      156A,SUSKO T G,A,15
F16,Undergraduate,ME      156A,SUSKO T G,A-,9
F16,Undergraduate,ME      156A,SUSKO T G,B+,7
F16,Undergraduate,ME      156A,SUSKO T G,B,19
F16,Undergraduate,ME      156A,SUSKO T G,B-,4
F16,Undergraduate,ME      156A,SUSKO T G,C+,3
F16,Undergraduate,ME      156A,SUSKO T G,C,11
F16,Undergraduate,ME      156A,SUSKO T G,C-,3
F16,Undergraduate,ME      156A,SUSKO T G,D,3
F16,Undergraduate,ME      156A,SUSKO T G,F,1
F16,Undergraduate,ME      157,MEINHART C,A,10
F16,Undergraduate,ME      157,MEINHART C,A-,2
F16,Undergraduate,ME      158,BOTHMAN D,A,29
F16,Undergraduate,ME      167,YANG H T,A+,6
F16,Undergraduate,ME      167,YANG H T,A,10
F16,Undergraduate,ME      167,YANG H T,A-,7
F16,Undergraduate,ME      167,YANG H T,B+,8
F16,Undergraduate,ME      167,YANG H T,B,7
F16,Undergraduate,ME      167,YANG H T,B-,10
F16,Undergraduate,ME      167,YANG H T,C+,5
F16,Undergraduate,ME      167,YANG H T,C,6
F16,Undergraduate,ME      167,YANG H T,C-,7
F16,Undergraduate,ME      167,YANG H T,D,2
F16,Undergraduate,ME      179D,BYL K A,A+,3
F16,Undergraduate,ME      179D,BYL K A,A,3
F16,Undergraduate,ME      179D,BYL K A,A-,1
F16,Undergraduate,ME      179D,BYL K A,B,1
F16,Undergraduate,ME      189A,SUSKO T G,A+,14
F16,Undergraduate,ME      189A,SUSKO T G,A,30
F16,Undergraduate,ME      189A,SUSKO T G,A-,17
F16,Undergraduate,ME      189A,SUSKO T G,B+,5
F16,Undergraduate,ME      189A,SUSKO T G,B,7
F16,Undergraduate,ME      189A,SUSKO T G,B-,1
F16,Undergraduate,ME      197,SUSKO T G,A,8
F16,Graduate,ME      200,MEZIC I,S,16
F16,Graduate,ME      201,MEZIC I,A,7
F16,Graduate,ME      207,GIBOU F G,S,11
F16,Graduate,ME      215A,MOEHLIS J M,A+,8
F16,Graduate,ME      215A,MOEHLIS J M,A,4
F16,Graduate,ME      219,MCMEEKING R M,A+,1
F16,Graduate,ME      219,MCMEEKING R M,A,2
F16,Graduate,ME      219,MCMEEKING R M,A-,2
F16,Graduate,ME      219,MCMEEKING R M,B,1
F16,Graduate,ME      220A,LUZZATTO-FEGI,A+,2
F16,Graduate,ME      220A,LUZZATTO-FEGI,A,1
F16,Graduate,ME      220A,LUZZATTO-FEGI,A-,1
F16,Graduate,ME      220A,LUZZATTO-FEGI,B+,1
F16,Graduate,ME      243A,HESPANHA J P,A+,3
F16,Graduate,ME      243A,HESPANHA J P,A,5
F16,Graduate,ME      257,MEINHART C,A,5
F16,Graduate,ME      291A,VALENTINE M T,A,2
F16,Graduate,ME      291A,VALENTINE M T,B+,2
F16,Graduate,ME      291A,VALENTINE M T,B,1
F16,Graduate,ME      596,PETZOLD L,S,5
F16,Graduate,ME ST   200A,ENGLISH E D,S,6
F16,Undergraduate,MES      45,ALSABAGH M H,A+,8
F16,Undergraduate,MES      45,ALSABAGH M H,A,12
F16,Undergraduate,MES      45,ALSABAGH M H,A-,39
F16,Undergraduate,MES      45,ALSABAGH M H,B+,18
F16,Undergraduate,MES      45,ALSABAGH M H,B,14
F16,Undergraduate,MES      45,ALSABAGH M H,B-,12
F16,Undergraduate,MES      45,ALSABAGH M H,C+,7
F16,Undergraduate,MES      45,ALSABAGH M H,C,6
F16,Undergraduate,MES      45,ALSABAGH M H,C-,2
F16,Undergraduate,MES      45,ALSABAGH M H,D+,1
F16,Undergraduate,MES      45,ALSABAGH M H,D-,1
F16,Undergraduate,MES      45,ALSABAGH M H,F,1
F16,Undergraduate,PORT    105A,MENDES BRAGA,A+,1
F16,Undergraduate,PORT    105A,MENDES BRAGA,A,3
F16,Undergraduate,PORT    105A,MENDES BRAGA,A-,1
F16,Undergraduate,PORT    105A,MENDES BRAGA,B,2
