Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
F16,Undergraduate,MUS A    34,BAMBACH P A,A,29
F16,Undergraduate,MUS A    34,BAMBACH P A,A-,1
F16,Undergraduate,MUS A    36,BROTHERS M G,A+,8
F16,Undergraduate,MUS A    36,BROTHERS M G,A,7
F16,Undergraduate,MUS A    36,BROTHERS M G,A-,1
F16,Undergraduate,MUS A    37,BROTHERS M G,A,10
F16,Undergraduate,MUS A    42,SEATON S R,A,26
F16,Undergraduate,MUS A    43,FELBER J,A,6
F16,Undergraduate,MUS A    44,NATHAN J S,A+,6
F16,Undergraduate,MUS A    44,NATHAN J S,A,9
F16,Undergraduate,MUS A    44,NATHAN J S,A-,1
F16,Undergraduate,MUS A    70J,NORTH R H,A+,3
F16,Undergraduate,MUS A    70J,NORTH R H,A,3
F16,Undergraduate,MUS A    70M,MARCUS S L,A,8
F16,Undergraduate,MUS A    70M,MARCUS S L,F,2
F16,Undergraduate,MUS A    70V,BELL V R,A+,7
F16,Undergraduate,MUS A    70V,BELL V R,A,1
F16,Undergraduate,MUS A   134,BAMBACH P A,A,13
F16,Undergraduate,MUS A   136,BROTHERS M G,A+,6
F16,Undergraduate,MUS A   136,BROTHERS M G,A,6
F16,Undergraduate,MUS A   140,HALADYNA J J,A,4
F16,Undergraduate,MUS A   140,HALADYNA J J,A-,2
F16,Undergraduate,MUS A   142,SEATON S R,A+,1
F16,Undergraduate,MUS A   142,SEATON S R,A,16
F16,Undergraduate,MUS A   142,SEATON S R,A-,1
F16,Undergraduate,MUS A   143,FELBER J,A,5
F16,Undergraduate,MUS A   144,NATHAN J S,A+,5
F16,Undergraduate,MUS A   144,NATHAN J S,A,16
F16,Undergraduate,MUS A   170J,NORTH R H,A+,4
F16,Undergraduate,MUS A   170J,NORTH R H,A,1
F16,Undergraduate,MUS A   170J,NORTH R H,A-,1
F16,Undergraduate,MUS A   170M,MARCUS S L,A,5
F16,Undergraduate,MUS A   170V,BELL V R,A+,7
F16,Graduate,MUS A   238,BRECHER B H,A,8
