Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
F16,Undergraduate,PHIL      1,ZYLSTRA S J,A+,1
F16,Undergraduate,PHIL      1,ZYLSTRA S J,A,37
F16,Undergraduate,PHIL      1,ZYLSTRA S J,A-,33
F16,Undergraduate,PHIL      1,ZYLSTRA S J,B+,42
F16,Undergraduate,PHIL      1,ZYLSTRA S J,B,60
F16,Undergraduate,PHIL      1,ZYLSTRA S J,B-,27
F16,Undergraduate,PHIL      1,ZYLSTRA S J,C+,13
F16,Undergraduate,PHIL      1,ZYLSTRA S J,C,15
F16,Undergraduate,PHIL      1,ZYLSTRA S J,C-,6
F16,Undergraduate,PHIL      1,ZYLSTRA S J,D+,4
F16,Undergraduate,PHIL      1,ZYLSTRA S J,D,3
F16,Undergraduate,PHIL      1,ZYLSTRA S J,F,5
F16,Undergraduate,PHIL      3,SCHAAL-O'CONN,A+,12
F16,Undergraduate,PHIL      3,SCHAAL-O'CONN,A,36
F16,Undergraduate,PHIL      3,SCHAAL-O'CONN,A-,29
F16,Undergraduate,PHIL      3,SCHAAL-O'CONN,B+,22
F16,Undergraduate,PHIL      3,SCHAAL-O'CONN,B,44
F16,Undergraduate,PHIL      3,SCHAAL-O'CONN,B-,21
F16,Undergraduate,PHIL      3,SCHAAL-O'CONN,C+,11
F16,Undergraduate,PHIL      3,SCHAAL-O'CONN,C,24
F16,Undergraduate,PHIL      3,SCHAAL-O'CONN,C-,17
F16,Undergraduate,PHIL      3,SCHAAL-O'CONN,D+,5
F16,Undergraduate,PHIL      3,SCHAAL-O'CONN,D,7
F16,Undergraduate,PHIL      3,SCHAAL-O'CONN,D-,5
F16,Undergraduate,PHIL      3,SCHAAL-O'CONN,F,12
F16,Undergraduate,PHIL      4,ZIMMERMAN A Z,A+,2
F16,Undergraduate,PHIL      4,ZIMMERMAN A Z,A,18
F16,Undergraduate,PHIL      4,ZIMMERMAN A Z,A-,24
F16,Undergraduate,PHIL      4,ZIMMERMAN A Z,B+,48
F16,Undergraduate,PHIL      4,ZIMMERMAN A Z,B,59
F16,Undergraduate,PHIL      4,ZIMMERMAN A Z,B-,39
F16,Undergraduate,PHIL      4,ZIMMERMAN A Z,C+,24
F16,Undergraduate,PHIL      4,ZIMMERMAN A Z,C,13
F16,Undergraduate,PHIL      4,ZIMMERMAN A Z,C-,3
F16,Undergraduate,PHIL      4,ZIMMERMAN A Z,D-,1
F16,Undergraduate,PHIL      4,ZIMMERMAN A Z,F,14
F16,Undergraduate,PHIL     20A,TSOUNA V,A+,1
F16,Undergraduate,PHIL     20A,TSOUNA V,A,24
F16,Undergraduate,PHIL     20A,TSOUNA V,A-,25
F16,Undergraduate,PHIL     20A,TSOUNA V,B+,28
F16,Undergraduate,PHIL     20A,TSOUNA V,B,33
F16,Undergraduate,PHIL     20A,TSOUNA V,B-,12
F16,Undergraduate,PHIL     20A,TSOUNA V,C+,11
F16,Undergraduate,PHIL     20A,TSOUNA V,C,5
F16,Undergraduate,PHIL     20A,TSOUNA V,F,4
F16,Undergraduate,PHIL    100A,HANSER M F,A+,1
F16,Undergraduate,PHIL    100A,HANSER M F,A,5
F16,Undergraduate,PHIL    100A,HANSER M F,A-,2
F16,Undergraduate,PHIL    100A,HANSER M F,B+,14
F16,Undergraduate,PHIL    100A,HANSER M F,B,8
F16,Undergraduate,PHIL    100A,HANSER M F,B-,17
F16,Undergraduate,PHIL    100A,HANSER M F,C+,19
F16,Undergraduate,PHIL    100A,HANSER M F,C,9
F16,Undergraduate,PHIL    100A,HANSER M F,C-,7
F16,Undergraduate,PHIL    100A,HANSER M F,D+,5
F16,Undergraduate,PHIL    100A,HANSER M F,D,4
F16,Undergraduate,PHIL    100A,HANSER M F,D-,1
F16,Undergraduate,PHIL    100A,HANSER M F,F,5
F16,Undergraduate,PHIL    100C,SCHULTZ D,A,4
F16,Undergraduate,PHIL    100C,SCHULTZ D,A-,11
F16,Undergraduate,PHIL    100C,SCHULTZ D,B+,6
F16,Undergraduate,PHIL    100C,SCHULTZ D,B,15
F16,Undergraduate,PHIL    100C,SCHULTZ D,B-,14
F16,Undergraduate,PHIL    100C,SCHULTZ D,C+,2
F16,Undergraduate,PHIL    100C,SCHULTZ D,C,3
F16,Undergraduate,PHIL    100C,SCHULTZ D,C-,2
F16,Undergraduate,PHIL    100C,SCHULTZ D,F,3
F16,Undergraduate,PHIL    122,MCMAHON C A,A,2
F16,Undergraduate,PHIL    122,MCMAHON C A,A-,4
F16,Undergraduate,PHIL    122,MCMAHON C A,B+,6
F16,Undergraduate,PHIL    122,MCMAHON C A,B,10
F16,Undergraduate,PHIL    122,MCMAHON C A,B-,9
F16,Undergraduate,PHIL    122,MCMAHON C A,C+,4
F16,Undergraduate,PHIL    122,MCMAHON C A,C,4
F16,Undergraduate,PHIL    122,MCMAHON C A,F,2
F16,Undergraduate,PHIL    130,JARRETT G C,A,7
F16,Undergraduate,PHIL    130,JARRETT G C,A-,2
F16,Undergraduate,PHIL    130,JARRETT G C,B+,4
F16,Undergraduate,PHIL    130,JARRETT G C,B,4
F16,Undergraduate,PHIL    130,JARRETT G C,B-,2
F16,Undergraduate,PHIL    130,JARRETT G C,C+,5
F16,Undergraduate,PHIL    130,JARRETT G C,C,3
F16,Undergraduate,PHIL    130,JARRETT G C,C-,3
F16,Undergraduate,PHIL    130,JARRETT G C,D+,1
F16,Undergraduate,PHIL    130,JARRETT G C,D,2
F16,Undergraduate,PHIL    130,JARRETT G C,D-,1
F16,Undergraduate,PHIL    130,JARRETT G C,F,4
F16,Undergraduate,PHIL    135,ROBERTSON T,A-,3
F16,Undergraduate,PHIL    135,ROBERTSON T,B+,1
F16,Undergraduate,PHIL    135,ROBERTSON T,B,1
F16,Undergraduate,PHIL    135,ROBERTSON T,B-,3
F16,Undergraduate,PHIL    135,ROBERTSON T,C+,4
F16,Undergraduate,PHIL    135,ROBERTSON T,C,1
F16,Undergraduate,PHIL    135,ROBERTSON T,F,1
F16,Undergraduate,PHIL    139,MCMAHON C A,A,7
F16,Undergraduate,PHIL    139,MCMAHON C A,A-,3
F16,Undergraduate,PHIL    139,MCMAHON C A,B+,4
F16,Undergraduate,PHIL    139,MCMAHON C A,B,8
F16,Undergraduate,PHIL    139,MCMAHON C A,B-,4
F16,Undergraduate,PHIL    139,MCMAHON C A,C+,2
F16,Undergraduate,PHIL    139,MCMAHON C A,C,6
F16,Undergraduate,PHIL    139,MCMAHON C A,F,2
F16,Undergraduate,PHIL    151,MCKIRAHAN R D,A,3
F16,Undergraduate,PHIL    151,MCKIRAHAN R D,B+,4
F16,Undergraduate,PHIL    151,MCKIRAHAN R D,B,4
F16,Undergraduate,PHIL    151,MCKIRAHAN R D,C,1
F16,Undergraduate,PHIL    151,MCKIRAHAN R D,F,1
F16,Undergraduate,PHIL    152,TSOUNA V,A+,3
F16,Undergraduate,PHIL    152,TSOUNA V,A,4
F16,Undergraduate,PHIL    152,TSOUNA V,A-,3
F16,Undergraduate,PHIL    152,TSOUNA V,B+,4
F16,Undergraduate,PHIL    152,TSOUNA V,B,6
F16,Undergraduate,PHIL    152,TSOUNA V,B-,2
F16,Undergraduate,PHIL    152,TSOUNA V,C+,1
F16,Undergraduate,PHIL    152,TSOUNA V,C,1
F16,Undergraduate,PHIL    152,TSOUNA V,F,1
F16,Undergraduate,PHIL    156,TSOUNA V,A+,2
F16,Undergraduate,PHIL    156,TSOUNA V,A,2
F16,Undergraduate,PHIL    156,TSOUNA V,A-,4
F16,Undergraduate,PHIL    156,TSOUNA V,B+,4
F16,Undergraduate,PHIL    156,TSOUNA V,B,3
F16,Undergraduate,PHIL    156,TSOUNA V,B-,2
F16,Undergraduate,PHIL    156,TSOUNA V,C,2
F16,Undergraduate,PHIL    156,TSOUNA V,D,1
F16,Undergraduate,PHIL    156,TSOUNA V,F,2
F16,Undergraduate,PHIL    183,ROBERTSON T,A,5
F16,Undergraduate,PHIL    183,ROBERTSON T,A-,6
F16,Undergraduate,PHIL    183,ROBERTSON T,B+,4
F16,Undergraduate,PHIL    183,ROBERTSON T,B,3
F16,Undergraduate,PHIL    183,ROBERTSON T,B-,4
F16,Undergraduate,PHIL    183,ROBERTSON T,C+,2
F16,Undergraduate,PHIL    183,ROBERTSON T,C,2
F16,Undergraduate,PHIL    183,ROBERTSON T,C-,1
F16,Undergraduate,PHIL    183,ROBERTSON T,D+,4
F16,Undergraduate,PHIL    183,ROBERTSON T,D-,4
F16,Undergraduate,PHIL    183,ROBERTSON T,F,14
F16,Graduate,PHIL    239G,MCMAHON C A,A,3
F16,Graduate,PHIL    239G,MCMAHON C A,A-,3
F16,Graduate,PHIL    297A,HOLDEN T A,A,4
F16,Graduate,PHIL    297A,HOLDEN T A,A-,1
F16,Graduate,PHIL    297A,HOLDEN T A,B+,1
F16,Graduate,PHIL    297A,HOLDEN T A,B-,1
F16,Graduate,PHIL    297A,HOLDEN T A,S,1
