Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
F16,Undergraduate,TMP     111,GREATHOUSE J,P,187
F16,Undergraduate,TMP     111,GREATHOUSE J,NP,33
F16,Undergraduate,TMP     120,BOGART K S,A,9
F16,Undergraduate,TMP     120,BOGART K S,A-,4
F16,Undergraduate,TMP     120,BOGART K S,B+,6
F16,Undergraduate,TMP     120,BOGART K S,B,10
F16,Undergraduate,TMP     120,BOGART K S,B-,1
F16,Undergraduate,TMP     120,BOGART K S,C+,1
F16,Undergraduate,TMP     120,BOGART K S,C,3
F16,Undergraduate,TMP     120,FELDMAN J E,A+,9
F16,Undergraduate,TMP     120,FELDMAN J E,A,14
F16,Undergraduate,TMP     120,FELDMAN J E,A-,3
F16,Undergraduate,TMP     120,FELDMAN J E,B+,1
F16,Undergraduate,TMP     120,FELDMAN J E,B,1
F16,Undergraduate,TMP     120,FELDMAN J E,C-,1
F16,Undergraduate,TMP     120,STERLING K W,A+,1
F16,Undergraduate,TMP     120,STERLING K W,A,26
F16,Undergraduate,TMP     120,STERLING K W,A-,2
F16,Undergraduate,TMP     120,STERLING K W,B+,8
F16,Undergraduate,TMP     120,STERLING K W,B-,2
F16,Undergraduate,TMP     122,HAWKINS W M,A+,5
F16,Undergraduate,TMP     122,HAWKINS W M,A,6
F16,Undergraduate,TMP     122,HAWKINS W M,A-,10
F16,Undergraduate,TMP     122,HAWKINS W M,B+,8
F16,Undergraduate,TMP     122,HAWKINS W M,B,9
F16,Undergraduate,TMP     122,HAWKINS W M,B-,2
F16,Undergraduate,TMP     122,HAWKINS W M,C+,4
F16,Undergraduate,TMP     122,HAWKINS W M,C,4
F16,Undergraduate,TMP     122,HAWKINS W M,C-,3
F16,Undergraduate,TMP     122,HAWKINS W M,D+,1
F16,Undergraduate,TMP     134,GREATHOUSE J,A+,27
F16,Undergraduate,TMP     134,GREATHOUSE J,A,55
F16,Undergraduate,TMP     134,GREATHOUSE J,A-,54
F16,Undergraduate,TMP     134,GREATHOUSE J,B+,33
F16,Undergraduate,TMP     134,GREATHOUSE J,B,83
F16,Undergraduate,TMP     134,GREATHOUSE J,B-,26
F16,Undergraduate,TMP     134,GREATHOUSE J,C+,10
F16,Undergraduate,TMP     134,GREATHOUSE J,C,19
F16,Undergraduate,TMP     134,GREATHOUSE J,C-,7
F16,Undergraduate,TMP     134,GREATHOUSE J,D+,1
F16,Undergraduate,TMP     134,GREATHOUSE J,D,2
F16,Undergraduate,TMP     134,GREATHOUSE J,D-,1
F16,Undergraduate,TMP     134,GREATHOUSE J,F,2
F16,Undergraduate,TMP     152,DUNEIER S S,A+,2
F16,Undergraduate,TMP     152,DUNEIER S S,A,3
F16,Undergraduate,TMP     152,DUNEIER S S,A-,5
F16,Undergraduate,TMP     152,DUNEIER S S,B+,5
F16,Undergraduate,TMP     152,DUNEIER S S,B,3
F16,Undergraduate,TMP     152,DUNEIER S S,B-,4
F16,Undergraduate,TMP     152,DUNEIER S S,C,2
F16,Undergraduate,TMP     191IN,PADEN B,A,19
F16,Graduate,TMP     240,HANSEN G S,A,6
F16,Graduate,TMP     240,HANSEN G S,A-,5
F16,Graduate,TMP     241,ROTTNER R M,A+,2
F16,Graduate,TMP     241,ROTTNER R M,A,4
F16,Graduate,TMP     241,ROTTNER R M,A-,3
F16,Graduate,TMP     242,MISHRA U,A,3
F16,Graduate,TMP     242,MISHRA U,A-,5
F16,Graduate,TMP     255,GAVANKAR S,A,9
F16,Graduate,TMP     255,GAVANKAR S,A-,1
F16,Graduate,TMP     411,FRECH H E,A+,2
F16,Graduate,TMP     411,FRECH H E,A,7
F16,Graduate,TMP     411,FRECH H E,A-,6
F16,Graduate,TMP     411,FRECH H E,B+,10
F16,Graduate,TMP     411,FRECH H E,B,1
F16,Graduate,TMP     421,ADORNETTO D,A+,3
F16,Graduate,TMP     421,ADORNETTO D,A,5
F16,Graduate,TMP     421,ADORNETTO D,A-,6
F16,Graduate,TMP     421,ADORNETTO D,B+,10
F16,Graduate,TMP     421,ADORNETTO D,B,1
F16,Graduate,TMP     421,ADORNETTO D,B-,1
F16,Graduate,TMP     431,LEONARDI P M,A,9
F16,Graduate,TMP     431,LEONARDI P M,A-,9
F16,Graduate,TMP     431,LEONARDI P M,B+,5
F16,Graduate,TMP     431,LEONARDI P M,B,2
F16,Graduate,TMP     431,LEONARDI P M,B-,1
F16,Graduate,TMP     441,LEWIS K,A+,3
F16,Graduate,TMP     441,LEWIS K,A,7
F16,Graduate,TMP     441,LEWIS K,A-,7
F16,Graduate,TMP     441,LEWIS K,B+,7
F16,Graduate,TMP     441,LEWIS K,B,2
F16,Graduate,TMP     451,BOWERS J E,A,15
F16,Graduate,TMP     451,BOWERS J E,A-,6
F16,Graduate,TMP     451,BOWERS J E,B+,5
