Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
F17,Undergraduate,CHIN      1,GUAN D,A+,15
F17,Undergraduate,CHIN      1,GUAN D,A,25
F17,Undergraduate,CHIN      1,GUAN D,A-,14
F17,Undergraduate,CHIN      1,GUAN D,B+,5
F17,Undergraduate,CHIN      1,GUAN D,B,8
F17,Undergraduate,CHIN      1,GUAN D,B-,4
F17,Undergraduate,CHIN      1,GUAN D,C+,3
F17,Undergraduate,CHIN      1,GUAN D,C,1
F17,Undergraduate,CHIN      1,GUAN D,D,1
F17,Undergraduate,CHIN      1,GUAN D,F,5
F17,Undergraduate,CHIN      1,LI HAOTIAN,A+,3
F17,Undergraduate,CHIN      1,LI HAOTIAN,A,2
F17,Undergraduate,CHIN      1,LI HAOTIAN,A-,3
F17,Undergraduate,CHIN      1,LI HAOTIAN,B,1
F17,Undergraduate,CHIN      1,LI HAOTIAN,B-,1
F17,Undergraduate,CHIN      1,LI HAOTIAN,C,1
F17,Undergraduate,CHIN      1NH,HSU C-C,A,8
F17,Undergraduate,CHIN      1NH,HSU C-C,A-,8
F17,Undergraduate,CHIN      1NH,HSU C-C,B+,3
F17,Undergraduate,CHIN      1NH,HSU C-C,B,2
F17,Undergraduate,CHIN      4,CHEN S C,A+,1
F17,Undergraduate,CHIN      4,CHEN S C,A,21
F17,Undergraduate,CHIN      4,CHEN S C,A-,6
F17,Undergraduate,CHIN      4,CHEN S C,B,6
F17,Undergraduate,CHIN      4,CHEN S C,B-,1
F17,Undergraduate,CHIN      4,CHEN S C,C-,5
F17,Undergraduate,CHIN      4NH,CHEN S C,A+,1
F17,Undergraduate,CHIN      4NH,CHEN S C,A,9
F17,Undergraduate,CHIN      4NH,CHEN S C,A-,8
F17,Undergraduate,CHIN      4NH,CHEN S C,B,1
F17,Undergraduate,CHIN      4NH,CHEN S C,C-,1
F17,Undergraduate,CHIN      8A,LI HAOTIAN,A+,4
F17,Undergraduate,CHIN      8A,LI HAOTIAN,A,10
F17,Undergraduate,CHIN     35,TU K-C,A,17
F17,Undergraduate,CHIN     35,TU K-C,A-,22
F17,Undergraduate,CHIN     35,TU K-C,B+,11
F17,Undergraduate,CHIN     35,TU K-C,B,3
F17,Undergraduate,CHIN     35,TU K-C,B-,1
F17,Undergraduate,CHIN     35,TU K-C,C+,2
F17,Undergraduate,CHIN     35,TU K-C,C,3
F17,Undergraduate,CHIN     35,TU K-C,F,3
F17,Undergraduate,CHIN    122A,HSU C-C,A,2
F17,Undergraduate,CHIN    122A,HSU C-C,A-,7
F17,Undergraduate,CHIN    122A,HSU C-C,B+,3
F17,Undergraduate,CHIN    122A,HSU C-C,B-,3
F17,Undergraduate,CHIN    126A,TU K-C,A,8
F17,Undergraduate,CHIN    126A,TU K-C,A-,2
F17,Undergraduate,CHIN    126A,TU K-C,B+,3
F17,Undergraduate,CHIN    126A,TU K-C,B,7
F17,Undergraduate,CHIN    126A,TU K-C,B-,5
F17,Undergraduate,CHIN    126A,TU K-C,C+,3
F17,Undergraduate,CHIN    127A,YU H-J,A+,1
F17,Undergraduate,CHIN    127A,YU H-J,A,6
F17,Undergraduate,CHIN    127A,YU H-J,A-,2
F17,Undergraduate,CHIN    127A,YU H-J,B+,2
F17,Undergraduate,CHIN    150,YU H-J,A,3
F17,Undergraduate,CHIN    150,YU H-J,A-,5
F17,Undergraduate,CHIN    150,YU H-J,B+,5
F17,Undergraduate,CHIN    150,YU H-J,B,1
F17,Undergraduate,CHIN    150,YU H-J,B-,2
F17,Undergraduate,CHIN    150,YU H-J,C+,1
F17,Undergraduate,CHIN    150,YU H-J,C,1
F17,Undergraduate,CHIN    180SM,LI HAOTIAN,A,4
F17,Undergraduate,CHIN    180SM,LI HAOTIAN,A-,4
