Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
F17,Undergraduate,ECON      1,GARRATT R J,A,54
F17,Undergraduate,ECON      1,GARRATT R J,A-,57
F17,Undergraduate,ECON      1,GARRATT R J,B+,53
F17,Undergraduate,ECON      1,GARRATT R J,B,58
F17,Undergraduate,ECON      1,GARRATT R J,B-,66
F17,Undergraduate,ECON      1,GARRATT R J,C+,68
F17,Undergraduate,ECON      1,GARRATT R J,C,255
F17,Undergraduate,ECON      1,GARRATT R J,C-,45
F17,Undergraduate,ECON      1,GARRATT R J,D+,19
F17,Undergraduate,ECON      1,GARRATT R J,D,4
F17,Undergraduate,ECON      1,GARRATT R J,D-,4
F17,Undergraduate,ECON      1,GARRATT R J,F,19
F17,Undergraduate,ECON      3A,ANDERSON R W,A+,2
F17,Undergraduate,ECON      3A,ANDERSON R W,A,15
F17,Undergraduate,ECON      3A,ANDERSON R W,A-,14
F17,Undergraduate,ECON      3A,ANDERSON R W,B+,24
F17,Undergraduate,ECON      3A,ANDERSON R W,B,23
F17,Undergraduate,ECON      3A,ANDERSON R W,B-,28
F17,Undergraduate,ECON      3A,ANDERSON R W,C+,20
F17,Undergraduate,ECON      3A,ANDERSON R W,C,58
F17,Undergraduate,ECON      3A,ANDERSON R W,C-,21
F17,Undergraduate,ECON      3A,ANDERSON R W,D+,3
F17,Undergraduate,ECON      3A,ANDERSON R W,D,2
F17,Undergraduate,ECON      3A,ANDERSON R W,D-,1
F17,Undergraduate,ECON      3A,ANDERSON R W,F,18
F17,Undergraduate,ECON      3B,HARMON C J,A,6
F17,Undergraduate,ECON      3B,HARMON C J,A-,18
F17,Undergraduate,ECON      3B,HARMON C J,B+,6
F17,Undergraduate,ECON      3B,HARMON C J,B,18
F17,Undergraduate,ECON      3B,HARMON C J,B-,10
F17,Undergraduate,ECON      3B,HARMON C J,C+,14
F17,Undergraduate,ECON      3B,HARMON C J,C,15
F17,Undergraduate,ECON      3B,HARMON C J,C-,32
F17,Undergraduate,ECON      3B,HARMON C J,F,5
F17,Undergraduate,ECON      3BH,HARMON C J,P,15
F17,Undergraduate,ECON      9,BENELLI C A,A+,4
F17,Undergraduate,ECON      9,BENELLI C A,A,40
F17,Undergraduate,ECON      9,BENELLI C A,A-,8
F17,Undergraduate,ECON      9,BENELLI C A,B+,8
F17,Undergraduate,ECON      9,BENELLI C A,B,39
F17,Undergraduate,ECON      9,BENELLI C A,B-,10
F17,Undergraduate,ECON      9,BENELLI C A,C+,22
F17,Undergraduate,ECON      9,BENELLI C A,C,46
F17,Undergraduate,ECON      9,BENELLI C A,D+,1
F17,Undergraduate,ECON      9,BENELLI C A,D,5
F17,Undergraduate,ECON      9,BENELLI C A,F,2
F17,Undergraduate,ECON     10A,DESCHENES O,A+,2
F17,Undergraduate,ECON     10A,DESCHENES O,A,5
F17,Undergraduate,ECON     10A,DESCHENES O,A-,12
F17,Undergraduate,ECON     10A,DESCHENES O,B+,13
F17,Undergraduate,ECON     10A,DESCHENES O,B,19
F17,Undergraduate,ECON     10A,DESCHENES O,B-,16
F17,Undergraduate,ECON     10A,DESCHENES O,C+,12
F17,Undergraduate,ECON     10A,DESCHENES O,C,12
F17,Undergraduate,ECON     10A,DESCHENES O,C-,13
F17,Undergraduate,ECON     10A,DESCHENES O,D,5
F17,Undergraduate,ECON     10A,DESCHENES O,F,27
F17,Undergraduate,ECON     10A,HARTMAN J L,A+,6
F17,Undergraduate,ECON     10A,HARTMAN J L,A,17
F17,Undergraduate,ECON     10A,HARTMAN J L,A-,32
F17,Undergraduate,ECON     10A,HARTMAN J L,B+,47
F17,Undergraduate,ECON     10A,HARTMAN J L,B,44
F17,Undergraduate,ECON     10A,HARTMAN J L,B-,65
F17,Undergraduate,ECON     10A,HARTMAN J L,C+,43
F17,Undergraduate,ECON     10A,HARTMAN J L,C,58
F17,Undergraduate,ECON     10A,HARTMAN J L,C-,43
F17,Undergraduate,ECON     10A,HARTMAN J L,D,32
F17,Undergraduate,ECON     10A,HARTMAN J L,F,70
F17,Undergraduate,ECON    100B,STUART C,A,13
F17,Undergraduate,ECON    100B,STUART C,A-,18
F17,Undergraduate,ECON    100B,STUART C,B+,19
F17,Undergraduate,ECON    100B,STUART C,B,26
F17,Undergraduate,ECON    100B,STUART C,B-,16
F17,Undergraduate,ECON    100B,STUART C,C+,20
F17,Undergraduate,ECON    100B,STUART C,C,13
F17,Undergraduate,ECON    100B,STUART C,C-,12
F17,Undergraduate,ECON    100B,STUART C,D+,10
F17,Undergraduate,ECON    100B,STUART C,D,7
F17,Undergraduate,ECON    107A,EBENSTEIN A O,A+,1
F17,Undergraduate,ECON    107A,EBENSTEIN A O,A,15
F17,Undergraduate,ECON    107A,EBENSTEIN A O,A-,16
F17,Undergraduate,ECON    107A,EBENSTEIN A O,B+,13
F17,Undergraduate,ECON    107A,EBENSTEIN A O,B,4
F17,Undergraduate,ECON    107A,EBENSTEIN A O,B-,3
F17,Undergraduate,ECON    107A,EBENSTEIN A O,C+,1
F17,Undergraduate,ECON    107A,EBENSTEIN A O,F,1
F17,Undergraduate,ECON    116C,COMANOR W S,A,4
F17,Undergraduate,ECON    116C,COMANOR W S,A-,12
F17,Undergraduate,ECON    116C,COMANOR W S,B+,12
F17,Undergraduate,ECON    116C,COMANOR W S,B,1
F17,Undergraduate,ECON    116C,COMANOR W S,B-,1
F17,Undergraduate,ECON    117A,FRECH H E,A+,9
F17,Undergraduate,ECON    117A,FRECH H E,A,13
F17,Undergraduate,ECON    117A,FRECH H E,A-,6
F17,Undergraduate,ECON    118,LOSTER D R,A+,1
F17,Undergraduate,ECON    118,LOSTER D R,A,12
F17,Undergraduate,ECON    118,LOSTER D R,A-,22
F17,Undergraduate,ECON    118,LOSTER D R,B+,10
F17,Undergraduate,ECON    118,LOSTER D R,B,10
F17,Undergraduate,ECON    118,LOSTER D R,B-,7
F17,Undergraduate,ECON    118,LOSTER D R,C+,1
F17,Undergraduate,ECON    118,LOSTER D R,C,7
F17,Undergraduate,ECON    118,LOSTER D R,C-,2
F17,Undergraduate,ECON    118H,LOSTER D R,P,10
F17,Undergraduate,ECON    130,STUART C,A,3
F17,Undergraduate,ECON    130,STUART C,A-,5
F17,Undergraduate,ECON    130,STUART C,B+,4
F17,Undergraduate,ECON    130,STUART C,B,7
F17,Undergraduate,ECON    130,STUART C,B-,6
F17,Undergraduate,ECON    130,STUART C,C+,3
F17,Undergraduate,ECON    130,STUART C,C,5
F17,Undergraduate,ECON    132A,ANDERSON R W,A+,2
F17,Undergraduate,ECON    132A,ANDERSON R W,A,8
F17,Undergraduate,ECON    132A,ANDERSON R W,A-,11
F17,Undergraduate,ECON    132A,ANDERSON R W,B+,12
F17,Undergraduate,ECON    132A,ANDERSON R W,B,7
F17,Undergraduate,ECON    132A,ANDERSON R W,B-,9
F17,Undergraduate,ECON    132A,ANDERSON R W,C+,6
F17,Undergraduate,ECON    132A,ANDERSON R W,C,3
F17,Undergraduate,ECON    132A,ANDERSON R W,F,1
F17,Undergraduate,ECON    134A,HARTMAN J L,A+,19
F17,Undergraduate,ECON    134A,HARTMAN J L,A,51
F17,Undergraduate,ECON    134A,HARTMAN J L,A-,16
F17,Undergraduate,ECON    134A,HARTMAN J L,B+,13
F17,Undergraduate,ECON    134A,HARTMAN J L,B,24
F17,Undergraduate,ECON    134A,HARTMAN J L,B-,16
F17,Undergraduate,ECON    134A,HARTMAN J L,C+,29
F17,Undergraduate,ECON    134A,HARTMAN J L,C,9
F17,Undergraduate,ECON    134A,HARTMAN J L,C-,4
F17,Undergraduate,ECON    134A,HARTMAN J L,D+,1
F17,Undergraduate,ECON    134A,HARTMAN J L,D-,2
F17,Undergraduate,ECON    134A,HARTMAN J L,F,2
F17,Undergraduate,ECON    135,GARRATT R J,A,17
F17,Undergraduate,ECON    135,GARRATT R J,A-,20
F17,Undergraduate,ECON    135,GARRATT R J,B+,28
