Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
F17,Undergraduate,EEMB W   22,EVEN T J,A+,2
F17,Undergraduate,EEMB W   22,EVEN T J,A,12
F17,Undergraduate,EEMB W   22,EVEN T J,A-,5
F17,Undergraduate,EEMB W   22,EVEN T J,B+,6
F17,Undergraduate,EEMB W   22,EVEN T J,B,18
F17,Undergraduate,EEMB W   22,EVEN T J,B-,1
F17,Undergraduate,EEMB W   22,EVEN T J,C+,1
F17,Undergraduate,EEMB W   22,EVEN T J,C,11
F17,Undergraduate,EEMB W   22,EVEN T J,C-,2
F17,Undergraduate,EEMB W   22,EVEN T J,D,7
F17,Undergraduate,EEMB W   22,EVEN T J,D-,1
F17,Undergraduate,EEMB W   22,EVEN T J,F,2
