Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
F17,Undergraduate,ENV S     1,ALAGONA P S,A+,28
F17,Undergraduate,ENV S     1,ALAGONA P S,A,89
F17,Undergraduate,ENV S     1,ALAGONA P S,A-,80
F17,Undergraduate,ENV S     1,ALAGONA P S,B+,54
F17,Undergraduate,ENV S     1,ALAGONA P S,B,67
F17,Undergraduate,ENV S     1,ALAGONA P S,B-,36
F17,Undergraduate,ENV S     1,ALAGONA P S,C+,27
F17,Undergraduate,ENV S     1,ALAGONA P S,C,24
F17,Undergraduate,ENV S     1,ALAGONA P S,C-,14
F17,Undergraduate,ENV S     1,ALAGONA P S,D+,3
F17,Undergraduate,ENV S     1,ALAGONA P S,D,8
F17,Undergraduate,ENV S     1,ALAGONA P S,D-,2
F17,Undergraduate,ENV S     1,ALAGONA P S,F,19
F17,Undergraduate,ENV S    30,HEILMAYR R F,A+,8
F17,Undergraduate,ENV S    30,HEILMAYR R F,A,13
F17,Undergraduate,ENV S    30,HEILMAYR R F,A-,19
F17,Undergraduate,ENV S    30,HEILMAYR R F,B+,4
F17,Undergraduate,ENV S    30,HEILMAYR R F,B,12
F17,Undergraduate,ENV S    30,HEILMAYR R F,C+,2
F17,Undergraduate,ENV S    30,HEILMAYR R F,C,3
F17,Undergraduate,ENV S    30,HEILMAYR R F,C-,1
F17,Undergraduate,ENV S    30,HEILMAYR R F,D+,1
F17,Undergraduate,ENV S    30,HEILMAYR R F,F,2
F17,Undergraduate,ENV S    95,STRATTON E C,P,44
F17,Undergraduate,ENV S    95,STRATTON E C,NP,5
F17,Undergraduate,ENV S    96,SWEET S S,P,5
F17,Undergraduate,ENV S    99,ALAGONA P S,A,5
F17,Undergraduate,ENV S   100,TYLER C M,A+,34
F17,Undergraduate,ENV S   100,TYLER C M,A,122
F17,Undergraduate,ENV S   100,TYLER C M,A-,34
F17,Undergraduate,ENV S   100,TYLER C M,B+,30
F17,Undergraduate,ENV S   100,TYLER C M,B,15
F17,Undergraduate,ENV S   100,TYLER C M,B-,12
F17,Undergraduate,ENV S   100,TYLER C M,C+,5
F17,Undergraduate,ENV S   100,TYLER C M,C,2
F17,Undergraduate,ENV S   100,TYLER C M,C-,2
F17,Undergraduate,ENV S   100,TYLER C M,D,1
F17,Undergraduate,ENV S   100,TYLER C M,F,1
F17,Undergraduate,ENV S   106,GEE Q P,A+,2
