Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
F17,Undergraduate,RG ST     2,AHMAD A A,A+,10
F17,Undergraduate,RG ST     2,AHMAD A A,A,12
F17,Undergraduate,RG ST     2,AHMAD A A,A-,11
F17,Undergraduate,RG ST     2,AHMAD A A,B+,10
F17,Undergraduate,RG ST     2,AHMAD A A,B-,2
F17,Undergraduate,RG ST     2,AHMAD A A,C+,1
F17,Undergraduate,RG ST     2,AHMAD A A,C,1
F17,Undergraduate,RG ST     2,AHMAD A A,C-,1
F17,Undergraduate,RG ST     2,AHMAD A A,D+,1
F17,Undergraduate,RG ST     2,AHMAD A A,F,1
F17,Undergraduate,RG ST     5,AMIHAY A,A,4
F17,Undergraduate,RG ST     5,AMIHAY A,A-,13
F17,Undergraduate,RG ST     5,AMIHAY A,B+,8
F17,Undergraduate,RG ST     5,AMIHAY A,B,13
F17,Undergraduate,RG ST     5,AMIHAY A,B-,13
F17,Undergraduate,RG ST     5,AMIHAY A,C+,5
F17,Undergraduate,RG ST     5,AMIHAY A,C,5
F17,Undergraduate,RG ST    10A,CAMPO M,A+,9
F17,Undergraduate,RG ST    10A,CAMPO M,A,16
F17,Undergraduate,RG ST    10A,CAMPO M,A-,5
F17,Undergraduate,RG ST    10A,CAMPO M,B+,4
F17,Undergraduate,RG ST    10A,CAMPO M,B,6
F17,Undergraduate,RG ST    10A,CAMPO M,B-,2
F17,Undergraduate,RG ST    10A,CAMPO M,C+,2
F17,Undergraduate,RG ST    10A,CAMPO M,C,2
F17,Undergraduate,RG ST    10A,CAMPO M,C-,1
F17,Undergraduate,RG ST    10D,CAMPO M,A+,3
F17,Undergraduate,RG ST    10D,CAMPO M,A,2
F17,Undergraduate,RG ST    10D,CAMPO M,A-,2
F17,Undergraduate,RG ST    10D,CAMPO M,B+,1
F17,Undergraduate,RG ST    10D,CAMPO M,B,3
F17,Undergraduate,RG ST    10D,CAMPO M,B-,5
F17,Undergraduate,RG ST    10D,CAMPO M,C,2
F17,Undergraduate,RG ST    10D,CAMPO M,C-,1
F17,Undergraduate,RG ST    10D,CAMPO M,D-,1
F17,Undergraduate,RG ST    10D,CAMPO M,F,1
F17,Undergraduate,RG ST    11A,FOWLER D S,A+,2
F17,Undergraduate,RG ST    11A,FOWLER D S,A,3
F17,Undergraduate,RG ST    11A,FOWLER D S,A-,1
F17,Undergraduate,RG ST    11A,FOWLER D S,B+,2
F17,Undergraduate,RG ST    11A,FOWLER D S,B,3
F17,Undergraduate,RG ST    11A,FOWLER D S,B-,1
F17,Undergraduate,RG ST    11A,FOWLER D S,C+,3
F17,Undergraduate,RG ST    11A,FOWLER D S,C-,1
F17,Undergraduate,RG ST    11D,FOWLER D S,A,4
F17,Undergraduate,RG ST    11D,FOWLER D S,B,1
F17,Undergraduate,RG ST    12,WHITE D G,A+,26
F17,Undergraduate,RG ST    12,WHITE D G,A,70
F17,Undergraduate,RG ST    12,WHITE D G,A-,92
F17,Undergraduate,RG ST    12,WHITE D G,B+,98
F17,Undergraduate,RG ST    12,WHITE D G,B,90
F17,Undergraduate,RG ST    12,WHITE D G,B-,30
F17,Undergraduate,RG ST    12,WHITE D G,C+,20
F17,Undergraduate,RG ST    12,WHITE D G,C,12
F17,Undergraduate,RG ST    12,WHITE D G,C-,8
F17,Undergraduate,RG ST    12,WHITE D G,D+,2
F17,Undergraduate,RG ST    12,WHITE D G,D,5
F17,Undergraduate,RG ST    12,WHITE D G,F,23
F17,Undergraduate,RG ST    14,TALAMANTEZ I,A+,6
F17,Undergraduate,RG ST    14,TALAMANTEZ I,A,37
