Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
F18,Undergraduate,ARTHI     5A,WELTER V W,A+,2
F18,Undergraduate,ARTHI     5A,WELTER V W,A,15
F18,Undergraduate,ARTHI     5A,WELTER V W,A-,21
F18,Undergraduate,ARTHI     5A,WELTER V W,B+,20
F18,Undergraduate,ARTHI     5A,WELTER V W,B,29
F18,Undergraduate,ARTHI     5A,WELTER V W,B-,22
F18,Undergraduate,ARTHI     5A,WELTER V W,C+,16
F18,Undergraduate,ARTHI     5A,WELTER V W,C,3
F18,Undergraduate,ARTHI     5A,WELTER V W,C-,4
F18,Undergraduate,ARTHI     5A,WELTER V W,D-,1
F18,Undergraduate,ARTHI     5A,WELTER V W,F,5
F18,Undergraduate,ARTHI     5AH,WELTER V W,A+,3
F18,Undergraduate,ARTHI     5AH,WELTER V W,A,3
F18,Undergraduate,ARTHI     5AH,WELTER V W,A-,2
F18,Undergraduate,ARTHI     5AH,WELTER V W,B,2
F18,Undergraduate,ARTHI     5B,ROBERTSON E B,A+,6
F18,Undergraduate,ARTHI     5B,ROBERTSON E B,A,28
F18,Undergraduate,ARTHI     5B,ROBERTSON E B,A-,18
F18,Undergraduate,ARTHI     5B,ROBERTSON E B,B+,27
F18,Undergraduate,ARTHI     5B,ROBERTSON E B,B,13
F18,Undergraduate,ARTHI     5B,ROBERTSON E B,B-,10
F18,Undergraduate,ARTHI     5B,ROBERTSON E B,C+,4
F18,Undergraduate,ARTHI     5B,ROBERTSON E B,C,2
F18,Undergraduate,ARTHI     6A,WHITE J S,A+,31
F18,Undergraduate,ARTHI     6A,WHITE J S,A,177
F18,Undergraduate,ARTHI     6A,WHITE J S,A-,66
F18,Undergraduate,ARTHI     6A,WHITE J S,B+,54
F18,Undergraduate,ARTHI     6A,WHITE J S,B,48
F18,Undergraduate,ARTHI     6A,WHITE J S,B-,19
F18,Undergraduate,ARTHI     6A,WHITE J S,C+,18
F18,Undergraduate,ARTHI     6A,WHITE J S,C,8
F18,Undergraduate,ARTHI     6A,WHITE J S,C-,4
F18,Undergraduate,ARTHI     6A,WHITE J S,D+,1
F18,Undergraduate,ARTHI     6A,WHITE J S,D,2
F18,Undergraduate,ARTHI     6A,WHITE J S,D-,2
F18,Undergraduate,ARTHI     6A,WHITE J S,F,5
F18,Undergraduate,ARTHI     6K,KHOURY N N,A+,1
F18,Undergraduate,ARTHI     6K,KHOURY N N,A,13
F18,Undergraduate,ARTHI     6K,KHOURY N N,A-,13
F18,Undergraduate,ARTHI     6K,KHOURY N N,B+,14
F18,Undergraduate,ARTHI     6K,KHOURY N N,B,9
