Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
F18,Undergraduate,EARTH     2,AWRAMIK S M,A+,1
F18,Undergraduate,EARTH     2,AWRAMIK S M,A,5
F18,Undergraduate,EARTH     2,AWRAMIK S M,A-,3
F18,Undergraduate,EARTH     2,AWRAMIK S M,B+,23
F18,Undergraduate,EARTH     2,AWRAMIK S M,B,22
F18,Undergraduate,EARTH     2,AWRAMIK S M,B-,31
F18,Undergraduate,EARTH     2,AWRAMIK S M,C+,20
F18,Undergraduate,EARTH     2,AWRAMIK S M,C,27
F18,Undergraduate,EARTH     2,AWRAMIK S M,C-,13
F18,Undergraduate,EARTH     2,AWRAMIK S M,D,7
F18,Undergraduate,EARTH     2,AWRAMIK S M,F,6
F18,Undergraduate,EARTH     4,PAUL B G,A,32
F18,Undergraduate,EARTH     4,PAUL B G,A-,26
F18,Undergraduate,EARTH     4,PAUL B G,B+,31
F18,Undergraduate,EARTH     4,PAUL B G,B,49
F18,Undergraduate,EARTH     4,PAUL B G,B-,38
F18,Undergraduate,EARTH     4,PAUL B G,C+,26
F18,Undergraduate,EARTH     4,PAUL B G,C,22
F18,Undergraduate,EARTH     4,PAUL B G,C-,12
F18,Undergraduate,EARTH     4,PAUL B G,D+,7
F18,Undergraduate,EARTH     4,PAUL B G,D,5
F18,Undergraduate,EARTH     4,PAUL B G,F,2
F18,Undergraduate,EARTH     6,ADAMS J V,A,2
F18,Undergraduate,EARTH     6,ADAMS J V,A-,7
F18,Undergraduate,EARTH     6,ADAMS J V,B+,7
F18,Undergraduate,EARTH     6,ADAMS J V,B,2
F18,Undergraduate,EARTH     6,ADAMS J V,C-,1
F18,Undergraduate,EARTH     6,HARRICHHAUSEN,A,2
F18,Undergraduate,EARTH     6,HARRICHHAUSEN,A-,7
F18,Undergraduate,EARTH     6,HARRICHHAUSEN,B+,7
F18,Undergraduate,EARTH     6,HARRICHHAUSEN,B,2
F18,Undergraduate,EARTH     6,HARRICHHAUSEN,C-,1
F18,Undergraduate,EARTH     6,MORELL K D,A,2
F18,Undergraduate,EARTH     6,MORELL K D,A-,7
F18,Undergraduate,EARTH     6,MORELL K D,B+,7
F18,Undergraduate,EARTH     6,MORELL K D,B,2
F18,Undergraduate,EARTH     6,MORELL K D,C-,1
F18,Undergraduate,EARTH     7,LUNA D A,A+,26
F18,Undergraduate,EARTH     7,LUNA D A,A,102
F18,Undergraduate,EARTH     7,LUNA D A,A-,89
F18,Undergraduate,EARTH     7,LUNA D A,B+,93
F18,Undergraduate,EARTH     7,LUNA D A,B,85
F18,Undergraduate,EARTH     7,LUNA D A,B-,64
F18,Undergraduate,EARTH     7,LUNA D A,C+,58
F18,Undergraduate,EARTH     7,LUNA D A,C,59
F18,Undergraduate,EARTH     7,LUNA D A,C-,15
F18,Undergraduate,EARTH     7,LUNA D A,D+,14
F18,Undergraduate,EARTH     7,LUNA D A,D,11
F18,Undergraduate,EARTH     7,LUNA D A,D-,2
F18,Undergraduate,EARTH     7,LUNA D A,F,26
F18,Undergraduate,EARTH    10,SIMMS A R,A+,9
F18,Undergraduate,EARTH    10,SIMMS A R,A,39
F18,Undergraduate,EARTH    10,SIMMS A R,A-,27
F18,Undergraduate,EARTH    10,SIMMS A R,B+,42
F18,Undergraduate,EARTH    10,SIMMS A R,B,56
F18,Undergraduate,EARTH    10,SIMMS A R,B-,29
F18,Undergraduate,EARTH    10,SIMMS A R,C+,23
F18,Undergraduate,EARTH    10,SIMMS A R,C,13
F18,Undergraduate,EARTH    10,SIMMS A R,C-,3
F18,Undergraduate,EARTH    10,SIMMS A R,D+,2
F18,Undergraduate,EARTH    10,SIMMS A R,D,7
F18,Undergraduate,EARTH    10,SIMMS A R,F,15
F18,Undergraduate,EARTH    18,LUNA D A,P,39
F18,Undergraduate,EARTH    20,LUNA D A,A+,15
F18,Undergraduate,EARTH    20,LUNA D A,A,45
F18,Undergraduate,EARTH    20,LUNA D A,A-,50
F18,Undergraduate,EARTH    20,LUNA D A,B+,30
F18,Undergraduate,EARTH    20,LUNA D A,B,50
F18,Undergraduate,EARTH    20,LUNA D A,B-,33
F18,Undergraduate,EARTH    20,LUNA D A,C+,19
F18,Undergraduate,EARTH    20,LUNA D A,C,17
F18,Undergraduate,EARTH    20,LUNA D A,C-,11
F18,Undergraduate,EARTH    20,LUNA D A,D+,2
F18,Undergraduate,EARTH    20,LUNA D A,D,3
F18,Undergraduate,EARTH    20,LUNA D A,F,6
F18,Undergraduate,EARTH    99,AWRAMIK S M,A,1
F18,Undergraduate,EARTH   100,JI C,A+,1
F18,Undergraduate,EARTH   100,JI C,A,2
F18,Undergraduate,EARTH   100,JI C,A-,2
F18,Undergraduate,EARTH   100,JI C,B+,2
F18,Undergraduate,EARTH   100,JI C,B-,1
F18,Undergraduate,EARTH   100,JI C,D,1
F18,Undergraduate,EARTH   100,JI C,F,1
F18,Undergraduate,EARTH   102C,HACKER B R,A,3
F18,Undergraduate,EARTH   102C,HACKER B R,A-,4
F18,Undergraduate,EARTH   102C,HACKER B R,B+,4
F18,Undergraduate,EARTH   102C,HACKER B R,B,1
F18,Undergraduate,EARTH   102C,HACKER B R,C+,1
F18,Undergraduate,EARTH   102C,HACKER B R,C,1
F18,Undergraduate,EARTH   102C,HACKER B R,C-,2
F18,Undergraduate,EARTH   104A,GANS P B,A,2
F18,Undergraduate,EARTH   104A,GANS P B,A-,3
F18,Undergraduate,EARTH   104A,GANS P B,B+,2
F18,Undergraduate,EARTH   104A,GANS P B,B,6
F18,Undergraduate,EARTH   104A,GANS P B,B-,3
F18,Undergraduate,EARTH   104A,GANS P B,C+,3
F18,Undergraduate,EARTH   104A,GANS P B,C,5
F18,Undergraduate,EARTH   104A,GANS P B,C-,3
F18,Undergraduate,EARTH   104A,GANS P B,D,1
F18,Undergraduate,EARTH   104A,GANS P B,F,1
F18,Undergraduate,EARTH   104A,RIOUX M E,A,2
F18,Undergraduate,EARTH   104A,RIOUX M E,A-,3
F18,Undergraduate,EARTH   104A,RIOUX M E,B+,2
F18,Undergraduate,EARTH   104A,RIOUX M E,B,6
F18,Undergraduate,EARTH   104A,RIOUX M E,B-,3
F18,Undergraduate,EARTH   104A,RIOUX M E,C+,3
F18,Undergraduate,EARTH   104A,RIOUX M E,C,5
F18,Undergraduate,EARTH   104A,RIOUX M E,C-,3
F18,Undergraduate,EARTH   104A,RIOUX M E,D,1
F18,Undergraduate,EARTH   104A,RIOUX M E,F,1
F18,Undergraduate,EARTH   106,LISIECKI L E,A+,5
F18,Undergraduate,EARTH   106,LISIECKI L E,A,5
F18,Undergraduate,EARTH   106,LISIECKI L E,A-,1
F18,Undergraduate,EARTH   106,LISIECKI L E,B+,2
F18,Undergraduate,EARTH   106,LISIECKI L E,B,1
F18,Undergraduate,EARTH   106,LISIECKI L E,D,1
F18,Undergraduate,EARTH   114,RIOUX M E,A+,1
F18,Undergraduate,EARTH   114,RIOUX M E,A,4
F18,Undergraduate,EARTH   114,RIOUX M E,A-,5
F18,Undergraduate,EARTH   114,RIOUX M E,B+,5
F18,Undergraduate,EARTH   114,RIOUX M E,B,2
F18,Undergraduate,EARTH   114,RIOUX M E,B-,4
F18,Undergraduate,EARTH   114,RIOUX M E,C+,2
F18,Undergraduate,EARTH   114,RIOUX M E,C,1
F18,Undergraduate,EARTH   114,RIOUX M E,F,1
F18,Undergraduate,EARTH   114,RUDNICK R L,A-,2
F18,Undergraduate,EARTH   114,RUDNICK R L,B+,3
F18,Undergraduate,EARTH   114,RUDNICK R L,B,3
F18,Undergraduate,EARTH   114,RUDNICK R L,C+,4
F18,Undergraduate,EARTH   114,RUDNICK R L,C-,2
F18,Undergraduate,EARTH   114,RUDNICK R L,D+,2
F18,Undergraduate,EARTH   114,RUDNICK R L,F,1
F18,Undergraduate,EARTH   117,KELLER E A,A+,1
F18,Undergraduate,EARTH   117,KELLER E A,A,2
F18,Undergraduate,EARTH   117,KELLER E A,A-,2
F18,Undergraduate,EARTH   117,KELLER E A,B+,5
F18,Undergraduate,EARTH   117,KELLER E A,B,8
F18,Undergraduate,EARTH   117,KELLER E A,B-,1
F18,Undergraduate,EARTH   117,KELLER E A,C+,3
F18,Undergraduate,EARTH   117,KELLER E A,C,5
F18,Undergraduate,EARTH   117,KELLER E A,C-,1
F18,Undergraduate,EARTH   117,KELLER E A,D,2
