Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
F18,Undergraduate,FAMST    46,BRUSUTTI A,A,18
F18,Undergraduate,FAMST    46,BRUSUTTI A,A-,28
F18,Undergraduate,FAMST    46,BRUSUTTI A,B+,34
F18,Undergraduate,FAMST    46,BRUSUTTI A,B,52
F18,Undergraduate,FAMST    46,BRUSUTTI A,B-,26
F18,Undergraduate,FAMST    46,BRUSUTTI A,C+,20
F18,Undergraduate,FAMST    46,BRUSUTTI A,C,30
F18,Undergraduate,FAMST    46,BRUSUTTI A,C-,6
F18,Undergraduate,FAMST    46,BRUSUTTI A,D+,3
F18,Undergraduate,FAMST    46,BRUSUTTI A,D,4
F18,Undergraduate,FAMST    46,BRUSUTTI A,D-,2
F18,Undergraduate,FAMST    46,BRUSUTTI A,F,14
F18,Undergraduate,FAMST    46MS,BRUSUTTI A,A,1
F18,Undergraduate,FAMST    46MS,BRUSUTTI A,A-,2
F18,Undergraduate,FAMST    46MS,BRUSUTTI A,B+,3
F18,Undergraduate,FAMST    46MS,BRUSUTTI A,B,3
F18,Undergraduate,FAMST    46MS,BRUSUTTI A,B-,2
F18,Undergraduate,FAMST    54,STEINKELLNER,A+,106
F18,Undergraduate,FAMST    54,STEINKELLNER,A,61
F18,Undergraduate,FAMST    54,STEINKELLNER,A-,21
F18,Undergraduate,FAMST    54,STEINKELLNER,B+,10
F18,Undergraduate,FAMST    54,STEINKELLNER,B,5
F18,Undergraduate,FAMST    54,STEINKELLNER,B-,5
F18,Undergraduate,FAMST    54,STEINKELLNER,C,2
F18,Undergraduate,FAMST    54,STEINKELLNER,C-,2
F18,Undergraduate,FAMST    54,STEINKELLNER,D,1
F18,Undergraduate,FAMST    54,STEINKELLNER,D-,2
F18,Undergraduate,FAMST    54,STEINKELLNER,F,3
F18,Undergraduate,FAMST    95,PALLADINO J N,P,1
F18,Undergraduate,FAMST   101A,FELANDO C L,A,4
F18,Undergraduate,FAMST   101A,FELANDO C L,A-,9
F18,Undergraduate,FAMST   101A,FELANDO C L,B+,8
F18,Undergraduate,FAMST   101A,FELANDO C L,B,13
