Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
F18,Undergraduate,ART       1C,HEBDIGE R W,A+,1
F18,Undergraduate,ART       1C,HEBDIGE R W,A,175
F18,Undergraduate,ART       1C,HEBDIGE R W,A-,17
F18,Undergraduate,ART       1C,HEBDIGE R W,B+,9
F18,Undergraduate,ART       1C,HEBDIGE R W,B,10
F18,Undergraduate,ART       1C,HEBDIGE R W,F,5
F18,Undergraduate,ART     192IA,HEBDIGE R W,P,1
F18,Undergraduate,ART     199,HEBDIGE R W,A,1
F18,Undergraduate,ART     199RA,HEBDIGE R W,A,1
F18,Graduate,ART     244,HEBDIGE R W,A,14
F18,Graduate,ART     261,HEBDIGE R W,A,6
F18,Graduate,ART     591A,HEBDIGE R W,A,3
F18,Graduate,ART     593MS,HEBDIGE R W,A,1
F18,Undergraduate,HEB       1,AMIHAY O,A+,3
F18,Undergraduate,HEB       1,AMIHAY O,A,11
F18,Undergraduate,HEB       1,AMIHAY O,A-,4
F18,Undergraduate,HEB       1,AMIHAY O,B+,1
F18,Undergraduate,HEB       1,AMIHAY O,B,4
F18,Undergraduate,HEB       4,AMIHAY O,A+,1
F18,Undergraduate,HEB       4,AMIHAY O,A,5
F18,Undergraduate,HEB       4,AMIHAY O,A-,2
F18,Undergraduate,HEB     114A,AMIHAY A,A,2
