Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
F18,Undergraduate,LATIN     1,FACCANI O,A+,2
F18,Undergraduate,LATIN     1,FACCANI O,A,8
F18,Undergraduate,LATIN     1,FACCANI O,A-,4
F18,Undergraduate,LATIN     1,FACCANI O,B+,3
F18,Undergraduate,LATIN     1,FACCANI O,B,1
F18,Undergraduate,LATIN     1,FACCANI O,B-,1
F18,Undergraduate,LATIN     1,FACCANI O,C+,3
F18,Undergraduate,LATIN     1,FACCANI O,C,1
F18,Undergraduate,LATIN     1,FACCANI O,D+,1
F18,Undergraduate,LATIN     1,FACCANI O,D-,1
F18,Undergraduate,LATIN     1,JAQUA K M,A+,5
F18,Undergraduate,LATIN     1,JAQUA K M,A,1
F18,Undergraduate,LATIN     1,JAQUA K M,A-,1
F18,Undergraduate,LATIN     1,JAQUA K M,B+,1
F18,Undergraduate,LATIN     1,JAQUA K M,B,1
F18,Undergraduate,LATIN     1,JAQUA K M,B-,1
F18,Undergraduate,LATIN     1,JAQUA K M,C+,3
F18,Undergraduate,LATIN     1,JAQUA K M,C-,1
F18,Undergraduate,LATIN     1,JAQUA K M,D,1
F18,Undergraduate,LATIN     1,JAQUA K M,D-,1
F18,Undergraduate,LATIN     1,JAQUA K M,F,3
F18,Undergraduate,LATIN     1,LINDHEIM S H,A+,2
F18,Undergraduate,LATIN     1,LINDHEIM S H,A,4
F18,Undergraduate,LATIN     1,LINDHEIM S H,A-,5
F18,Undergraduate,LATIN     1,LINDHEIM S H,B+,3
F18,Undergraduate,LATIN     1,LINDHEIM S H,B,2
F18,Undergraduate,LATIN     1,LINDHEIM S H,B-,2
F18,Undergraduate,LATIN     1,LINDHEIM S H,C+,2
F18,Undergraduate,LATIN     1,LINDHEIM S H,C,1
F18,Undergraduate,LATIN     1,LINDHEIM S H,D-,1
F18,Undergraduate,LATIN     1,LINDHEIM S H,F,1
F18,Undergraduate,LATIN   100,MACLEAN R B,A,6
F18,Undergraduate,LATIN   100,MACLEAN R B,A-,1
F18,Undergraduate,LATIN   103,ENGLISH E D,A,4
F18,Undergraduate,LATIN   136,LINDHEIM S H,A,3
F18,Undergraduate,LATIN   136,LINDHEIM S H,A-,1
F18,Undergraduate,LATIN   136,LINDHEIM S H,B+,2
F18,Graduate,LATIN   236,LINDHEIM S H,A+,1
F18,Graduate,LATIN   236,LINDHEIM S H,A,4
F18,Graduate,LATIN   236,LINDHEIM S H,A-,2
F18,Graduate,LATIN   236,LINDHEIM S H,B+,1
