Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
F18,Undergraduate,MATH      2A,GARFIELD P M,A+,11
F18,Undergraduate,MATH      2A,GARFIELD P M,A,6
F18,Undergraduate,MATH      2A,GARFIELD P M,A-,19
F18,Undergraduate,MATH      2A,GARFIELD P M,B+,11
F18,Undergraduate,MATH      2A,GARFIELD P M,B,14
F18,Undergraduate,MATH      2A,GARFIELD P M,B-,8
F18,Undergraduate,MATH      2A,GARFIELD P M,C+,13
F18,Undergraduate,MATH      2A,GARFIELD P M,C,6
F18,Undergraduate,MATH      2A,GARFIELD P M,C-,5
F18,Undergraduate,MATH      2A,GARFIELD P M,D,5
F18,Undergraduate,MATH      2A,GARFIELD P M,F,1
F18,Undergraduate,MATH      3A,EBRAHIM E,A+,68
F18,Undergraduate,MATH      3A,EBRAHIM E,A,49
F18,Undergraduate,MATH      3A,EBRAHIM E,A-,30
F18,Undergraduate,MATH      3A,EBRAHIM E,B+,25
F18,Undergraduate,MATH      3A,EBRAHIM E,B,29
F18,Undergraduate,MATH      3A,EBRAHIM E,B-,22
F18,Undergraduate,MATH      3A,EBRAHIM E,C+,15
F18,Undergraduate,MATH      3A,EBRAHIM E,C,14
F18,Undergraduate,MATH      3A,EBRAHIM E,C-,11
F18,Undergraduate,MATH      3A,EBRAHIM E,D+,6
F18,Undergraduate,MATH      3A,EBRAHIM E,D,1
F18,Undergraduate,MATH      3A,EBRAHIM E,D-,1
F18,Undergraduate,MATH      3A,EBRAHIM E,F,20
F18,Undergraduate,MATH      3B,FRYER S,A+,17
F18,Undergraduate,MATH      3B,FRYER S,A,30
F18,Undergraduate,MATH      3B,FRYER S,A-,13
F18,Undergraduate,MATH      3B,FRYER S,B+,24
F18,Undergraduate,MATH      3B,FRYER S,B,18
F18,Undergraduate,MATH      3B,FRYER S,B-,12
F18,Undergraduate,MATH      3B,FRYER S,C+,11
F18,Undergraduate,MATH      3B,FRYER S,C,17
F18,Undergraduate,MATH      3B,FRYER S,D,5
F18,Undergraduate,MATH      3B,FRYER S,D-,12
F18,Undergraduate,MATH      3B,KELZ J M,A+,21
F18,Undergraduate,MATH      3B,KELZ J M,A,130
F18,Undergraduate,MATH      3B,KELZ J M,A-,27
F18,Undergraduate,MATH      3B,KELZ J M,B+,29
