Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
F18,Undergraduate,RG ST    10A,CAMPO M,A+,13
F18,Undergraduate,RG ST    10A,CAMPO M,A,5
F18,Undergraduate,RG ST    10A,CAMPO M,A-,4
F18,Undergraduate,RG ST    10A,CAMPO M,B+,3
F18,Undergraduate,RG ST    10A,CAMPO M,B,5
F18,Undergraduate,RG ST    10A,CAMPO M,B-,3
F18,Undergraduate,RG ST    10A,CAMPO M,C+,2
F18,Undergraduate,RG ST    10A,CAMPO M,C,1
F18,Undergraduate,RG ST    10A,CAMPO M,D+,1
F18,Undergraduate,RG ST    10A,CAMPO M,D,1
F18,Undergraduate,RG ST    10A,CAMPO M,D-,1
F18,Undergraduate,RG ST    10D,CAMPO M,A+,3
F18,Undergraduate,RG ST    10D,CAMPO M,A,1
F18,Undergraduate,RG ST    10D,CAMPO M,A-,2
F18,Undergraduate,RG ST    10D,CAMPO M,B+,4
F18,Undergraduate,RG ST    10D,CAMPO M,B,2
F18,Undergraduate,RG ST    10D,CAMPO M,C+,1
F18,Undergraduate,RG ST    10D,CAMPO M,D-,1
F18,Undergraduate,RG ST    11A,FOWLER D S,A+,3
F18,Undergraduate,RG ST    11A,FOWLER D S,A,6
F18,Undergraduate,RG ST    11A,FOWLER D S,A-,2
F18,Undergraduate,RG ST    11A,FOWLER D S,B+,4
F18,Undergraduate,RG ST    11A,FOWLER D S,F,2
F18,Undergraduate,RG ST    14,TALAMANTEZ I,A+,17
F18,Undergraduate,RG ST    14,TALAMANTEZ I,A,54
F18,Undergraduate,RG ST    14,TALAMANTEZ I,A-,22
F18,Undergraduate,RG ST    14,TALAMANTEZ I,B+,8
F18,Undergraduate,RG ST    14,TALAMANTEZ I,B,10
F18,Undergraduate,RG ST    14,TALAMANTEZ I,B-,5
F18,Undergraduate,RG ST    14,TALAMANTEZ I,C+,1
F18,Undergraduate,RG ST    14,TALAMANTEZ I,C,2
F18,Undergraduate,RG ST    14,TALAMANTEZ I,F,3
F18,Undergraduate,RG ST    21,HILLIS G A,A+,25
F18,Undergraduate,RG ST    21,HILLIS G A,A,65
F18,Undergraduate,RG ST    21,HILLIS G A,A-,44
