Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
F18,Undergraduate,WRIT      1,BAILLARGEON K,A,42
F18,Undergraduate,WRIT      1,BAILLARGEON K,A-,4
F18,Undergraduate,WRIT      1,BAILLARGEON K,B+,2
F18,Undergraduate,WRIT      1,BAILLARGEON K,B,1
F18,Undergraduate,WRIT      1,COTICH C,B+,4
F18,Undergraduate,WRIT      1,COTICH C,B,4
F18,Undergraduate,WRIT      1,COTICH C,B-,4
F18,Undergraduate,WRIT      1,COTICH C,C,1
F18,Undergraduate,WRIT      1,DEAN C W,A,5
F18,Undergraduate,WRIT      1,DEAN C W,A-,8
F18,Undergraduate,WRIT      1,DEAN C W,B+,3
F18,Undergraduate,WRIT      1,DEAN C W,B,1
F18,Undergraduate,WRIT      1,DEAN C W,B-,1
F18,Undergraduate,WRIT      1,ELION L K,A,8
F18,Undergraduate,WRIT      1,ELION L K,A-,9
F18,Undergraduate,WRIT      1,ELION L K,B+,6
F18,Undergraduate,WRIT      1,ELION L K,B,1
F18,Undergraduate,WRIT      1,HAMMER L M,A,5
F18,Undergraduate,WRIT      1,HAMMER L M,A-,15
F18,Undergraduate,WRIT      1,HAMMER L M,B+,14
F18,Undergraduate,WRIT      1,HAMMER L M,B,1
F18,Undergraduate,WRIT      1,HAMMER L M,B-,1
F18,Undergraduate,WRIT      1,HAMMER L M,C+,1
F18,Undergraduate,WRIT      1,HIRSCH S A,A+,4
F18,Undergraduate,WRIT      1,HIRSCH S A,A,15
F18,Undergraduate,WRIT      1,HIRSCH S A,A-,14
F18,Undergraduate,WRIT      1,HIRSCH S A,B+,6
F18,Undergraduate,WRIT      1,HIRSCH S A,B,5
F18,Undergraduate,WRIT      1,HIRSCH S A,B-,2
F18,Undergraduate,WRIT      1,HIRSCH S A,C+,1
F18,Undergraduate,WRIT      1,KRUT R M,A,3
F18,Undergraduate,WRIT      1,KRUT R M,A-,10
F18,Undergraduate,WRIT      1,KRUT R M,B+,4
F18,Undergraduate,WRIT      1,MIELE I,A,6
F18,Undergraduate,WRIT      1,MIELE I,A-,6
F18,Undergraduate,WRIT      1,MIELE I,B+,6
F18,Undergraduate,WRIT      1,MIELE I,B,6
F18,Undergraduate,WRIT      1,MIELE I,B-,1
F18,Undergraduate,WRIT      1,PATTERSON K A,A,2
F18,Undergraduate,WRIT      1,PATTERSON K A,A-,4
F18,Undergraduate,WRIT      1,PATTERSON K A,B+,8
F18,Undergraduate,WRIT      1,PATTERSON K A,B,1
F18,Undergraduate,WRIT      1,PATTERSON K A,B-,2
F18,Undergraduate,WRIT      1E,BRADLEY N D,A,8
F18,Undergraduate,WRIT      1E,BRADLEY N D,A-,2
F18,Undergraduate,WRIT      1E,FRANK D M,A+,11
F18,Undergraduate,WRIT      1E,FRANK D M,A,8
F18,Undergraduate,WRIT      2,AQUINO M K,A,2
F18,Undergraduate,WRIT      2,AQUINO M K,A-,9
F18,Undergraduate,WRIT      2,AQUINO M K,B+,10
F18,Undergraduate,WRIT      2,AQUINO M K,B,3
F18,Undergraduate,WRIT      2,ARNOLD K A,A-,7
F18,Undergraduate,WRIT      2,ARNOLD K A,B+,6
F18,Undergraduate,WRIT      2,ARNOLD K A,B,6
F18,Undergraduate,WRIT      2,ARNOLD K A,B-,2
F18,Undergraduate,WRIT      2,ARNOLD K A,C+,1
F18,Undergraduate,WRIT      2,ARNOLD K A,C,1
F18,Undergraduate,WRIT      2,BRAUNSTEIN E,A,6
F18,Undergraduate,WRIT      2,BRAUNSTEIN E,A-,10
F18,Undergraduate,WRIT      2,BRAUNSTEIN E,B+,5
F18,Undergraduate,WRIT      2,BRAUNSTEIN E,B,2
F18,Undergraduate,WRIT      2,BROWNING R,A,15
F18,Undergraduate,WRIT      2,BROWNING R,A-,44
F18,Undergraduate,WRIT      2,BROWNING R,B+,22
F18,Undergraduate,WRIT      2,BROWNING R,B,15
F18,Undergraduate,WRIT      2,BROWNING R,B-,5
F18,Undergraduate,WRIT      2,BROWNING R,C+,3
F18,Undergraduate,WRIT      2,BROWNING R,C,3
F18,Undergraduate,WRIT      2,BROWNING R,F,1
F18,Undergraduate,WRIT      2,CHENOWETH R C,A,6
F18,Undergraduate,WRIT      2,CHENOWETH R C,A-,10
F18,Undergraduate,WRIT      2,CHENOWETH R C,B+,4
F18,Undergraduate,WRIT      2,CHENOWETH R C,B,1
F18,Undergraduate,WRIT      2,CHENOWETH R C,B-,1
F18,Undergraduate,WRIT      2,CHENOWETH R C,C,1
F18,Undergraduate,WRIT      2,COLES A P,A,4
F18,Undergraduate,WRIT      2,COLES A P,A-,7
F18,Undergraduate,WRIT      2,COLES A P,B+,6
F18,Undergraduate,WRIT      2,COLES A P,B,6
F18,Undergraduate,WRIT      2,COLES A P,B-,2
F18,Undergraduate,WRIT      2,CONVERSE C W,A+,1
F18,Undergraduate,WRIT      2,CONVERSE C W,A,19
F18,Undergraduate,WRIT      2,CONVERSE C W,A-,43
F18,Undergraduate,WRIT      2,CONVERSE C W,B+,24
F18,Undergraduate,WRIT      2,CONVERSE C W,B,22
F18,Undergraduate,WRIT      2,CONVERSE C W,B-,6
F18,Undergraduate,WRIT      2,CONVERSE C W,C+,1
F18,Undergraduate,WRIT      2,CONVERSE C W,C,2
F18,Undergraduate,WRIT      2,CONVERSE C W,F,1
F18,Undergraduate,WRIT      2,DEAN C W,A+,3
F18,Undergraduate,WRIT      2,DEAN C W,A,41
F18,Undergraduate,WRIT      2,DEAN C W,A-,45
F18,Undergraduate,WRIT      2,DEAN C W,B+,30
F18,Undergraduate,WRIT      2,DEAN C W,B,18
F18,Undergraduate,WRIT      2,DEAN C W,B-,7
F18,Undergraduate,WRIT      2,DEAN C W,C,1
F18,Undergraduate,WRIT      2,DEAN C W,F,1
F18,Undergraduate,WRIT      2,DONELAN J H,A,5
F18,Undergraduate,WRIT      2,DONELAN J H,A-,11
F18,Undergraduate,WRIT      2,DONELAN J H,B+,6
F18,Undergraduate,WRIT      2,DONELAN J H,B,1
F18,Undergraduate,WRIT      2,EK A A,A+,1
F18,Undergraduate,WRIT      2,EK A A,A,33
F18,Undergraduate,WRIT      2,EK A A,A-,40
F18,Undergraduate,WRIT      2,EK A A,B+,20
F18,Undergraduate,WRIT      2,EK A A,B,19
F18,Undergraduate,WRIT      2,EK A A,B-,5
F18,Undergraduate,WRIT      2,EK A A,C,1
F18,Undergraduate,WRIT      2,EK A A,F,1
F18,Undergraduate,WRIT      2,ERNST B C,A+,2
F18,Undergraduate,WRIT      2,ERNST B C,A,35
F18,Undergraduate,WRIT      2,ERNST B C,A-,19
F18,Undergraduate,WRIT      2,ERNST B C,B+,11
F18,Undergraduate,WRIT      2,ERNST B C,B,2
F18,Undergraduate,WRIT      2,ERNST B C,B-,2
F18,Undergraduate,WRIT      2,ERNST B C,C+,1
F18,Undergraduate,WRIT      2,ERNST B C,C-,1
F18,Undergraduate,WRIT      2,ERNST B C,F,1
F18,Undergraduate,WRIT      2,FEDOROVA M A,A,5
F18,Undergraduate,WRIT      2,FEDOROVA M A,A-,12
F18,Undergraduate,WRIT      2,FEDOROVA M A,B+,4
