Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
F19,Undergraduate,ANTH      3,SMITH S T,A+,15
F19,Undergraduate,ANTH      3,SMITH S T,A,194
F19,Undergraduate,ANTH      3,SMITH S T,A-,49
F19,Undergraduate,ANTH      3,SMITH S T,B+,40
F19,Undergraduate,ANTH      3,SMITH S T,B,61
F19,Undergraduate,ANTH      3,SMITH S T,B-,16
F19,Undergraduate,ANTH      3,SMITH S T,C+,9
F19,Undergraduate,ANTH      3,SMITH S T,C,22
F19,Undergraduate,ANTH      3,SMITH S T,C-,5
F19,Undergraduate,ANTH      3,SMITH S T,D+,3
F19,Undergraduate,ANTH      3,SMITH S T,D,8
F19,Undergraduate,ANTH      3,SMITH S T,D-,1
F19,Undergraduate,ANTH      3,SMITH S T,F,25
F19,Undergraduate,ANTH      9,DAVISON R J,A+,5
F19,Undergraduate,ANTH      9,DAVISON R J,A,10
F19,Undergraduate,ANTH      9,DAVISON R J,A-,2
F19,Undergraduate,ANTH      9,DAVISON R J,B+,1
F19,Undergraduate,ANTH      9,DAVISON R J,B,1
F19,Undergraduate,ANTH      9,DAVISON R J,B-,1
F19,Undergraduate,ANTH      9,DAVISON R J,C-,1
F19,Undergraduate,ANTH     99,FORD A,A,3
F19,Undergraduate,ANTH     99,GAULIN S J,A,1
F19,Undergraduate,ANTH    111,WERTH S,A+,17
F19,Undergraduate,ANTH    111,WERTH S,A,19
F19,Undergraduate,ANTH    111,WERTH S,A-,9
F19,Undergraduate,ANTH    111,WERTH S,B+,4
F19,Undergraduate,ANTH    111,WERTH S,B,5
F19,Undergraduate,ANTH    111,WERTH S,C+,1
F19,Undergraduate,ANTH    111,WERTH S,F,3
F19,Undergraduate,ANTH    112Z,WILSON G D,A+,1
F19,Undergraduate,ANTH    112Z,WILSON G D,A,4
F19,Undergraduate,ANTH    112Z,WILSON G D,A-,7
F19,Undergraduate,ANTH    112Z,WILSON G D,B+,2
F19,Undergraduate,ANTH    112Z,WILSON G D,B,5
F19,Undergraduate,ANTH    112Z,WILSON G D,B-,3
F19,Undergraduate,ANTH    112Z,WILSON G D,C,3
F19,Undergraduate,ANTH    112Z,WILSON G D,C-,1
F19,Undergraduate,ANTH    133,VANDERWARKER,A+,8
F19,Undergraduate,ANTH    133,VANDERWARKER,A,15
F19,Undergraduate,ANTH    133,VANDERWARKER,A-,9
F19,Undergraduate,ANTH    133,VANDERWARKER,B+,11
F19,Undergraduate,ANTH    133,VANDERWARKER,B,15
F19,Undergraduate,ANTH    133,VANDERWARKER,B-,8
F19,Undergraduate,ANTH    133,VANDERWARKER,C+,6
F19,Undergraduate,ANTH    133,VANDERWARKER,C,8
F19,Undergraduate,ANTH    133,VANDERWARKER,C-,7
F19,Undergraduate,ANTH    133,VANDERWARKER,D+,2
F19,Undergraduate,ANTH    133,VANDERWARKER,D,2
F19,Undergraduate,ANTH    133,VANDERWARKER,F,1
F19,Undergraduate,ANTH    145,DAVISON R J,A+,7
F19,Undergraduate,ANTH    145,DAVISON R J,A,12
F19,Undergraduate,ANTH    145,DAVISON R J,A-,10
F19,Undergraduate,ANTH    145,DAVISON R J,B+,4
F19,Undergraduate,ANTH    145,DAVISON R J,B,3
F19,Undergraduate,ANTH    150,BODDY A M,A+,1
F19,Undergraduate,ANTH    150,BODDY A M,A,8
F19,Undergraduate,ANTH    150,BODDY A M,A-,10
F19,Undergraduate,ANTH    150,BODDY A M,B+,9
F19,Undergraduate,ANTH    150,BODDY A M,B,8
F19,Undergraduate,ANTH    150,BODDY A M,B-,2
F19,Undergraduate,ANTH    150,BODDY A M,C+,2
F19,Undergraduate,ANTH    150,BODDY A M,C-,1
F19,Undergraduate,ANTH    150,BODDY A M,D+,1
F19,Undergraduate,ANTH    150,BODDY A M,F,1
F19,Undergraduate,ANTH    152,HOELLE J A,A,21
F19,Undergraduate,ANTH    152,HOELLE J A,A-,11
F19,Undergraduate,ANTH    152,HOELLE J A,B+,3
F19,Undergraduate,ANTH    152,HOELLE J A,B,4
F19,Undergraduate,ANTH    152,HOELLE J A,D+,1
F19,Undergraduate,ANTH    153T,BAILEY-STEINI,A+,1
F19,Undergraduate,ANTH    153T,BAILEY-STEINI,A,3
F19,Undergraduate,ANTH    153T,BAILEY-STEINI,A-,5
F19,Undergraduate,ANTH    153T,BAILEY-STEINI,B+,8
