Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
F19,Undergraduate,CMPSC     8,KHARITONOVA Y,A+,1
F19,Undergraduate,CMPSC     8,KHARITONOVA Y,A,36
F19,Undergraduate,CMPSC     8,KHARITONOVA Y,A-,10
F19,Undergraduate,CMPSC     8,KHARITONOVA Y,B+,15
F19,Undergraduate,CMPSC     8,KHARITONOVA Y,B,16
F19,Undergraduate,CMPSC     8,KHARITONOVA Y,B-,2
F19,Undergraduate,CMPSC     8,KHARITONOVA Y,C+,2
F19,Undergraduate,CMPSC     8,KHARITONOVA Y,C,6
F19,Undergraduate,CMPSC     8,KHARITONOVA Y,D+,4
F19,Undergraduate,CMPSC     8,KHARITONOVA Y,D-,2
F19,Undergraduate,CMPSC     8,KHARITONOVA Y,F,8
F19,Undergraduate,CMPSC    16,MIRZA D,A+,67
F19,Undergraduate,CMPSC    16,MIRZA D,A,39
F19,Undergraduate,CMPSC    16,MIRZA D,A-,21
F19,Undergraduate,CMPSC    16,MIRZA D,B+,10
F19,Undergraduate,CMPSC    16,MIRZA D,B,16
F19,Undergraduate,CMPSC    16,MIRZA D,B-,13
F19,Undergraduate,CMPSC    16,MIRZA D,C+,10
F19,Undergraduate,CMPSC    16,MIRZA D,C,6
F19,Undergraduate,CMPSC    16,MIRZA D,C-,4
F19,Undergraduate,CMPSC    16,MIRZA D,D+,4
F19,Undergraduate,CMPSC    16,MIRZA D,D-,1
F19,Undergraduate,CMPSC    16,MIRZA D,F,5
F19,Undergraduate,CMPSC    24,NICHOLS L H,A+,9
F19,Undergraduate,CMPSC    24,NICHOLS L H,A,40
F19,Undergraduate,CMPSC    24,NICHOLS L H,A-,10
F19,Undergraduate,CMPSC    24,NICHOLS L H,B+,5
F19,Undergraduate,CMPSC    24,NICHOLS L H,B,4
F19,Undergraduate,CMPSC    24,NICHOLS L H,B-,4
F19,Undergraduate,CMPSC    24,NICHOLS L H,C,4
F19,Undergraduate,CMPSC    24,NICHOLS L H,D+,1
F19,Undergraduate,CMPSC    24,NICHOLS L H,D,2
F19,Undergraduate,CMPSC    24,NICHOLS L H,F,2
F19,Undergraduate,CMPSC    24A,WANG R K,A,1
F19,Undergraduate,CMPSC    32,WANG R K,A+,8
F19,Undergraduate,CMPSC    32,WANG R K,A,33
F19,Undergraduate,CMPSC    32,WANG R K,A-,23
F19,Undergraduate,CMPSC    32,WANG R K,B+,14
F19,Undergraduate,CMPSC    32,WANG R K,B,11
F19,Undergraduate,CMPSC    32,WANG R K,B-,1
F19,Undergraduate,CMPSC    32,WANG R K,C+,3
F19,Undergraduate,CMPSC    32,WANG R K,C,5
F19,Undergraduate,CMPSC    32,WANG R K,C-,2
F19,Undergraduate,CMPSC    32,WANG R K,D-,1
F19,Undergraduate,CMPSC    32,WANG R K,F,1
F19,Undergraduate,CMPSC    40,EGECIOGLU O,A+,1
F19,Undergraduate,CMPSC    40,EGECIOGLU O,A,8
F19,Undergraduate,CMPSC    40,EGECIOGLU O,A-,3
F19,Undergraduate,CMPSC    40,EGECIOGLU O,B+,7
F19,Undergraduate,CMPSC    40,EGECIOGLU O,B,20
F19,Undergraduate,CMPSC    40,EGECIOGLU O,B-,4
F19,Undergraduate,CMPSC    40,EGECIOGLU O,C+,6
F19,Undergraduate,CMPSC    40,EGECIOGLU O,C,22
F19,Undergraduate,CMPSC    40,EGECIOGLU O,C-,11
F19,Undergraduate,CMPSC    40,EGECIOGLU O,D,10
F19,Undergraduate,CMPSC    40,EGECIOGLU O,D-,8
