Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
F19,Undergraduate,EEMB      2LL,APIGO A L,A+,5
F19,Undergraduate,EEMB      2LL,APIGO A L,A,18
F19,Undergraduate,EEMB      2LL,APIGO A L,A-,8
F19,Undergraduate,EEMB      2LL,APIGO A L,B+,3
F19,Undergraduate,EEMB      2LL,APIGO A L,B,4
F19,Undergraduate,EEMB      2LL,APIGO A L,B-,1
F19,Undergraduate,EEMB      2LL,APIGO A L,C,1
F19,Undergraduate,EEMB      2LL,CEDENO T H,A+,2
F19,Undergraduate,EEMB      2LL,CEDENO T H,A,6
F19,Undergraduate,EEMB      2LL,CEDENO T H,A-,3
F19,Undergraduate,EEMB      2LL,CEDENO T H,B+,5
F19,Undergraduate,EEMB      2LL,CEDENO T H,B,5
F19,Undergraduate,EEMB      2LL,CEDENO T H,B-,1
F19,Undergraduate,EEMB      2LL,CEDENO T H,C+,1
F19,Undergraduate,EEMB      2LL,CEDENO T H,C,1
F19,Undergraduate,EEMB      2LL,CEDENO T H,D,1
F19,Undergraduate,EEMB      2LL,EVEN T J,A+,12
F19,Undergraduate,EEMB      2LL,EVEN T J,A,37
F19,Undergraduate,EEMB      2LL,EVEN T J,A-,21
F19,Undergraduate,EEMB      2LL,EVEN T J,B+,17
F19,Undergraduate,EEMB      2LL,EVEN T J,B,16
F19,Undergraduate,EEMB      2LL,EVEN T J,B-,6
F19,Undergraduate,EEMB      2LL,EVEN T J,C+,2
F19,Undergraduate,EEMB      2LL,EVEN T J,C,5
F19,Undergraduate,EEMB      2LL,EVEN T J,D,1
F19,Undergraduate,EEMB      2LL,EVEN T J,F,1
F19,Undergraduate,EEMB      2LL,GORDON R W,A+,1
F19,Undergraduate,EEMB      2LL,GORDON R W,A,8
F19,Undergraduate,EEMB      2LL,GORDON R W,A-,7
F19,Undergraduate,EEMB      2LL,GORDON R W,B+,5
F19,Undergraduate,EEMB      2LL,GORDON R W,B,4
F19,Undergraduate,EEMB      2LL,GORDON R W,B-,3
F19,Undergraduate,EEMB      2LL,GORDON R W,C,1
F19,Undergraduate,EEMB      2LL,JOHNS J W,A+,2
F19,Undergraduate,EEMB      2LL,JOHNS J W,A,2
F19,Undergraduate,EEMB      2LL,JOHNS J W,A-,1
F19,Undergraduate,EEMB      2LL,JOHNS J W,B,3
F19,Undergraduate,EEMB      2LL,JOHNS J W,B-,1
F19,Undergraduate,EEMB      2LL,JOHNS J W,C,1
F19,Undergraduate,EEMB      2LL,JOHNS J W,F,1
F19,Undergraduate,EEMB      2LL,LATTO J G,A+,12
F19,Undergraduate,EEMB      2LL,LATTO J G,A,37
F19,Undergraduate,EEMB      2LL,LATTO J G,A-,21
F19,Undergraduate,EEMB      2LL,LATTO J G,B+,17
F19,Undergraduate,EEMB      2LL,LATTO J G,B,16
F19,Undergraduate,EEMB      2LL,LATTO J G,B-,6
F19,Undergraduate,EEMB      2LL,LATTO J G,C+,2
F19,Undergraduate,EEMB      2LL,LATTO J G,C,5
F19,Undergraduate,EEMB      2LL,LATTO J G,D,1
F19,Undergraduate,EEMB      2LL,LATTO J G,F,1
F19,Undergraduate,EEMB      2LL,MESROP L Y,A+,2
F19,Undergraduate,EEMB      2LL,MESROP L Y,A,3
F19,Undergraduate,EEMB      2LL,MESROP L Y,A-,2
F19,Undergraduate,EEMB      2LL,MESROP L Y,B+,4
F19,Undergraduate,EEMB      2LL,MESROP L Y,C+,1
F19,Undergraduate,EEMB      2LL,MESROP L Y,C,1
F19,Undergraduate,EEMB      2LL,NGUYEN A T,A+,12
F19,Undergraduate,EEMB      2LL,NGUYEN A T,A,37
F19,Undergraduate,EEMB      2LL,NGUYEN A T,A-,21
F19,Undergraduate,EEMB      2LL,NGUYEN A T,B+,17
F19,Undergraduate,EEMB      2LL,NGUYEN A T,B,16
F19,Undergraduate,EEMB      2LL,NGUYEN A T,B-,6
F19,Undergraduate,EEMB      2LL,NGUYEN A T,C+,2
F19,Undergraduate,EEMB      2LL,NGUYEN A T,C,5
