Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
F19,Undergraduate,JAPAN     1,CANTRELL A M,A+,1
F19,Undergraduate,JAPAN     1,CANTRELL A M,A,13
F19,Undergraduate,JAPAN     1,CANTRELL A M,A-,4
F19,Undergraduate,JAPAN     1,CANTRELL A M,B+,2
F19,Undergraduate,JAPAN     1,CANTRELL A M,B,1
F19,Undergraduate,JAPAN     1,CANTRELL A M,C-,2
F19,Undergraduate,JAPAN     1,SHINAGAWA C,A+,3
F19,Undergraduate,JAPAN     1,SHINAGAWA C,A,42
F19,Undergraduate,JAPAN     1,SHINAGAWA C,A-,9
F19,Undergraduate,JAPAN     1,SHINAGAWA C,B+,4
F19,Undergraduate,JAPAN     1,SHINAGAWA C,B,5
F19,Undergraduate,JAPAN     1,SHINAGAWA C,B-,5
F19,Undergraduate,JAPAN     1,SHINAGAWA C,C,1
F19,Undergraduate,JAPAN     1,SHINAGAWA C,C-,1
F19,Undergraduate,JAPAN     1,SHINAGAWA C,D-,1
F19,Undergraduate,JAPAN     1,SUGAWARA H,A+,1
F19,Undergraduate,JAPAN     1,SUGAWARA H,A,28
F19,Undergraduate,JAPAN     1,SUGAWARA H,A-,8
F19,Undergraduate,JAPAN     1,SUGAWARA H,B+,5
F19,Undergraduate,JAPAN     1,SUGAWARA H,B,3
F19,Undergraduate,JAPAN     1,SUGAWARA H,C-,3
F19,Undergraduate,JAPAN     1,SUGAWARA H,D,1
F19,Undergraduate,JAPAN     4,CANTRELL A M,A,5
F19,Undergraduate,JAPAN     4,CANTRELL A M,A-,8
F19,Undergraduate,JAPAN     4,CANTRELL A M,B+,1
F19,Undergraduate,JAPAN     4,CANTRELL A M,B,3
F19,Undergraduate,JAPAN     4,CANTRELL A M,B-,2
F19,Undergraduate,JAPAN     4,CANTRELL A M,C+,2
F19,Undergraduate,JAPAN     4,CANTRELL A M,C,3
F19,Undergraduate,JAPAN     4,CANTRELL A M,D,1
F19,Undergraduate,JAPAN     4,SUGAWARA H,A+,3
F19,Undergraduate,JAPAN     4,SUGAWARA H,A,9
F19,Undergraduate,JAPAN     4,SUGAWARA H,A-,6
F19,Undergraduate,JAPAN     4,SUGAWARA H,B+,4
F19,Undergraduate,JAPAN     4,SUGAWARA H,B,4
F19,Undergraduate,JAPAN     4,SUGAWARA H,B-,1
F19,Undergraduate,JAPAN     4,YAMAUCHI Y,A+,4
F19,Undergraduate,JAPAN     4,YAMAUCHI Y,A,13
F19,Undergraduate,JAPAN     4,YAMAUCHI Y,A-,5
F19,Undergraduate,JAPAN     4,YAMAUCHI Y,B+,1
F19,Undergraduate,JAPAN     4,YAMAUCHI Y,B,1
F19,Undergraduate,JAPAN     4,YAMAUCHI Y,B-,2
F19,Undergraduate,JAPAN     4,YAMAUCHI Y,C-,1
F19,Undergraduate,JAPAN    73,DUOER D,A+,2
F19,Undergraduate,JAPAN    73,DUOER D,A,8
F19,Undergraduate,JAPAN    73,DUOER D,A-,1
F19,Undergraduate,JAPAN    73,DUOER D,B+,1
F19,Undergraduate,JAPAN    73,DUOER D,B,8
F19,Undergraduate,JAPAN    73,DUOER D,B-,1
F19,Undergraduate,JAPAN    73,DUOER D,C,1
F19,Undergraduate,JAPAN    73,DUOER D,F,4
F19,Undergraduate,JAPAN   112,WANG JING,A+,2
F19,Undergraduate,JAPAN   112,WANG JING,A,2
F19,Undergraduate,JAPAN   112,WANG JING,A-,6
F19,Undergraduate,JAPAN   112,WANG JING,B+,6
F19,Undergraduate,JAPAN   112,WANG JING,B,2
F19,Undergraduate,JAPAN   112,WANG JING,B-,1
F19,Undergraduate,JAPAN   112,WANG JING,C+,1
F19,Undergraduate,JAPAN   112,WANG JING,C,3
F19,Undergraduate,JAPAN   112,WANG JING,C-,5
F19,Undergraduate,JAPAN   112,WANG JING,D+,2
F19,Undergraduate,JAPAN   120A,YAMAUCHI Y,A+,2
F19,Undergraduate,JAPAN   120A,YAMAUCHI Y,A,19
F19,Undergraduate,JAPAN   120A,YAMAUCHI Y,A-,10
F19,Undergraduate,JAPAN   120A,YAMAUCHI Y,B+,3
F19,Undergraduate,JAPAN   120A,YAMAUCHI Y,B,1
F19,Undergraduate,JAPAN   120A,YAMAUCHI Y,B-,4
F19,Undergraduate,JAPAN   120A,YAMAUCHI Y,C+,1
F19,Undergraduate,JAPAN   120A,YAMAUCHI Y,C,3
F19,Undergraduate,JAPAN   134H,WATTLES M,A,19
F19,Undergraduate,JAPAN   144,WANG JING,A+,3
F19,Undergraduate,JAPAN   144,WANG JING,A,7
F19,Undergraduate,JAPAN   144,WANG JING,A-,4
F19,Undergraduate,JAPAN   144,WANG JING,B+,5
F19,Undergraduate,JAPAN   144,WANG JING,B,1
F19,Undergraduate,JAPAN   144,WANG JING,B-,1
F19,Undergraduate,JAPAN   181,SALTZMAN-LI K,A,7
F19,Undergraduate,JAPAN   181,SALTZMAN-LI K,A-,3
F19,Graduate,JAPAN   287J,LEWALLEN A,A,6
F19,Graduate,JAPAN   599,LEWALLEN A,S,1
