Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
F19,Undergraduate,THTR      2A,MCMAHON C S,A+,42
F19,Undergraduate,THTR      2A,MCMAHON C S,A,56
F19,Undergraduate,THTR      2A,MCMAHON C S,A-,22
F19,Undergraduate,THTR      2A,MCMAHON C S,B+,12
F19,Undergraduate,THTR      2A,MCMAHON C S,B,7
F19,Undergraduate,THTR      2A,MCMAHON C S,B-,3
F19,Undergraduate,THTR      2A,MCMAHON C S,C+,4
F19,Undergraduate,THTR      2A,MCMAHON C S,F,1
F19,Undergraduate,THTR      5,ASI A,A,12
F19,Undergraduate,THTR      5,ASI A,A-,3
F19,Undergraduate,THTR      5,ASI A,B+,2
F19,Undergraduate,THTR      5,BAILEY C R,A,18
F19,Undergraduate,THTR      5,BAILEY C R,A-,12
F19,Undergraduate,THTR      5,BAILEY C R,B+,4
F19,Undergraduate,THTR      5,BAILEY C R,B-,1
F19,Undergraduate,THTR      5,FISHELL J K,A+,20
F19,Undergraduate,THTR      5,FISHELL J K,A,104
F19,Undergraduate,THTR      5,FISHELL J K,A-,23
F19,Undergraduate,THTR      5,FISHELL J K,B+,11
F19,Undergraduate,THTR      5,FISHELL J K,B,2
F19,Undergraduate,THTR      5,FISHELL J K,B-,3
F19,Undergraduate,THTR      5,FISHELL J K,D+,1
F19,Undergraduate,THTR      5,FISHELL J K,D,1
F19,Undergraduate,THTR      5,FISHELL J K,F,1
F19,Undergraduate,THTR      5,HOLMAN A C,A+,7
F19,Undergraduate,THTR      5,HOLMAN A C,A,19
F19,Undergraduate,THTR      5,HOLMAN A C,A-,2
F19,Undergraduate,THTR      5,HOLMAN A C,B+,3
F19,Undergraduate,THTR      5,HOLMAN A C,D+,1
F19,Undergraduate,THTR      5,KRUKOWSKI J P,A+,3
F19,Undergraduate,THTR      5,KRUKOWSKI J P,A,34
F19,Undergraduate,THTR      5,KRUKOWSKI J P,A-,3
F19,Undergraduate,THTR      5,KRUKOWSKI J P,B,1
F19,Undergraduate,THTR      5,KRUKOWSKI J P,B-,2
F19,Undergraduate,THTR      5,KRUKOWSKI J P,F,1
F19,Undergraduate,THTR      5,VALENCIA RAMI,A+,10
F19,Undergraduate,THTR      5,VALENCIA RAMI,A,21
F19,Undergraduate,THTR      5,VALENCIA RAMI,A-,3
F19,Undergraduate,THTR      5,VALENCIA RAMI,B+,2
F19,Undergraduate,THTR      5,VALENCIA RAMI,B,1
F19,Undergraduate,THTR      5,VALENCIA RAMI,D,1
F19,Undergraduate,THTR      9,GRAY J L,A+,4
F19,Undergraduate,THTR      9,GRAY J L,A,11
F19,Undergraduate,THTR      9,GRAY J L,A-,5
F19,Undergraduate,THTR      9,GRAY J L,B,3
F19,Undergraduate,THTR      9,GRAY J L,C+,1
F19,Undergraduate,THTR      9,GRAY J L,C,1
F19,Undergraduate,THTR      9,GRAY J L,F,2
F19,Undergraduate,THTR     10A,STEIN D A,B+,4
F19,Undergraduate,THTR     10A,STEIN D A,B,5
F19,Undergraduate,THTR     10A,STEIN D A,B-,4
F19,Undergraduate,THTR     11A,MORGAN M,A,1
F19,Undergraduate,THTR     11A,MORGAN M,A-,2
F19,Undergraduate,THTR     11A,MORGAN M,B+,3
F19,Undergraduate,THTR     11A,MORGAN M,B,6
F19,Undergraduate,THTR     11A,MORGAN M,B-,1
F19,Undergraduate,THTR     15A,BRAININ R,A,3
F19,Undergraduate,THTR     15A,BRAININ R,A-,6
F19,Undergraduate,THTR     15A,BRAININ R,B+,3
F19,Undergraduate,THTR     15A,BRAININ R,B,1
F19,Undergraduate,THTR     19,MITCHELL G M,A+,1
F19,Undergraduate,THTR     19,MITCHELL G M,A,8
F19,Undergraduate,THTR     19,MITCHELL G M,A-,2
F19,Undergraduate,THTR     19,MITCHELL G M,B+,3
F19,Undergraduate,THTR     19,MITCHELL G M,B,5
F19,Undergraduate,THTR     19,MITCHELL G M,C,2
F19,Undergraduate,THTR     19,MITCHELL G M,D-,1
F19,Undergraduate,THTR     19,MITCHELL G M,F,4
F19,Undergraduate,THTR     22,MITCHELL G M,A,3
F19,Undergraduate,THTR     22,MITCHELL G M,A-,4
F19,Undergraduate,THTR     22,MITCHELL G M,B+,3
F19,Undergraduate,THTR     22,MITCHELL G M,B,1
F19,Undergraduate,THTR     22,MITCHELL G M,C+,1
F19,Undergraduate,THTR     22,MITCHELL G M,C,2
F19,Undergraduate,THTR     22,MITCHELL G M,D,1
F19,Undergraduate,THTR     22,MITCHELL G M,F,3
F19,Undergraduate,THTR     29A,SHEFFIELD C A,A,13
F19,Undergraduate,THTR     29B,SHEFFIELD C A,A+,11
F19,Undergraduate,THTR     29B,SHEFFIELD C A,B,1
F19,Undergraduate,THTR     29C,SHEFFIELD C A,A,13
F19,Undergraduate,THTR     29C,SHEFFIELD C A,B,1
F19,Undergraduate,THTR     29D,BRAININ R,A,1
F19,Undergraduate,THTR     29D,MCCARTHY C R,A,2
F19,Undergraduate,THTR     29D,MOSELEY D,A,3
F19,Undergraduate,THTR     29D,PRESS C M,A,1
F19,Undergraduate,THTR     29D,SHEFFIELD C A,A,15
F19,Undergraduate,THTR     42,APPEL I J,A+,2
F19,Undergraduate,THTR     42,APPEL I J,A,2
F19,Undergraduate,THTR     42,APPEL I J,A-,2
F19,Undergraduate,THTR     42,APPEL I J,B+,1
